species_id,version_id,language_id,flavor_text
1,1,9,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON."
1,2,9,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON."
1,3,9,"It can go for days
without eating a
single morsel.In the bulb on
its back, it
stores energy."
1,4,9,"The seed on its
back is filled
with nutrients.The seed grows
steadily larger as
its body grows."
1,5,9,"It carries a seed
on its back right
from birth. As itgrows older, the
seed also grows
larger."
1,6,9,"While it is young,
it uses the
nutrients that arestored in the
seeds on its back
in order to grow."
1,7,9,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger."
1,8,9,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger."
1,9,9,"BULBASAUR can be seen napping in bright
sunlight. There is a seed on its back.
By soaking up the sun’s rays, the seed
grows progressively larger."
1,10,9,"There is a plant seed on its back right
from the day this POKéMON is born.
The seed slowly grows larger."
1,11,9,"A strange seed was planted on its back at
birth. The plant sprouts and grows with
this POKéMON."
1,12,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,13,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,14,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,15,9,"The seed on its back is filled
with nutrients. The seed grows
steadily larger as its body grows."
1,16,9,"It carries a seed on its back right
from birth. As it grows older, the
seed also grows larger."
1,17,5,"Au matin de sa vie, la graine sur
son dos lui fournit les éléments
dont il a besoin pour grandir."
1,17,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,18,5,"Au matin de sa vie, la graine sur
son dos lui fournit les éléments
dont il a besoin pour grandir."
1,18,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,21,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,22,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
2,1,9,"When the bulb on
its back grows
large, it appearsto lose the
ability to stand
on its hind legs."
2,2,9,"When the bulb on
its back grows
large, it appearsto lose the
ability to stand
on its hind legs."
2,3,9,"The bulb on its
back grows by
drawing energy.It gives off an
aroma when it is
ready to bloom."
2,4,9,"Exposure to sun­
light adds to its
strength. Sunlightalso makes the bud
on its back grow
larger."
2,5,9,"If the bud on its
back starts to
smell sweet, itis evidence that
the large flower
will soon bloom."
2,6,9,"The bulb on its
back grows as it
absorbs nutrients.The bulb gives off
a pleasant aroma
when it blooms."
2,7,9,"There is a bud on this POKéMON’s back.
To support its weight, IVYSAUR’s legs
and trunk grow thick and strong.If it starts spending more time lying
in the sunlight, it’s a sign that the
bud will bloom into a large flower soon."
2,8,9,"There is a bud on this POKéMON’s back.
To support its weight, IVYSAUR’s legs
and trunk grow thick and strong.If it starts spending more time lying
in the sunlight, it’s a sign that the
bud will bloom into a large flower soon."
2,9,9,"To support its bulb, IVYSAUR’s legs
grow sturdy. If it spends more time lying in
the sunlight, the bud will soon bloom into
a large flower."
2,10,9,"There is a plant bulb on its back.
When it absorbs nutrients, the bulb is said
to blossom into a large flower."
2,11,9,"When the bulb on its back grows large, it
appears to lose the ability to stand on
its hind legs."
2,12,9,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
