machine_number_id,",item_id",version_group_id,location_id,locationarea_id,move_name
1,305,1,80,291,mega-punch
1,305,1,67,67,mega-punch
1,305,2,80,291,mega-punch
1,305,2,67,67,mega-punch
2,306,1,null,null,razor-wind
2,306,1,67,67,razor-wind
2,306,2,null,null,razor-wind
2,306,2,67,67,razor-wind
3,307,1,234,835,swords-dance
3,307,2,234,835,swords-dance
4,308,1,120,298,whirlwind
4,308,2,120,298,whirlwind
5,309,1,80,291,mega-kick
5,309,1,67,67,mega-kick
5,309,2,80,291,mega-kick
5,309,2,67,67,mega-kick
6,310,1,76,284,toxic
6,310,2,76,284,toxic
7,311,1,null,null,horn-drill
7,311,1,67,67,horn-drill
7,311,2,null,null,horn-drill
7,311,2,67,67,horn-drill
8,312,1,498,461,body-slam
8,312,2,498,461,body-slam
9,313,1,234,null,take-down
9,313,1,67,67,take-down
9,313,2,234,null,take-down
9,313,2,67,67,take-down
10,314,1,null,null,double-edge
10,314,2,null,null,double-edge
11,315,1,68,96,bubble-beam
11,315,2,68,96,bubble-beam
12,316,1,80,null,water-gun
12,316,2,80,null,water-gun
13,317,1,67,67,ice-beam
13,317,2,67,67,ice-beam
14,318,1,161,342,blizzard
14,318,2,161,342,blizzard
15,319,1,67,67,hyper-beam
15,319,2,67,67,hyper-beam
16,320,1,91,276,pay-day
16,320,2,91,276,pay-day
17,321,1,159,333,submission
17,321,1,67,67,submission
17,321,2,159,333,submission
17,321,2,67,67,submission
18,322,1,67,67,counter
18,322,2,67,67,counter
19,323,1,104,315,seismic_toss
19,323,2,104,315,seismic_toss
20,324,1,94,308,rage
20,324,2,94,308,rage
21,325,1,67,67,mega_drain
21,325,2,67,67,mega_drain
22,326,1,161,344,solar_beam
22,326,2,162,344,solar_beam
23,327,1,67,67,dragon_rage
23,327,2,67,67,dragon_rage
24,328,1,151,282,thunderbolt
24,328,2,151,282,thunderbolt
25,329,1,158,330,thunder
25,329,2,158,330,thunder
26,330,1,234,835,earthquake
26,330,2,234,835,earthquake
27,331,1,154,280,fissure
27,331,2,154,280,fissure
28,332,1,68,281,dig
28,332,2,68,281,dig
29,333,1,234,null,psychic
29,333,2,234,null,psychic
30,334,1,134,303,teleport
30,334,2,134,303,teleport
31,335,1,234,null,mimic
31,335,2,234,null,mimic
32,336,1,76,284,double-team
32,336,1,67,67,double-team
32,336,2,76,284,double-team
32,336,2,67,67,double-team
33,337,1,158,,reflect
33,337,2,158,,reflect
34,338,1,231,,bide
34,338,2,231,,bide
35,339,1,71,,metronome
35,339,2,71,,metronome
36,340,1,234,835,self-destruct
36,340,2,234,835,self-destruct
37,341,1,76,284,egg-bomb
37,341,2,76,284,egg-bomb
37,341,1,67,67,egg-bomb
37,341,2,67,67,egg-bomb
38,342,1,71,279,fire-blast
38,342,2,71,279,fire-blast
39,343,1,91,276,swift
39,343,2,91,276,swift
40,344,1,162,345,skull-bash
40,344,2,162,345,skull-bash
41,345,1,67,67,soft-boiled
41,345,2,67,67,soft-boiled
42,346,1,154,280,dream-eater
42,346,2,154,280,dream-eater
43,347,1,152,318,sky-attack
43,347,2,152,318,sky-attack
44,348,1,498,461,rest
44,348,2,498,461,rest
45,349,1,103,314,thunder-wave
45,349,2,103,314,thunder-wave
46,350,1,234,null,psywave
46,350,2,234,null,psywave
47,351,1,152,332,explosion
47,351,2,152,332,explosion
48,352,1,67,67,rock-slide
48,352,2,67,67,rock-slide
49,353,1,67,67,tri-attack
49,353,2,67,67,tri-attack
50,354,1,67,67,substitute
50,354,2,67,67,substitute
