ability_changelog_id,local_language_id,effect
1,5,N'a aucun effet en combat.
1,6,Hat im Kampf keinen Effekt.
1,9,Has no effect in battle.
2,5,N'empêche pas les KO réguliers en ayant tous ses []{mechanic:hp}.
2,6,Verhindert keine regulären K.O. bei vollen []{mechanic:hp}.
2,9,Does not prevent regular KOs from full [HP]{mechanic:hp}.
3,5,N'a pas d'effet en dehors du combat.
3,6,Hat außerhalb vom Kampf keinen Effekt.
3,9,Has no overworld effect.
4,5,"N'absorbe pas les capacités []{type:electric} non-offensives, i.e. []{move:thunder-wave}."
4,6,"[]{type:electric}-Attacken die keinen Schaden anrichten, wie []{move:thunder-wave}, werden nicht absorbiert."
4,9,"Does not absorb non-damaging []{type:electric} moves, i.e. []{move:thunder-wave}."
5,5,Se déclenche à chaque coup d'une capacité multi-coups.
5,6,Löst bei Attacken die mehrmals Treffen bei jedem Treffer aus.
5,9,Triggers on every hit of multiple-hit moves.
6,5,[]{move:will-o-wisp} ne déclenche pas ce talent pour un Pokémon immunisé à []{mechanic:burn}.
6,6,[]{move:will-o-wisp} triggert die Fähigkeit nicht bei Pokémon die immun gegen []{mechanic:burn} sind.
6,9,[]{move:will-o-wisp} does not trigger this ability for Pokémon immune to [burns]{mechanic:burn}.
7,5,N'a pas d'effet en dehors du combat.
7,6,Hat außerhalb vom Kampf keinen Effekt.
7,9,Has no overworld effect.
8,5,N'a pas d'effet en dehors du combat.
8,6,Hat außerhalb vom Kampf keinen Effekt.
8,9,Has no overworld effect.
9,5,N'a pas d'effet si acquis après être entré au combat.
9,6,"Hat keinen Effekt, wenn die Fähigkeit nach Kampfbeginn erlangt wurde."
9,9,Does not take effect if acquired after entering battle.
10,5,Affecte les autres Pokémon avec ce talent.
10,6,Betrifft andere Pokémon mit dieser Fähigkeit.
10,9,Affects other Pokémon with this ability.
11,5,Inflige seulement 1/16 des []{mechanic:hp} maximum du lanceur en dégâts.
11,6,Verursacht nur 1/16 der maximalen []{mechanic:hp} des Angreifers Schaden.
11,9,Inflicts only 1/16 of the attacker's maximum [HP]{mechanic:hp} in damage.
12,5,[]{move:fire-fang} et les capacités qui infligent des []{mechanic:typeless-damage} ignorent ce talent peu importe le type.
12,6,"[]{move:fire-fang} und Attacken die [typenlosen Schaden]{mechanic:typeless-damage} verursachen, ignorieren diese Fähigkeit unabhängig von ihrem Typ."
12,9,[]{move:fire-fang} and moves that inflict [typeless damage]{mechanic:typeless-damage} ignore this ability regardless of type.
13,5,N'a pas d'effet en dehors du combat.
13,6,Hat außerhalb vom Kampf keinen Effekt.
13,9,Has no overworld effect.
14,5,Ne peut pas influencer les natures des Pokémon rencontrés en interagissant avec eux dans le monde extérieur.
14,6,Kann das Wesen von Pokémon mit denen in der Spielwelt interagiert wird nicht verändern.
14,9,Cannot influence the natures of Pokémon encountered by interacting with them on the overworld.
15,5,Ne transmet pas le []{mechanic:poison} grave comme poison régulier.
