ability_id,local_language_id,name
1,1,あくしゅう
1,3,악취
1,5,Puanteur
1,6,Duftnote
1,7,Hedor
1,8,Tanfo
1,9,Stench
2,1,あめふらし
2,3,잔비
2,5,Crachin
2,6,Niesel
2,7,Llovizna
2,8,Piovischio
2,9,Drizzle
3,1,かそく
3,3,가속
3,5,Turbo
3,6,Temposchub
3,7,Impulso
3,8,Acceleratore
3,9,Speed Boost
4,1,カブトアーマー
4,3,전투무장
4,5,Armurbaston
4,6,Kampfpanzer
4,7,Armadura Batalla
4,8,Lottascudo
4,9,Battle Armor
5,1,がんじょう
5,3,옹골참
5,5,Fermeté
5,6,Robustheit
5,7,Robustez
5,8,Vigore
5,9,Sturdy
6,1,しめりけ
6,3,습기
6,5,Moiteur
6,6,Feuchtigkeit
6,7,Humedad
6,8,Umidità
6,9,Damp
7,1,じゅうなん
7,3,유연
7,5,Échauffement
7,6,Flexibilität
7,7,Flexibilidad
7,8,Scioltezza
7,9,Limber
8,1,すながくれ
8,3,모래숨기
8,5,Voile Sable
8,6,Sandschleier
8,7,Velo Arena
8,8,Sabbiavelo
8,9,Sand Veil
9,1,せいでんき
9,3,정전기
9,5,Statik
9,6,Statik
9,7,Elec. Estática
9,8,Statico
9,9,Static
10,1,ちくでん
10,3,축전
10,5,Absorb Volt
10,6,Voltabsorber
10,7,Absorbe Elec
10,8,Assorbivolt
10,9,Volt Absorb
11,1,ちょすい
11,3,저수
11,5,Absorb Eau
11,6,H2O-Absorber
11,7,Absorbe Agua
11,8,Assorbacqua
11,9,Water Absorb
12,1,どんかん
12,3,둔감
12,5,Benêt
12,6,Dösigkeit
12,7,Despiste
12,8,Indifferenza
12,9,Oblivious
13,1,ノーてんき
13,3,날씨부정
13,5,Ciel Gris
13,6,Wolke Sieben
13,7,Aclimatación
13,8,Antimeteo
13,9,Cloud Nine
14,1,ふくがん
14,3,복안
14,5,Œil Composé
14,6,Facettenauge
14,7,Ojo Compuesto
14,8,Insettocchi
14,9,Compound Eyes
15,1,ふみん
15,3,불면
15,5,Insomnia
15,6,Insomnia
15,7,Insomnio
15,8,Insonnia
15,9,Insomnia
16,1,へんしょく
16,3,변색
16,5,Déguisement
16,6,Farbwechsel
16,7,Cambio Color
16,8,Cambiacolore
16,9,Color Change
17,1,めんえき
17,3,면역
17,5,Vaccin
17,6,Immunität
17,7,Inmunidad
17,8,Immunità
17,9,Immunity
18,1,もらいび
18,3,타오르는불꽃
18,5,Torche
18,6,Feuerfänger
18,7,Absorbe Fuego
18,8,Fuocardore
18,9,Flash Fire
19,1,りんぷん
19,3,인분
19,5,Écran Poudre
19,6,Puderabwehr
19,7,Polvo Escudo
19,8,Polvoscudo
19,9,Shield Dust
20,1,マイペース
20,3,마이페이스
20,5,Tempo Perso
20,6,Tempomacher
20,7,Ritmo Propio
20,8,Mente Locale
20,9,Own Tempo
21,1,きゅうばん
21,3,흡반
21,5,Ventouse
21,6,Saugnapf
21,7,Ventosas
21,8,Ventose
21,9,Suction Cups
22,1,いかく
22,3,위협
22,5,Intimidation
22,6,Bedroher
22,7,Intimidación
22,8,Prepotenza
22,9,Intimidate
23,1,かげふみ
23,3,그림자밟기
23,5,Marque Ombre
23,6,Wegsperre
23,7,Sombra Trampa
23,8,Pedinombra
23,9,Shadow Tag
24,1,さめはだ
24,3,까칠한피부
24,5,Peau Dure
24,6,Rauhaut
24,7,Piel Tosca
24,8,Cartavetro
24,9,Rough Skin
25,1,ふしぎなまもり
25,3,불가사의부적
25,5,Garde Mystik
25,6,Wunderwache
25,7,Superguarda
25,8,Magidifesa
25,9,Wonder Guard
26,1,ふゆう
26,3,부유
26,5,Lévitation
26,6,Schwebe
26,7,Levitación
26,8,Levitazione
26,9,Levitate
27,1,ほうし
27,3,포자
27,5,Pose Spore
27,6,Sporenwirt
27,7,Efecto Espora
27,8,Spargispora
27,9,Effect Spore
28,1,シンクロ
28,3,싱크로
28,5,Synchro
28,6,Synchro
28,7,Sincronía
28,8,Sincronismo
28,9,Synchronize
29,1,クリアボディ
29,3,클리어바디
29,5,Corps Sain
29,6,Neutraltorso
29,7,Cuerpo Puro
29,8,Corpochiaro
29,9,Clear Body
30,1,しぜんかいふく
30,3,자연회복
30,5,Médic Nature
30,6,Innere Kraft
30,7,Cura Natural
30,8,Alternacura
30,9,Natural Cure
31,1,ひらいしん
31,3,피뢰침
31,5,Paratonnerre
31,6,Blitzfänger
31,7,Pararrayos
31,8,Parafulmine
31,9,Lightning Rod
32,1,てんのめぐみ
32,3,하늘의은총
32,5,Sérénité
32,6,Edelmut
32,7,Dicha
32,8,Leggiadro
32,9,Serene Grace
33,1,すいすい
33,3,쓱쓱
33,5,Glissade
33,6,Wassertempo
33,7,Nado Rápido
33,8,Nuotovelox
33,9,Swift Swim
34,1,ようりょくそ
34,3,엽록소
34,5,Chlorophylle
34,6,Chlorophyll
34,7,Clorofila
34,8,Clorofilla
34,9,Chlorophyll
35,1,はっこう
35,3,발광
35,5,Lumiattirance
35,6,Erleuchtung
35,7,Iluminación
35,8,Risplendi
35,9,Illuminate
36,1,トレース
36,3,트레이스
36,5,Calque
36,6,Fährte
36,7,Rastro
36,8,Traccia
36,9,Trace
37,1,ちからもち
37,3,천하장사
37,5,Coloforce
37,6,Kraftkoloss
37,7,Potencia
37,8,Macroforza
37,9,Huge Power
38,1,どくのトゲ
38,3,독가시
38,5,Point Poison
38,6,Giftdorn
38,7,Punto Tóxico
38,8,Velenopunto
38,9,Poison Point
39,1,せいしんりょく
39,3,정신력
39,5,Attention
39,6,Konzentrator
39,7,Foco Interno
39,8,Fuocodentro
39,9,Inner Focus
40,1,マグマのよろい
40,3,마그마의무장
40,5,Armumagma
40,6,Magmapanzer
40,7,Escudo Magma
40,8,Magmascudo
40,9,Magma Armor
41,1,みずのベール
41,3,수의베일
41,5,Ignifu-Voile
41,6,Aquahülle
41,7,Velo Agua
41,8,Idrovelo
41,9,Water Veil
42,1,じりょく
42,3,자력
42,5,Magnépiège
42,6,Magnetfalle
42,7,Imán
42,8,Magnetismo
42,9,Magnet Pull
43,1,ぼうおん
43,3,방음
43,5,Anti-Bruit
43,6,Lärmschutz
43,7,Insonorizar
43,8,Antisuono
43,9,Soundproof
44,1,あめうけざら
44,3,젖은접시
44,5,Cuvette
44,6,Regengenuss
44,7,Cura Lluvia
44,8,Copripioggia
44,9,Rain Dish
45,1,すなおこし
45,3,모래날림
45,5,Sable Volant
45,6,Sandsturm
45,7,Chorro Arena
45,8,Sabbiafiume
45,9,Sand Stream
46,1,プレッシャー
46,3,프레셔
46,5,Pression
46,6,Erzwinger
46,7,Presión
46,8,Pressione
46,9,Pressure
47,1,あついしぼう
47,3,두꺼운지방
47,5,Isograisse
47,6,Speckschicht
47,7,Sebo
47,8,Grassospesso
47,9,Thick Fat
48,1,はやおき
48,3,일찍기상
48,5,Matinal
48,6,Frühwecker
48,7,Madrugar
48,8,Sveglialampo
48,9,Early Bird
49,1,ほのおのからだ
49,3,불꽃몸
49,5,Corps Ardent
49,6,Flammkörper
49,7,Cuerpo Llama
49,8,Corpodifuoco
49,9,Flame Body
50,1,にげあし
50,3,도주
50,5,Fuite
50,6,Angsthase
50,7,Fuga
50,8,Fugafacile
50,9,Run Away
51,1,するどいめ
51,3,날카로운눈
51,5,Regard Vif
51,6,Adlerauge
51,7,Vista Lince
51,8,Sguardofermo
51,9,Keen Eye
52,1,かいりきバサミ
52,3,괴력집게
52,5,Hyper Cutter
52,6,Scherenmacht
52,7,Corte Fuerte
52,8,Ipertaglio
52,9,Hyper Cutter
53,1,ものひろい
53,3,픽업
53,5,Ramassage
53,6,Mitnahme
53,7,Recogida
53,8,Raccolta
53,9,Pickup
54,1,なまけ
54,3,게으름
54,5,Absentéisme
54,6,Schnarchnase
54,7,Ausente
54,8,Pigrone
54,9,Truant
55,1,はりきり
55,3,의욕
55,5,Agitation
55,6,Übereifer
55,7,Entusiasmo
55,8,Tuttafretta
55,9,Hustle
56,1,メロメロボディ
56,3,헤롱헤롱바디
56,5,Joli Sourire
56,6,Charmebolzen
56,7,Gran Encanto
56,8,Incantevole
56,9,Cute Charm
57,1,プラス
57,3,플러스
57,5,Plus
57,6,Plus
57,7,Más
57,8,Più
57,9,Plus
58,1,マイナス
58,3,마이너스
58,5,Minus
58,6,Minus
58,7,Menos
58,8,Meno
58,9,Minus
59,1,てんきや
59,3,기분파
59,5,Météo
59,6,Prognose
59,7,Predicción
59,8,Previsioni
59,9,Forecast
60,1,ねんちゃく
60,3,점착
60,5,Glue
60,6,Wertehalter
60,7,Viscosidad
60,8,Antifurto
60,9,Sticky Hold
61,1,だっぴ
61,3,탈피
61,5,Mue
61,6,Expidermis
61,7,Mudar
61,8,Muta
61,9,Shed Skin
62,1,こんじょう
62,3,근성
62,5,Cran
62,6,Adrenalin
62,7,Agallas
62,8,Dentistretti
62,9,Guts
63,1,ふしぎなうろこ
63,3,이상한비늘
63,5,Écaille Spéciale
63,6,Notschutz
63,7,Escama Especial
63,8,Pelledura
63,9,Marvel Scale
64,1,ヘドロえき
64,3,해감액
64,5,Suintement
64,6,Kloakensoße
64,7,Lodo Líquido
64,8,Melma
64,9,Liquid Ooze
65,1,しんりょく
65,3,심록
65,5,Engrais
65,6,Notdünger
65,7,Espesura
65,8,Erbaiuto
65,9,Overgrow
66,1,もうか
66,3,맹화
66,5,Brasier
66,6,Großbrand
66,7,Mar Llamas
66,8,Aiutofuoco
66,9,Blaze
67,1,げきりゅう
67,3,급류
67,5,Torrent
67,6,Sturzbach
67,7,Torrente
67,8,Acquaiuto
67,9,Torrent
68,1,むしのしらせ
68,3,벌레의알림
68,5,Essaim
68,6,Hexaplaga
68,7,Enjambre
68,8,Aiutinsetto
68,9,Swarm
69,1,いしあたま
69,3,돌머리
69,5,Tête de Roc
69,6,Steinhaupt
69,7,Cabeza Roca
69,8,Testadura
69,9,Rock Head
70,1,ひでり
70,3,가뭄
70,5,Sécheresse
70,6,Dürre
70,7,Sequía
70,8,Siccità
70,9,Drought
71,1,ありじごく
71,3,개미지옥
71,5,Piège
71,6,Ausweglos
71,7,Trampa Arena
71,8,Trappoarena
71,9,Arena Trap
72,1,やるき
72,3,의기양양
72,5,Esprit Vital
72,6,Munterkeit
72,7,Espíritu Vital
72,8,Spiritovivo
72,9,Vital Spirit
73,1,しろいけむり
73,3,하얀연기
73,5,Écran Fumée
73,6,Pulverrauch
73,7,Humo Blanco
73,8,Fumochiaro
73,9,White Smoke
74,1,ヨガパワー
74,3,순수한힘
74,5,Force Pure
74,6,Mentalkraft
74,7,Energía Pura
74,8,Forzapura
74,9,Pure Power
75,1,シェルアーマー
75,3,조가비갑옷
75,5,Coque Armure
75,6,Panzerhaut
75,7,Caparazón
75,8,Guscioscudo
75,9,Shell Armor
76,1,エアロック
76,3,에어록
76,5,Air Lock
76,6,Klimaschutz
76,7,Bucle Aire
76,8,Riparo
76,9,Air Lock
77,1,ちどりあし
77,3,갈지자걸음
77,5,Pieds Confus
77,6,Fußangel
77,7,Tumbos
77,8,Intricopiedi
77,9,Tangled Feet
78,1,でんきエンジン
78,3,전기엔진
78,5,Motorisé
78,6,Starthilfe
78,7,Electromotor
78,8,Elettrorapid
78,9,Motor Drive
79,1,とうそうしん
79,3,투쟁심
79,5,Rivalité
79,6,Rivalität
79,7,Rivalidad
79,8,Antagonismo
79,9,Rivalry
80,1,ふくつのこころ
80,3,불굴의마음
80,5,Impassible
80,6,Felsenfest
80,7,Impasible
80,8,Cuordeciso
80,9,Steadfast
81,1,ゆきがくれ
81,3,눈숨기
81,5,Rideau Neige
81,6,Schneemantel
81,7,Manto Níveo
81,8,Mantelneve
81,9,Snow Cloak
82,1,くいしんぼう
82,3,먹보
82,5,Gloutonnerie
82,6,Völlerei
82,7,Gula
82,8,Voracità
82,9,Gluttony
83,1,いかりのつぼ
83,3,분노의경혈
83,5,Colérique
83,6,Kurzschluss
83,7,Irascible
83,8,Grancollera
83,9,Anger Point
84,1,かるわざ
84,3,곡예
84,5,Délestage
84,6,Entlastung
84,7,Liviano
84,8,Agiltecnica
84,9,Unburden
85,1,たいねつ
85,3,내열
85,5,Ignifugé
85,6,Hitzeschutz
85,7,Ignífugo
85,8,Antifuoco
85,9,Heatproof
86,1,たんじゅん
86,3,단순
86,5,Simple
