ability_id,local_language_id,short_effect,effect
1,6,Mit jedem Treffer besteht eine 10% Chance das Ziel [zurückschrecken]{mechanic:flinch} zu lassen.,"Attacken die Schaden verursachen haben mit jedem Treffer eine 10% Chance das Ziel [zurückschrecken]{mechanic:flinch} zu lassen, wenn die Attacke dies nicht bereits als Nebeneffekt hat.

Der Effekt stapelt nicht mit dem von getragenen Items.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen wilde Pokémon nur halb so oft auf."
1,9,Has a 10% chance of making target Pokémon [flinch]{mechanic:flinch} with each hit.,"This Pokémon's damaging moves have a 10% chance to make the target [flinch]{mechanic:flinch} with each hit if they do not already cause flinching as a secondary effect.

This ability does not stack with a held item.

Overworld: The wild encounter rate is halved while this Pokémon is first in the party."
2,6,Ändert beim Betreten des Kampfes das []{mechanic:weather} in []{mechanic:rain}.,"Das []{mechanic:weather} ändert sich zu []{mechanic:rain} wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt. Dieser Effekt ist dauerhaft bis das []{mechanic:weather} geändert wird.

Wenn mehrere Pokémon mit dieser Fähigkeit, []{ability:drought}, []{ability:sand-stream} oder []{ability:snow-warning} zur selben Zeit den Kampf betreten, werden die Fähigkeiten nach Reihenfolge der []{mechanic:speed} der Pokémon ausgelöst, unter Berücksichtigung von []{move:trick-room}."
2,9,Summons [rain]{mechanic:rain} that lasts indefinitely upon entering battle.,"The [weather]{mechanic:weather} changes to [rain]{mechanic:rain} when this Pokémon enters battle and does not end unless replaced by another weather condition.

If multiple Pokémon with this ability, []{ability:drought}, []{ability:sand-stream}, or []{ability:snow-warning} are sent out at the same time, the abilities will activate in order of [Speed]{mechanic:speed}, respecting []{move:trick-room}.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay."
3,6,Steigert die []{mechanic:speed} um 1 [Stufe]{mechanic:stat-modifier} nach jeder Runde.,Die []{mechanic:speed} des Pokémon erhöht sich jede Runde um 1 [Stufe]{mechanic:stat-modifier}.
3,9,Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} after each turn.,This Pokémon's [Speed]{mechanic:speed} rises one [stage]{mechanic:stat-modifier} after each turn.
4,6,Schützt vor [kritischen Treffern]{mechanic:critical-hit}.,"Attacken können keinen [kritischen Treffer]{mechanic:critical-hit} landen.

Diese Fähigkeit ist identisch mit []{ability:shell-armor}."
4,9,Protects against [critical hits]{mechanic:critical-hit}.,"Moves cannot score [critical hits]{mechanic:critical-hit} against this Pokémon.

This ability functions identically to []{ability:shell-armor}."
5,6,"Verhindert K.O.-Treffer bei vollen []{mechanic:hp}, das Pokémon behält 1 []{mechanic:hp}. Schützt gegen K.O.-Attacken.","Wenn das Pokémon volle []{mechanic:hp} hat, lässt jeder Treffer der das Pokémon besiegt hätte ein []{mechanic:hp} übrig. Das Pokémon ist immun gegen die K.O.-Attacken []{move:fissure}, []{move:guillotine}, []{move:horn-drill} und []{move:sheer-cold}.

Hält das Pokémon ein []{item:focus-sash}, hat die Fähigkeit Vorrang und das Item wird nicht verbraucht."
5,9,"Prevents being KOed from full [HP]{mechanic:hp}, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP.","When this Pokémon is at full [HP]{mechanic:hp}, any hit that would knock it out will instead leave it with 1 HP.  Regardless of its current HP, it is also immune to the one-hit KO moves: []{move:fissure}, []{move:guillotine}, []{move:horn-drill}, and []{move:sheer-cold}.

If this Pokémon is holding a []{item:focus-sash}, this ability takes precedence and the item will not be consumed."
