episode_id,local_language_id,name
1,7,La Leyenda de Ransei
1,9,The Legend of Ransei
1,14,La Leyenda de Ransei
2,7,El Camino hacia la Conquista
2,9,The Road to Conquest
2,14,El Camino hacia la Conquista
3,7,Felices por Siempre
3,9,Happily Ever After
3,14,Felices por Siempre
4,7,El Peso de la Paz
4,9,The Burden of Peace
4,14,El Peso de la Paz
5,7,El Camino del Guerrero
5,9,The Way of the Warrior
5,14,El Camino del Guerrero
6,7,La Alegría de la Batalla
6,9,The Joy of Battle
6,14,La Alegría de la Batalla
7,7,Orgullo y Precocidad
7,9,Pride and Precociousness
7,14,Orgullo y Precocidad
8,7,Determinación Trágica
8,9,Tragic Determination
8,14,Determinación Trágica
9,7,Un Manto de Oscuridad
9,9,A Shroud of Darkness
9,14,Un Manto de Oscuridad
10,7,No Vale la Pena Pelear por... 1
10,9,Not Worth Fighting Over... 1
10,14,No Vale la Pena Pelear por... 1
11,7,Enseñándoles una Lección
11,9,Teaching Them a Lesson
11,14,Enseñándoles una Lección
12,7,El Genio Renuente
12,9,The Reluctant Genius
12,14,El Genio Renuente
13,7,El Guerrero Incomparable
13,9,The Unparalleled Warrior
13,14,El Guerrero Incomparable
14,7,Un Ninja entre Ninjas
14,9,A Ninja amongst Ninjas
14,14,Un Ninja entre Ninjas
15,7,Archienemigos
15,9,Archenemies
15,14,Archienemigos
16,7,¡Tiempo para la Batalla!
16,9,Time for Battle!
16,14,¡Tiempo para la Batalla!
17,7,Tierra de Amor y Honradez
17,9,Land of Love and Righteousness
17,14,Tierra de Amor y Honradez
18,7,El Amor es un Campo de Batalla
18,9,Love is a Battlefield
18,14,El Amor es un Campo de Batalla
19,7,La Apuesta Final
19,9,The Final Gamble
19,14,La Apuesta Final
20,7,Soplando en el Viento
20,9,Blowing in the Wind
20,14,Soplando en el Viento
21,7,Belleza Legendaria de Ransei
21,9,Ransei’s Legendary Beauty
21,14,Belleza Legendaria de Ransei
22,7,Todo Crece
22,9,All Grown Up
22,14,Todo Crece
23,7,El Rebelde
23,9,The Rebel
23,14,El Rebelde
24,7,Eso que el Querido Sostiene
24,9,That Which He Holds Dear
24,14,Eso que el Querido Sostiene
25,7,No Vale la Pena Pelear por... 2
25,9,Not Worth Fighting Over... 2
25,14,No Vale la Pena Pelear por... 2
26,7,La Rosa de Ransei
26,9,The Rose of Ransei
26,14,La Rosa de Ransei
27,7,La Misión del Visionario
27,9,The Visionary’s Quest
27,14,La Misión del Visionario
28,7,Gracia y Belleza
28,9,Grace and Beauty
28,14,Gracia y Belleza
29,7,Pokémari y Yo
29,9,Pokémari and Me
29,14,Pokémari y Yo
30,7,El Sueño del Dragón
30,9,The Dragon’s Dream
30,14,El Sueño del Dragón
31,7,Dejando Abajo los Libros
31,9,Putting the Books Down
31,14,Dejando Abajo los Libros
32,7,Una Cita con el Destino
32,9,A Date with Destiny
32,14,Una Cita con el Destino
33,7,Esta va para mis Fans
33,9,This One Goes Out to My Fans
33,14,Esta va para mis Fans
34,7,Simplemente lo Mejor
34,9,Simply the Best
34,14,Simplemente lo Mejor
35,7,No Vale la Pena Pelear por... 3
35,9,Not Worth Fighting Over... 3
35,14,No Vale la Pena Pelear por... 3
36,7,Belleza Destino de Nacimiento
36,9,A Fate Born of Beauty
36,14,Belleza Destino de Nacimiento
37,7,El Sendero del Espíritu Libre
37,9,The Free Spirit’s Path
37,14,El Sendero del Espíritu Libre
38,7,Dos Héroes de Ransei
38,9,Two Heroes of Ransei
38,14,Dos Héroes de Ransei
