id,identifier
1,the-legend-of-ransei
2,the-road-to-conquest
3,happily-ever-after
4,the-burden-of-peace
5,the-way-of-the-warrior
6,the-joy-of-battle
7,pride-and-precociousness
8,tragic-determination
9,a-shroud-of-darkness
10,not-worth-fighting-over-1
11,teaching-them-a-lesson
12,the-reluctant-genius
13,the-unparalleled-warrior
14,a-ninja-amongst-ninjas
15,archenemies
16,time-for-battle
17,land-of-love-and-righteousness
18,love-is-a-battlefield
19,the-final-gamble
20,blowing-in-the-wind
21,ranseis-legendary-beauty
22,all-grown-up
23,the-rebel
24,that-which-he-holds-dear
25,not-worth-fighting-over-2
26,the-rose-of-ransei
27,the-visionarys-quest
28,grace-and-beauty
29,pokemari-and-me
30,the-dragons-dream
31,putting-the-books-down
32,a-date-with-destiny
33,this-one-goes-out-to-my-fans
34,simply-the-best
35,not-worth-fighting-over-3
36,a-fate-born-of-beauty
37,the-free-spirits-path
38,two-heroes-of-ransei
