warrior_rank_id,pokemon_species_id,max_link
1,4,86
1,5,90
1,6,90
1,15,78
1,23,80
1,24,86
1,25,80
1,26,86
1,39,90
1,40,90
1,41,80
1,42,80
1,52,90
1,53,90
1,63,80
1,64,86
1,65,86
1,66,50
1,67,50
1,68,50
1,92,80
1,93,80
1,94,80
1,95,80
1,111,88
1,112,88
1,123,72
1,129,86
1,130,86
1,131,66
1,133,100
1,134,90
1,135,90
1,136,90
1,143,90
1,144,0
1,147,70
1,148,76
1,149,76
1,150,0
1,169,80
1,172,80
1,174,90
1,179,88
1,180,88
1,181,88
1,194,80
1,195,80
1,196,90
1,197,90
1,200,70
1,204,84
1,205,84
1,208,80
1,212,78
1,215,80
1,246,70
1,247,70
1,248,70
1,252,80
1,253,88
1,254,88
1,280,80
1,281,80
1,282,80
1,304,84
1,305,90
1,306,90
1,347,70
1,348,70
1,355,84
1,356,84
1,358,80
1,361,80
1,362,80
1,363,80
1,364,80
1,365,80
1,374,74
1,375,74
1,376,74
1,379,0
1,383,0
1,384,0
1,390,50
1,391,50
1,392,50
1,393,84
1,394,90
1,395,90
1,396,90
1,397,90
1,398,90
1,399,90
1,400,90
1,403,80
1,404,88
1,405,88
1,410,74
1,411,74
1,425,80
1,426,80
1,429,70
1,433,80
1,442,84
1,443,70
1,444,76
1,445,76
1,446,90
1,447,50
1,448,50
1,451,84
1,452,84
1,453,50
1,454,50
1,455,80
1,461,80
1,464,88
1,470,90
1,471,90
1,475,50
1,477,84
1,478,88
1,483,0
1,493,40
1,495,80
1,496,88
1,497,88
1,498,50
1,499,50
1,500,50
1,501,80
1,502,86
1,503,86
1,511,80
1,512,80
1,513,86
1,514,86
1,515,80
1,516,80
1,517,80
1,518,80
1,522,80
1,523,82
1,524,80
1,525,86
1,526,86
1,529,80
1,530,80
1,531,90
1,532,50
1,533,50
1,534,50
1,540,84
1,541,84
1,542,84
1,543,86
1,544,86
1,545,86
1,546,80
1,547,80
1,548,80
1,549,80
1,551,80
1,552,88
1,553,88
1,554,86
1,555,86
1,559,50
1,560,50
1,570,86
1,571,86
1,572,90
1,573,90
1,574,84
1,575,84
1,576,84
1,587,80
1,595,86
1,596,88
1,607,90
1,608,90
1,609,90
1,610,80
1,611,88
1,612,88
1,613,88
1,614,88
1,624,86
1,625,86
1,627,90
1,628,90
1,633,70
1,634,70
1,635,70
1,636,78
1,637,78
1,639,0
1,643,0
1,644,0
2,4,88
2,5,90
2,6,90
2,15,84
2,23,82
2,24,88
2,25,82
2,26,88
2,39,90
2,40,90
2,41,82
2,42,82
2,52,90
2,53,90
2,63,82
2,64,88
2,65,88
2,66,50
2,67,50
2,68,50
2,92,82
2,93,82
2,94,82
2,95,86
2,111,90
2,112,90
2,123,84
2,129,88
2,130,88
2,131,76
2,133,100
2,134,100
2,135,100
2,136,100
