move_id,power,accuracy,effect_chance,effect_id,range_id,displacement_id
1,26,100,,60,2,
2,31,100,,9,2,
3,10,90,,14,2,
17,31,100,,60,2,
22,24,100,,60,7,
29,39,100,30,44,2,
33,31,100,,60,2,
34,45,100,30,37,11,1
40,12,100,30,39,3,
41,26,100,20,68,3,
44,36,100,30,44,2,
52,26,100,10,41,11,
53,45,100,10,41,4,
55,24,100,,60,3,
56,51,80,,60,4,
58,45,100,10,42,4,
59,51,70,10,42,16,
60,35,100,10,43,4,
61,38,100,10,33,17,
67,31,90,,60,2,
71,20,100,,21,2,
72,26,100,,21,2,
75,31,95,,9,4,
80,41,100,,64,5,
82,40,75,,1,3,
83,12,85,,15,14,
84,24,100,10,37,3,
85,45,100,10,37,15,
87,51,70,30,37,12,
91,41,100,,16,11,
93,29,100,10,43,12,
94,44,100,10,30,13,
95,,60,100,38,3,
98,31,100,,60,2,
100,,,,22,1,
122,14,100,30,37,2,
126,51,85,10,41,19,
136,65,90,,26,11,1
138,48,100,,67,2,
145,20,100,10,33,3,
150,,,,69,1,
154,10,90,,14,2,
157,41,90,30,44,4,
158,43,90,10,44,2,
163,41,100,,9,2,
172,32,100,10,62,11,1
181,24,100,10,42,3,
185,36,,,52,2,
188,44,100,30,39,18,
189,17,100,100,36,3,
196,34,95,100,58,7,
200,41,100,,64,5,
209,39,100,30,37,2,
210,12,95,,3,7,
231,45,75,30,30,7,4
232,31,95,10,28,2,
238,45,80,,9,10,
242,43,100,20,30,2,
247,43,100,20,30,11,
248,45,100,,18,16,
276,55,100,100,59,2,4
301,18,90,,3,11,1
304,44,100,,60,6,
305,31,100,30,40,2,
309,48,85,20,28,2,4
310,20,100,30,44,2,4
317,31,80,100,58,11,
337,43,100,,60,2,
342,29,100,10,66,7,
344,58,100,10,63,15,1
348,45,100,,9,2,
350,10,90,,14,11,
352,36,100,20,43,3,
358,36,100,,65,2,
360,18,100,,6,11,1
362,35,100,,48,3,
372,31,100,,7,2,
395,31,100,30,37,2,4
396,45,,,52,11,4
398,43,100,30,39,2,
400,38,100,,9,7,
401,44,90,,60,7,4
404,41,100,,60,10,
406,44,100,,60,4,
407,45,75,20,44,13,2
413,58,100,,25,8,1
414,44,100,10,30,9,
418,26,100,,60,2,
424,39,95,10,61,2,
425,26,100,,60,2,
426,39,85,30,36,11,
427,38,100,,9,3,
430,41,100,10,30,9,
435,41,100,30,37,6,
437,52,90,100,29,6,
439,58,90,,23,12,
440,38,100,10,66,10,
442,43,100,30,44,2,4
444,45,80,,9,9,
449,55,100,,60,6,
450,36,100,,51,2,
459,58,90,,23,21,
473,43,100,,60,11,
474,35,100,,49,15,
481,38,100,,60,18,
486,26,100,,5,11,
492,47,100,,8,2,
506,31,100,,2,2,
507,36,100,,17,2,
510,28,100,,47,4,
521,41,100,,19,11,3
523,33,100,100,58,5,
525,33,90,,20,7,5
529,41,95,,9,11,1
533,45,100,,4,2,
535,43,100,,60,11,1
539,42,95,40,36,5,
540,45,100,,60,20,
541,23,85,,14,7,
550,57,85,20,37,2,4
551,55,85,20,41,9,
552,41,100,50,28,13,2
556,45,90,30,44,11,
