evolved_species_id,required_stat_id,minimum_stat,minimum_link,kingdom_id,warrior_gender_id,item_id,recruiting_ko_required
5,2,50,,,,,0
6,2,83,,,,,0
24,2,59,,,,,0
25,,,50,,,,0
26,,,,,,83,0
39,,,50,,,,0
40,,,,,,81,0
42,4,55,,,,,0
53,4,96,,,,,0
64,2,83,,,,,0
65,,,55,,,,1
67,2,86,,,,,0
68,,,60,,,,1
93,2,99,,,,,0
94,,,60,,,,1
112,2,108,,,,,0
130,2,16,,,,,0
134,,,,,,84,0
135,,,,,,83,0
136,,,,,,82,0
143,,,50,,,,0
148,2,60,,,,,0
149,2,132,,,,,0
169,,,65,,,,0
180,2,53,,,,,0
181,2,90,,,,,0
195,1,94,,,,,0
196,,,70,11,,,0
197,,,70,16,,,0
205,3,73,,,,,0
208,,,,,,210,1
212,,,,,,210,1
247,2,74,,,,,0
248,2,132,,,,,0
253,4,58,,,,,0
254,4,118,,,,,0
281,2,44,,,,,0
282,2,75,,,,,0
305,3,83,,,,,0
306,3,130,,,,,0
348,2,116,,,,,0
356,3,104,,,,,0
358,,,50,,,,0
362,1,128,,,,,0
364,1,138,,,,,0
365,1,195,,,,,0
375,3,64,,,,,0
376,2,111,,,,,0
391,4,48,,,,,0
392,4,102,,,,,0
394,2,51,,,,,0
395,2,102,,,,,0
397,4,48,,,,,0
398,2,92,,,,,0
400,2,39,,,,,0
404,2,35,,,,,0
405,2,95,,,,,0
411,3,113,,,,,0
426,1,146,,,,,0
429,,,,,,108,0
444,2,44,,,,,0
445,2,136,,,,,0
448,,,50,,,,0
452,3,90,,,,,0
454,2,81,,,,,0
461,4,175,,,,303,0
464,,,,,,298,1
470,3,94,,5,,,0
471,2,91,,6,,,0
475,,,,,2,109,0
477,,,,,,302,1
478,,,,,1,109,0
496,4,54,,,,,0
497,4,104,,,,,0
499,2,41,,,,,0
500,2,115,,,,,0
502,2,54,,,,,0
503,2,104,,,,,0
512,,,,,,85,0
514,,,,,,82,0
516,,,,,,84,0
518,,,,,,81,0
523,4,81,,,,,0
525,3,59,,,,,0
526,,,60,,,,1
530,2,97,,,,,0
533,2,81,,,,,0
534,,,60,,,,1
541,3,60,,,,,0
542,,,65,,,,0
544,3,50,,,,,0
545,4,57,,,,,0
547,,,,,,80,0
549,,,,,,80,0
552,2,80,,,,,0
553,2,110,,,,,0
555,2,110,,,,,0
560,3,86,,,,,0
571,2,90,,,,,0
573,,,,,,107,0
575,3,70,,,,,0
576,3,106,,,,,0
596,4,84,,,,,0
608,2,84,,,,,0
609,,,,,,108,0
611,2,113,,,,,0
612,2,173,,,,,0
614,2,73,,,,,0
625,2,118,,,,,0
628,2,119,,,,,0
634,2,72,,,,,0
635,2,143,,,,,0
637,2,131,,,,,0
