pokemon_species_id,move_id
4,52
5,424
6,53
15,41
23,40
24,474
25,85
26,344
39,3
40,304
41,17
42,305
52,154
53,163
63,100
64,60
65,94
66,2
67,358
68,238
92,122
93,506
94,247
95,317
111,523
112,529
123,210
129,150
130,401
131,58
133,98
134,56
135,85
136,424
143,34
144,59
147,82
148,525
149,407
150,540
169,440
172,84
174,1
179,84
180,435
181,87
194,55
195,426
196,60
197,372
200,310
204,450
205,360
208,231
212,404
215,185
246,317
247,157
248,444
252,71
253,348
254,437
280,93
281,473
282,94
304,232
305,442
306,231
347,210
348,404
355,310
356,425
358,473
361,181
362,58
363,181
364,301
365,59
374,442
375,418
376,309
379,430
383,414
384,406
390,52
391,172
392,83
393,145
394,61
395,56
396,98
397,17
398,413
399,29
400,158
403,209
404,435
405,87
410,442
411,157
425,310
426,247
429,247
433,93
442,425
443,82
444,337
445,407
446,33
447,395
448,396
451,398
452,440
453,398
454,188
455,22
461,400
464,439
470,348
471,196
475,427
477,247
478,196
483,459
493,449
495,22
496,348
497,437
498,52
499,535
500,126
501,55
502,352
503,401
511,22
512,437
513,481
514,510
515,55
516,362
517,95
518,138
522,209
523,435
524,350
525,157
526,444
529,91
530,529
531,1
532,67
533,358
534,276
540,450
541,75
542,404
543,40
544,342
545,474
546,71
547,75
548,72
549,80
551,189
552,44
553,242
554,172
555,126
559,185
560,136
570,492
571,539
572,3
573,541
574,93
575,60
576,248
587,521
595,486
596,435
607,52
608,481
609,83
610,82
611,337
612,200
613,181
614,556
624,372
625,400
627,17
628,507
633,82
634,242
635,406
636,172
637,552
639,533
643,551
644,550
