pokemon_species_id,conquest_stat_id,base_stat
4,1,188
4,2,125
4,3,97
4,4,135
4,5,4
5,1,226
5,2,133
5,3,127
5,4,165
5,5,3
6,1,266
6,2,223
6,3,167
6,4,205
6,5,2
15,1,240
15,2,165
15,3,125
15,4,155
15,5,3
23,1,180
23,2,125
23,3,103
23,4,115
23,5,3
24,1,230
24,2,175
24,3,153
24,4,165
24,5,3
25,1,180
25,2,105
25,3,75
25,4,185
25,5,3
26,1,230
26,2,185
26,3,139
26,4,205
26,5,3
39,1,340
39,2,95
39,3,49
39,4,45
39,5,3
40,1,390
40,2,145
40,3,99
40,4,95
40,5,3
41,1,190
41,2,95
41,3,79
41,4,115
41,5,4
42,1,260
42,2,135
42,3,149
42,4,185
42,5,4
52,1,190
52,2,95
52,3,79
52,4,185
52,5,3
53,1,240
53,2,145
53,3,129
53,4,235
53,5,3
63,1,160
63,2,215
63,3,75
63,4,185
63,5,4
64,1,190
64,2,245
64,3,105
64,4,215
64,5,3
65,1,220
65,2,275
65,3,135
65,4,245
65,5,3
66,1,250
66,2,165
66,3,89
66,4,75
66,5,3
67,1,270
67,2,205
67,3,135
67,4,95
67,5,3
68,1,290
68,2,265
68,3,169
68,4,115
68,5,3
92,1,170
92,2,205
92,3,69
92,4,165
92,5,4
93,1,200
93,2,235
93,3,105
93,4,195
93,5,3
94,1,230
94,2,265
94,3,139
94,4,225
94,5,3
95,1,180
95,2,95
95,3,209
95,4,145
95,5,2
111,1,270
111,2,175
111,3,129
111,4,55
111,5,3
112,1,320
112,2,265
112,3,169
112,4,85
112,5,2
123,1,250
123,2,225
123,3,165
123,4,215
123,5,3
129,1,150
129,2,25
129,3,79
129,4,165
129,5,3
130,1,300
130,2,255
130,3,183
130,4,167
130,5,3
131,1,370
131,2,175
131,3,179
131,4,125
131,5,3
133,1,220
133,2,115
133,3,119
133,4,115
133,5,4
134,1,370
134,2,225
134,3,159
134,4,135
134,5,4
135,1,240
135,2,225
135,3,159
135,4,265
135,5,4
136,1,240
136,2,265
136,3,175
136,4,135
136,5,4
143,1,430
143,2,225
143,3,179
143,4,65
143,5,2
144,1,290
144,2,195
144,3,229
144,4,175
144,5,3
147,1,192
147,2,105
147,3,99
147,4,105
147,5,3
148,1,232
148,2,173
148,3,139
148,4,145
148,5,3
149,1,292
149,2,273
149,3,199
149,4,165
149,5,2
150,1,322
150,2,313
150,3,185
150,4,265
150,5,4
169,1,280
169,2,185
169,3,165
169,4,265
169,5,4
172,1,150
172,2,75
172,3,55
172,4,125
172,5,4
174,1,290
174,2,65
174,3,39
174,4,35
174,5,3
179,1,220
179,2,135
179,3,89
179,4,75
179,5,3
180,1,250
180,2,165
180,3,119
180,4,95
180,5,3
181,1,290
181,2,235
181,3,169
181,4,115
181,5,3
194,1,220
194,2,55
194,3,75
194,4,35
194,5,3
195,1,300
195,2,175
195,3,155
195,4,75
195,5,3
196,1,240
196,2,265
196,3,159
196,4,225
196,5,4
197,1,300
197,2,135
197,3,245
197,4,135
197,5,4
200,1,230
200,2,175
200,3,149
200,4,175
200,5,3
204,1,210
204,2,135
204,3,129
204,4,35
204,5,3
205,1,260
205,2,185
205,3,205
205,4,85
205,5,3
208,1,260
208,2,175
208,3,269
208,4,65
208,5,2
212,1,250
212,2,265
212,3,185
212,4,135
212,5,3
215,1,220
215,2,195
215,3,135
215,4,235
215,5,3
246,1,210
246,2,133
246,3,105
246,4,87
246,5,3
247,1,250
247,2,173
247,3,145
247,4,107
247,5,3
248,1,310
248,2,273
248,3,215
248,4,127
248,5,2
252,1,190
252,2,135
252,3,95
252,4,145
252,5,4
253,1,210
253,2,175
253,3,115
253,4,195
253,5,3
254,1,250
254,2,215
254,3,155
254,4,245
254,5,3
280,1,166
280,2,95
280,3,65
280,4,85
280,5,3
281,1,186
281,2,135
281,3,95
281,4,105
281,5,3
282,1,246
282,2,255
282,3,185
282,4,165
282,5,3
304,1,210
304,2,145
304,3,145
304,4,65
304,5,3
305,1,230
305,2,185
305,3,195
305,4,85
305,5,3
306,1,250
306,2,225
306,3,245
306,4,105
306,5,2
347,1,200
347,2,195
347,3,105
347,4,155
347,5,3
348,1,260
348,2,255
348,3,185
348,4,95
348,5,2
355,1,150
355,2,85
355,3,185
355,4,55
355,5,3
356,1,190
356,2,145
356,3,265
356,4,55
356,5,3
358,1,240
358,2,195
358,3,155
358,4,135
358,5,3
361,1,210
361,2,105
361,3,105
361,4,105
361,5,3
362,1,270
362,2,165
362,3,165
362,4,165
362,5,3
363,1,250
363,2,115
363,3,105
363,4,55
363,5,3
364,1,290
364,2,155
364,3,145
364,4,95
364,5,3
365,1,330
365,2,195
365,3,185
365,4,135
365,5,2
374,1,190
374,2,115
374,3,145
374,4,65
374,5,3
375,1,230
375,2,155
375,3,185
375,4,105
375,5,3
376,1,270
376,2,275
376,3,225
376,4,145
376,5,3
379,1,270
379,2,155
379,3,305
379,4,105
379,5,2
383,1,310
383,2,305
383,3,235
383,4,185
383,5,2
384,1,325
384,2,310
384,3,190
384,4,200
384,5,4
390,1,198
390,2,121
390,3,93
390,4,127
390,5,4
391,1,238
391,2,161
391,3,109
391,4,167
391,5,3
392,1,262
392,2,213
392,3,147
392,4,221
392,5,3
393,1,216
393,2,127
393,3,113
393,4,85
393,5,3
394,1,238
394,2,167
394,3,149
394,4,105
394,5,3
395,1,278
395,2,227
395,3,193
395,4,125
395,5,3
396,1,190
396,2,115
396,3,65
396,4,125
396,5,4
397,1,220
397,2,155
397,3,95
397,4,165
397,5,4
398,1,280
398,2,245
398,3,125
398,4,205
398,5,4
399,1,228
399,2,95
399,3,85
399,4,67
399,5,3
400,1,268
400,2,175
400,3,125
400,4,147
400,5,3
403,1,200
403,2,85
403,3,73
403,4,95
403,5,4
404,1,230
404,2,175
404,3,103
404,4,125
404,5,3
405,1,270
405,2,195
405,3,163
405,4,145
405,5,3
410,1,170
410,2,89
410,3,211
410,4,65
410,5,3
411,1,230
411,2,109
411,3,311
411,4,65
411,5,2
425,1,290
425,2,125
425,3,83
425,4,145
425,5,4
426,1,410
426,2,165
426,3,103
426,4,165
426,5,3
429,1,230
429,2,215
429,3,169
429,4,215
429,5,3
433,1,200
433,2,135
433,3,105
433,4,95
433,5,3
442,1,210
442,2,189
442,3,221
442,4,75
442,5,3
443,1,226
443,2,85
443,3,95
443,4,89
443,5,3
444,1,246
444,2,185
444,3,125
444,4,169
444,5,3
445,1,326
445,2,265
445,3,185
