transformation_id,pokemon_species_id
3,133
3,134
3,135
3,136
3,196
3,197
3,470
3,471
6,133
6,134
6,135
6,136
6,196
6,197
6,470
6,471
8,635
8,644
10,39
10,40
12,391
12,392
13,643
15,502
15,503
17,404
17,405
19,496
19,497
21,131
21,144
23,533
23,534
25,42
25,169
27,383
27,464
29,627
29,628
31,150
31,475
33,204
33,205
35,525
35,526
37,200
37,429
39,570
39,571
41,306
41,379
43,25
43,26
45,608
45,609
47,397
47,398
49,575
49,576
51,93
51,94
53,215
53,461
55,5
55,6
57,253
57,254
59,64
59,65
61,361
61,478
63,554
63,555
65,636
65,637
67,447
67,448
69,376
69,483
71,394
71,395
73,411
73,639
75,624
75,625
77,611
77,612
79,552
79,553
