warrior_id,local_language_id,name
1,9,Player ♂
2,9,Player ♀
3,9,Nobunaga
4,9,Oichi
5,9,Hideyoshi
6,9,Motochika
7,9,Ginchiyo
8,9,Motonari
9,9,Mitsuhide
10,9,Yoshihiro
11,9,Nene
12,9,Shingen
13,9,Masamune
14,9,Kenshin
15,9,Yoshimoto
16,9,Ujiyasu
17,9,Nō
18,9,Kotarō
19,9,Ieyasu
20,9,Hanbei
21,9,Kanbei
22,9,Muneshige
23,9,Gracia
24,9,Hanzō
25,9,Kunoichi
26,9,Yukimura
27,9,Magoichi
28,9,Kanetsugu
29,9,Aya
30,9,Kai
31,9,Okuni
32,9,Ranmaru
33,9,Tadakatsu
34,9,Ina
35,9,Keiji
36,9,Mitsunari
37,9,Kiyomasa
38,9,Masanori
39,9,Tsunehisa
40,9,Naoie
41,9,Harutaka
42,9,Takanobu
43,9,Naoshige
44,9,Ujisato
45,9,Chacha
46,9,Gō
47,9,Hatsu
48,9,Kazumasu
49,9,Nagahide
50,9,Yoshitaka
51,9,Urakusai
52,9,Narimasa
53,9,Tomonori
54,9,Murashige
55,9,Masahide
56,9,Nagayoshi
57,9,Kitsuno
58,9,Gotoku
59,9,Hidenaga
60,9,Koroku
61,9,Takatora
62,9,Yoshitsugu
63,9,Yukinaga
64,9,Rikyū
65,9,Hideyori
66,9,Asahi
67,9,Kazutoyo
68,9,Nagayasu
69,9,Harunaga
70,9,Hideaki
71,9,Naka
72,9,Tatsuko
73,9,Maa
74,9,Chiyo
75,9,Hatsume
76,9,Nobuchika
77,9,Chikayasu
78,9,Morichika
79,9,Chikamasa
80,9,Norishige
81,9,Takayori
82,9,Tadasumi
83,9,Dōsetsu
84,9,Shōun
85,9,Sōrin
86,9,Sekisō
87,9,Akizane
88,9,Takatane
89,9,Kiyo
90,9,Motoharu
91,9,Takakage
92,9,Terumoto
93,9,Takeyoshi
94,9,Ekei
95,9,Takamoto
96,9,Sadatoshi
97,9,Hidemitsu
98,9,Toshimitsu
99,9,Shigemoto
100,9,Mitsutada
101,9,Yukimasa
102,9,Tadaoki
103,9,Fujitaka
104,9,Hiroko
105,9,Tadamoto
106,9,Tadatsune
107,9,Takahisa
108,9,Hisaaki
109,9,Masatoshi
110,9,Kanemori
111,9,Tokitaka
112,9,Sandayū
113,9,Morikiyo
114,9,Kashinkoji
115,9,Yasunaga
116,9,Seikurō
117,9,Katsuyori
118,9,Haruyuki
119,9,Masakage
120,9,Masatoyo
121,9,Nobufusa
122,9,Masayuki
123,9,Yukitaka
124,9,Ume
125,9,Chiyome
126,9,Kei
127,9,Kagetsuna
128,9,Shigezane
129,9,Tsunamoto
130,9,Tsunenaga
131,9,Munetoki
132,9,Munezane
133,9,Yoshi
134,9,Iroha
135,9,Kagekatsu
136,9,Yoshikiyo
137,9,Tomonobu
138,9,Kageie
139,9,Takahiro
140,9,Sadamitsu
141,9,Yatarō
142,9,Saneyori
143,9,Hana
144,9,Sen
145,9,Ujichika
146,9,Ujizane
147,9,Sessai
148,9,Masatsuna
149,9,Yasutomo
150,9,Ujihiro
151,9,Motozane
152,9,Sena
153,9,Sōun
154,9,Tsunashige
155,9,Gen'an
156,9,Ujimasa
157,9,Ujiteru
158,9,Ujikuni
159,9,Ujinao
160,9,Shizuka
161,9,Madoka
162,9,Dōsan
163,9,Yoshitatsu
164,9,Ittetsu
165,9,Bokuzen
166,9,Morinari
167,9,Omi
168,9,Asa
169,9,Shimoyama
170,9,Genba
171,9,Danzō
172,9,Yazaemon
173,9,Isuke
174,9,Tadatsugu
175,9,Naomasa
176,9,Yasumasa
177,9,Masanobu
178,9,Hidetada
179,9,Kazumasa
180,9,Chōan
181,9,Tenkai
182,9,Munenori
183,9,Kame
184,9,Toku
185,9,Saizō
186,9,Sasuke
187,9,Katsu
188,9,Jūzō
189,9,Tsuru
190,9,Ise
191,9,Jinpachi
192,9,Kamanosuke
193,9,Seikai
194,9,Isa
195,9,Yoshiteru
196,9,Yoshiaki
197,9,Hisahide
198,9,Jūbei
199,9,Nobutsuna
200,9,Bokuden
201,9,Otsū
