warrior_rank_id,warrior_stat_id,base_stat
1,1,65
1,2,60
1,3,65
1,4,4
2,1,75
2,2,70
2,3,80
2,4,6
3,1,80
3,2,85
3,3,100
3,4,8
4,1,65
4,2,60
4,3,65
4,4,4
5,1,75
5,2,70
5,3,80
5,4,6
6,1,80
6,2,85
6,3,100
6,4,8
7,1,89
7,2,94
7,3,92
7,4,5
8,1,96
8,2,100
8,3,100
8,4,8
9,1,48
9,2,73
9,3,90
9,4,4
10,1,54
10,2,83
10,3,98
10,4,5
11,1,66
11,2,65
11,3,78
11,4,6
12,1,76
12,2,88
12,3,88
12,4,7
13,1,80
13,2,98
13,3,98
13,4,8
14,1,82
14,2,81
14,3,81
14,4,6
15,1,90
15,2,92
15,3,91
15,4,7
16,1,74
16,2,68
16,3,72
16,4,5
17,1,84
17,2,78
17,3,82
17,4,6
18,1,69
18,2,90
18,3,86
18,4,7
19,1,79
19,2,100
19,3,96
19,4,8
20,1,77
20,2,82
20,3,82
20,4,5
21,1,88
21,2,92
21,3,92
21,4,6
22,1,90
22,2,63
22,3,62
22,4,6
23,1,98
23,2,73
23,3,72
23,4,7
24,1,65
24,2,78
24,3,75
24,4,5
25,1,75
25,2,84
25,3,85
25,4,6
26,1,82
26,2,96
26,3,86
26,4,7
27,1,92
27,2,100
27,3,96
27,4,8
28,1,86
28,2,82
28,3,80
28,4,7
29,1,96
29,2,92
29,3,90
29,4,8
30,1,90
30,2,66
30,3,81
30,4,7
31,1,99
31,2,76
31,3,91
31,4,8
32,1,64
32,2,72
32,3,79
32,4,5
33,1,75
33,2,82
33,3,88
33,4,6
34,1,80
34,2,78
34,3,84
34,4,7
35,1,90
35,2,94
35,3,94
35,4,8
36,1,48
36,2,74
36,3,90
36,4,5
37,1,54
37,2,84
37,3,97
37,4,6
38,1,82
38,2,78
38,3,52
38,4,5
39,1,92
39,2,89
39,3,62
39,4,6
40,1,80
40,2,84
40,3,87
40,4,8
41,1,88
41,2,94
41,3,97
41,4,8
42,1,36
42,2,90
42,3,70
42,4,5
43,1,42
43,2,99
43,3,80
43,4,6
44,1,60
44,2,90
44,3,62
44,4,5
45,1,70
45,2,98
45,3,70
45,4,6
46,1,84
46,2,68
46,3,73
46,4,6
47,1,94
47,2,78
47,3,83
47,4,7
48,1,42
48,2,63
48,3,78
48,4,5
49,1,52
49,2,73
49,3,87
49,4,5
50,1,87
50,2,77
50,3,62
50,4,5
51,1,94
51,2,88
51,3,72
51,4,6
52,1,60
52,2,63
52,3,70
52,4,5
53,1,70
53,2,73
53,3,80
53,4,5
54,1,87
54,2,78
54,3,80
54,4,6
55,1,95
55,2,84
55,3,90
55,4,7
56,1,89
56,2,79
56,3,74
56,4,6
57,1,95
57,2,88
57,3,84
57,4,7
58,1,65
58,2,88
58,3,79
58,4,7
59,1,75
59,2,97
59,3,89
59,4,7
60,1,39
60,2,71
60,3,75
60,4,5
61,1,49
61,2,81
61,3,86
61,4,5
62,1,73
62,2,62
62,3,70
62,4,5
63,1,83
63,2,72
63,3,80
63,4,6
64,1,65
64,2,63
64,3,79
64,4,3
65,1,75
65,2,73
65,3,88
65,4,4
66,1,69
66,2,72
66,3,66
66,4,4
67,1,79
