skill_id,local_language_id,name
1,9,Adrenaline
2,9,Fortify
3,9,Top Speed
4,9,Rally
5,9,Bustle
6,9,Sweet Song
7,9,Mighty Blow
8,9,Brotherhood
9,9,Eagle Eye
10,9,Crack Shot
11,9,Marksman
12,9,High Jump
13,9,Added Bonus
14,9,Impact
15,9,Quick Strike
16,9,Empathy
17,9,Deep Breath
18,9,Convalesce
19,9,Salve
20,9,Detox
21,9,Shout
22,9,Temperate
23,9,Greed
24,9,Courage
25,9,Motivate
26,9,Desire
27,9,Ambition
28,9,Soft Light
29,9,Grand Dream
30,9,Great Uniter
31,9,Rebellion
32,9,Thunderclap
33,9,Strategist
34,9,Cold Eyes
35,9,Chesto!
36,9,Nene Ninpō
37,9,Fūrin Kazan
38,9,One-Eyed Dragon
39,9,Inspiration
40,9,Grace
41,9,Father Figure
42,9,Viper's Bite
43,9,Mayhem
44,9,Resolution
45,9,Lazybones
46,9,Extinguish
47,9,Typhoon
48,9,Bewilder
49,9,Ninjutsu
50,9,Trickster
51,9,Willpower
52,9,Cupid
53,9,Love & Honor
54,9,Compassion
55,9,Warrior Woman
56,9,Kabuki Dance
57,9,Faith
58,9,Unrivaled
59,9,Elegance
60,9,Carefree
61,9,Cunning
62,9,Belief
63,9,Sacrifice
