id,identifier
1,adrenaline
2,fortify
3,top-speed
4,rally
5,bustle
6,sweet-song
7,mighty-blow
8,brotherhood
9,eagle-eye
10,crack-shot
11,marksman
12,high-jump
13,added-bonus
14,impact
15,quick-strike
16,empathy
17,deep-breath
18,convalesce
19,salve
20,detox
21,shout
22,temperate
23,greed
24,courage
25,motivate
26,desire
27,ambition
28,soft-light
29,grand-dream
30,great-uniter
31,rebellion
32,thunderclap
33,strategist
34,cold-eyes
35,chesto
36,nene-ninpo
37,furin-kazan
38,one-eyed-dragon
39,inspiration
40,grace
41,father-figure
42,vipers-bite
43,mayhem
44,resolution
45,lazybones
46,extinguish
47,typhoon
48,bewilder
49,ninjutsu
50,trickster
51,willpower
52,cupid
53,love-and-honor
54,compassion
55,warrior-woman
56,kabuki-dance
57,faith
58,unrivaled
59,elegance
60,carefree
61,cunning
62,belief
63,sacrifice
