transformed_warrior_rank_id,is_automatic,required_link,completed_episode_id,current_episode_id,distant_warrior_id,female_warlord_count,pokemon_count,collection_type_id,warrior_count
2,1,,,,,,,,
3,0,80,,38,,,,,
5,1,,,,,,,,
6,0,80,,38,,,,,
8,0,80,,2,,,,,
10,0,55,,,,,,,
12,0,60,,,,,,,
13,0,70,,,,,,,
15,0,65,,,,,,,
17,0,60,,,22,,,,
19,0,60,,,,,100,,
21,0,70,8,,,,,,
23,0,60,,,,,,,
25,0,60,,,,,,4,
27,0,75,6,,,,,,
29,0,60,,30,,,,,
31,0,75,15,,,,,,
33,0,55,,,,,,,
35,0,60,,,,,,,
37,0,60,,,,,,8,
39,0,60,,,,,,,
41,0,70,,,,,,,50
43,0,60,,,,,,,
45,0,60,,,,,,,
47,0,60,,,7,,,,
49,0,60,,,,,,,
51,0,60,,,,,,,
53,0,60,,,,,,,
55,0,65,,,,,,,
57,0,60,,,,3,,,
59,0,60,,,,,,,
61,0,55,,,,,,,
63,0,55,,,,,,,
65,0,65,,,,,,,
67,0,60,,,,,,,
69,0,80,,,,,,,
71,0,65,,,,,,,
73,0,70,,,,,,,
75,0,60,,,,,,,
77,0,60,,,,,,,
79,0,60,,,,,,,
