contest_effect_id,local_language_id,flavor_text,effect
1,5,Une démonstration qui plaît énormément,Donne un grand nombre de points de charme sans aucun autre effet.
1,9,A highly appealing move.,Gives a high number of appeal points with no other effects.
2,5,Le score dépend du résultat des démonstrations précédentes.,"Si le Pokémon qui fait sa démonstration avant le lanceur a obtenu moins de trois points de charme, le lanceur en obtient six; s’il en a obtenu trois, le lanceur en obtient trois; s’il en a obtenu plus de trois, le lanceur n’en obtient aucun."
2,9,Affected by how well the appeal in front goes.,"If the Pokémon that appealed before the user earned less than three appeal points, user earns six; if three, user earns three; if more than three, user earns none."
3,5,Le lanceur est plus facilement nerveux après cette démonstration.,"Si le lanceur est bloqué ce tour après avoir utilisé cette capacité, il recevra deux fois plus de points de blocage."
3,9,"After this move, the user is more easily startled.","If the user is jammed this turn after using this move, it will receive twice as many jam points."
4,5,Bloque le Pokémon de tête.,Tente de bloquer le Pokémon qui a fait sa démonstration avant le lanceur.
4,9,Badly startles the Pokémon in front.,Attempts to jam the Pokémon that appealed before the user.
5,5,Rend nerveux les Pokémon ayant déjà fait leur démonstration.,Tente de bloquer tous les Pokémon qui ont déjà fait leur démonstration ce tour.
5,9,Badly startles those that have made appeals.,Attempts to jam all Pokémon that have appealed this turn.
6,5,Bloque les autres mais perd un tour de démonstration.,"Tente de bloquer tous les autres Pokémon. Le lanceur ne peut pas faire de démonstration le prochain tour, mais ne peut pas non plus être bloqué."
6,9,"Jams the others, and misses one turn of appeals.","Attempts to jam the other Pokémon.  The user cannot make an appeal on the next turn, but it cannot be jammed either."
7,5,Plaît énormément mais ne permet plus de faire quoi que ce soit.,Le lanceur ne peut plus faire de démonstration pour le reste du concours.
7,9,"Makes a great appeal, but allows no more to the end.",User cannot make any more appeals for the remainder of the contest.
8,5,Baisse la condition de ceux ayant déjà fait leur démonstration.,Tente de bloquer tous les Pokémon qui ont déjà fait leur démonstration ce tour.
8,9,Startles all Pokémon that have done their appeals.,Attempts to jam all Pokémon that have appealed this turn.
9,5,Bloque le Pokémon précédent.,Bloque le Pokémon qui a fait sa démonstration avant le lanceur.
9,9,Startles the Pokémon that appealed before the user.,Attempts to jam the Pokémon that appealed before the user.
10,5,Rend nerveux le Pokémon qui a l’attention du juge.,"Tente de bloquer tous les Pokémon qui ont déjà fait leur démonstration ce tour. Si un Pokémon est en combo de standby, il reçoit 5 points de blocage au lieu d’1."
10,9,Startles the Pokémon that has the judge’s attention.,"Attempts to jam all Pokémon that have appealed this turn.  If a Pokémon is in combo standby status, it is jammed 5 points instead of 1."
