egg_group_id,local_language_id,name
1,1,かいじゅう
1,5,Monstrueux
1,6,Monster
1,7,Monstruo
1,8,Mostro
1,9,Monster
2,1,すいちゅう１
2,5,Aquatique 1
2,6,Wasser 1
2,7,Agua 1
2,8,Acqua 1
2,9,Water 1
3,1,むし
3,5,Insectoïde
3,6,Käfer
3,7,Bicho
3,8,Coleottero
3,9,Bug
4,1,ひこう
4,5,Aérien
4,6,Flug
4,7,Volador
4,8,Volante
4,9,Flying
5,1,りくじょう
5,5,Terrestre
5,6,Feld
5,7,Campo
5,8,Campo
5,9,Field
6,1,ようせい
6,5,Féerique
6,6,Fee
6,7,Hada
6,8,Magico
6,9,Fairy
7,1,しょくぶつ
7,5,Végétal
7,6,Pflanze
7,7,Planta
7,8,Erba
7,9,Grass
8,1,ひとがた
8,5,Humanoïde
8,6,Humanotyp
8,7,Humanoide
8,8,Umanoide
8,9,Human-Like
9,1,すいちゅう３
9,5,Aquatique 3
9,6,Wasser 3
9,7,Agua 3
9,8,Acqua 3
9,9,Water 3
10,1,こうぶつ
10,5,Minéral
10,6,Mineral
10,7,Mineral
10,8,Minerale
10,9,Mineral
11,1,ふていけい
11,5,Amorphe
11,6,Amorph
11,7,Amorfo
11,8,Amorfo
11,9,Amorphous
12,1,すいちゅう２
12,5,Aquatique 2
12,6,Wasser 2
12,7,Agua 2
12,8,Acqua 2
12,9,Water 2
13,1,メタモン
13,5,Métamorph
13,6,Ditto
13,7,Ditto
13,8,Ditto
13,9,Ditto
14,1,ドラゴン
14,5,Draconique
14,6,Drache
14,7,Dragón
14,8,Drago
14,9,Dragon
15,1,タマゴみはっけん
15,5,Inconnu
15,6,Unbekannt
15,7,Desconocido
15,8,Non ancora scoperto
15,9,Undiscovered
