encounter_condition_value_id,local_language_id,name
1,6,Während eines Schwarms
1,9,During a swarm
1,5,Pendant une tempête
2,6,Außerhalb eines Schwarms
2,9,Not during a swarm
2,5,Pas pendant une tempête
3,6,Am Morgen
3,9,In the morning
3,5,Le matin
4,6,Am Tag
4,9,During the day
4,5,La journée
5,6,In der Nacht
5,9,At night
5,5,La nuit
6,6,Durch Benutzung des Pokéradars
6,9,Using PokéRadar
6,5,En utilisant le PokéRadar
7,6,Ohne Benutzung des Pokéradars
7,9,Not using PokéRadar
7,5,Sans utiliser le PokéRadar
8,6,Kein Spiel in Slot 2
8,9,No game in slot 2
8,5,Sans jeu dans le slot 2
9,6,Rubin in Slot 2
9,9,Ruby in slot 2
9,5,Rubis dans le slot 2
10,6,Saphir in Slot 2
10,9,Sapphire in slot 2
10,5,Saphir dans le slot 2
11,6,Smaragd in Slot 2
11,9,Emerald in slot 2
11,5,Émeraude dans le slot 2
12,6,Feuerrot in slot 2
12,9,FireRed in slot 2
12,5,Rouge Feu dans le slot 2
13,6,Blattgrün in slot 2
13,9,LeafGreen in slot 2
13,5,Vert Feuille dans le slot 2
14,6,Radio aus
14,9,Radio off
14,5,Radio éteinte
15,6,Hoenn-Sound im Radio
15,9,Hoenn radio
15,5,En écoutant Radio Hoenn
16,6,Sinnoh-Sound im Radio
16,9,Sinnoh radio
16,5,En écoutant Radio Sinnoh
17,6,Im Frühling
17,9,During Spring
17,5,Au printemps
18,6,Im Sommer
18,9,During Summer
18,5,En été
19,6,Im Herbst
19,9,During Autumn
19,5,En automne
20,6,Im Winter
20,9,During Winter
20,5,En hiver
21,9,Bulbasaur as starter
21,5,Bulbizarre en starter
22,9,Squirtle as starter
22,5,Carapuce en starter
23,9,Charmander as starter
23,5,Salamèche en starter
24,9,Chespin as starter
24,5,Marisson en starter
25,9,Fennekin as starter
25,5,Feunnec en starter
26,9,Froakie as starter
26,5,Grenousse en starter
27,9,Chose ‘Blue’ on the TV news report
27,5,Choisi « bleu » à la télé
28,9,Chose ‘Red’ on the TV news report
28,5,Choisi « rouge » à la télé
29,9,Awakened the legendary beasts at Burned Tower
