id,encounter_condition_id,identifier,is_default
1,1,swarm-yes,0
2,1,swarm-no,1
3,2,time-morning,0
4,2,time-day,1
5,2,time-night,0
6,3,radar-on,0
7,3,radar-off,1
8,4,slot2-none,1
9,4,slot2-ruby,0
10,4,slot2-sapphire,0
11,4,slot2-emerald,0
12,4,slot2-firered,0
13,4,slot2-leafgreen,0
14,5,radio-off,1
15,5,radio-hoenn,0
16,5,radio-sinnoh,0
17,6,season-spring,0
18,6,season-summer,0
19,6,season-autumn,0
20,6,season-winter,0
21,7,starter-bulbasaur,0
22,7,starter-squirtle,0
23,7,starter-charmander,0
24,7,starter-chespin,0
25,7,starter-fennekin,0
26,7,starter-froakie,0
27,8,tv-option-blue,1
28,8,tv-option-red,0
29,9,story-progress-awakened-beasts,0
30,9,story-progress-beat-galactic-coronet,0
31,9,story-progress-oak-eterna-city,0
32,9,story-progress-vermilion-copycat,0
33,9,story-progress-met-tornadus-thundurus,0
34,9,story-progress-beat-elite-four-round-two,0
35,9,story-progress-hall-of-fame,0
36,9,story-progress-none,1
37,9,story-progress-national-dex,0
38,10,other-none,1
39,10,other-snorlax-11-beat-league,0
40,10,other-virtual-console,0
41,9,story-progress-cure-eldritch-nightmares,0
42,10,other-talk-to-cynthias-grandmother,0
43,11,item-none,1
44,11,item-adamant-orb,0
45,11,item-lustrous-orb,0
46,11,item-helix-fossil,0
47,11,item-dome-fossil,0
48,11,item-old-amber,0
49,11,item-root-fossil,0
50,11,item-claw-fossil,0
51,9,story-progress-defeat-jupiter,0
52,9,story-progress-beat-team-galactic-iron-island,0
53,10,other-correct-password,0
54,9,story-progress-zephyr-badge,0
55,9,story-progress-beat-red,0
56,10,other-received-kanto-starter,0
57,9,story-progress-receive-tm-from-claire,0
58,10,other-regirock-regice-registeel-in-party,0
59,12,weekday-sunday,0
60,12,weekday-monday,0
61,12,weekday-tuesday,0
62,12,weekday-wednesday,0
63,12,weekday-thursday,0
64,12,weekday-friday,0
65,12,weekday-saturday,0
66,13,first-party-pokemon-high-friendship,0
67,9,story-progress-defeat-mars,0
68,11,item-odd-keystone,0
69,10,other-talked-to-32-people-underground,0
70,9,story-progress-returned-machine-part,0
71,10,other-event-arceus-in-party,0
72,14,special-encounter-couldnt-capture-before,0
73,11,item-ice-key,0
74,11,item-iron-key,0
75,9,story-progress-juniper-cave-of-being,0
76,11,item-lunar-wing,0
77,9,story-progress-quake-badge,0
78,11,item-light-stone,0
79,11,item-dark-stone,0
80,10,other-captured-reshiram-or-zekrom,0
81,9,defeated-ghetsis,0
82,10,other-found-11-times-roaming,0
83,2,time-minute-00-to-19,0
84,2,time-minute-20-to-39,0
85,2,time-minute-40-to-59,0
86,2,time-04-00-to-19-59,0
87,2,time-20-00-to-21-59,0
88,2,time-21-00-to-03-59,0
89,11,item-tidal-bell,0
90,11,item-clear-bell,0
91,9,story-progress-defeated-groudon-or-kyogre,0
92,10,other-uxie-mesprit-azelf-in-party,0
93,10,other-nicknamed-cold-item-regice-regirock-registeel3,0
94,10,other-dialga-or-palkia-in-party,0
95,10,other-castform-in-party,0
96,10,other-level-100-pokemon-in-party,0
97,10,other-tornadus-thundurus-in-party,0
98,10,other-reshiram-zekrom-in-party,0
99,10,other-captured-all-ultra-beasts,0
100,9,story-progress-finished-looker-sidequest,0
101,9,story-progress-beat-olivias-trial,0
102,10,other-raikou-entei-in-party,0
103,10,other-groudon-kyogre-in-party,0
104,10,other-dialga-palkia-in-party,0
105,10,other-scan-qr-code,0
106,10,other-caught-articuno,0
107,10,other-caught-zapdos,0
108,10,other-caught-moltres,0
109,15,trade-togepi-or-togetic,1
110,15,trade-trapinch,1
111,15,trade-surskit,1
112,15,trade-wooper,1
113,9,story-progress-catch-all-shadow-pokemon,0
114,9,other-complete-mt-battle,0
115,16,coins-180,1
116,16,coins-500,1
117,16,coins-1200,1
118,16,coins-2800,1
119,16,coins-5500,1
120,16,coins-9999,1
121,16,coins-120,1
122,16,coins-750,1
123,16,coins-2500,1
124,16,coins-4600,1
125,16,coins-6500,1
126,16,coins-230,1
127,16,coins-1000,1
128,16,coins-2680,1
129,16,coins-3333,1
130,16,coins-6666,1
131,16,coins-200,1
132,16,coins-700,1
133,16,coins-2100,1
134,16,coins-100,1
135,16,coins-800,1
136,16,coins-1500,1
137,16,coins-2222,1
138,16,coins-5555,1
139,16,coins-8888,1
140,16,coins-150,1
141,16,coins-620,1
142,16,coins-2880,1
143,16,coins-5400,1
144,16,coins-8300,1
145,15,trade-abra,1
146,15,trade-nidoran-m,1
147,15,trade-nidorino,1
148,15,trade-slowbro,1
149,15,trade-poliwhirl,1
150,15,trade-spearow,1
151,15,trade-raichu,1
152,15,trade-venonat,1
153,15,trade-ponyta,1
154,15,trade-clefairy,1
155,15,trade-cubone,1
156,15,trade-lickitung,1
157,15,trade-tangela,1
158,15,trade-golduck,1
159,15,trade-growlithe,1
160,15,trade-kangaskhan,1
161,15,trade-bellsprout,1
162,15,trade-drowzee,1
163,15,trade-krabby,1
164,15,trade-dragonair,1
165,15,trade-chansey,1
166,15,trade-gloom,1
167,15,trade-haunter,1
168,15,trade-dugtrio,1
169,15,trade-slakoth,1
170,15,trade-pikachu,1
171,15,trade-bellossom,1
172,15,trade-ralts,1
173,15,trade-volbeat,1
174,15,trade-bagon,1
175,15,trade-skitty,1
176,17,friend-safari-slot-1,1
177,17,friend-safari-slot-2,1
178,17,friend-safari-slot-3,1
179,11,item-skull-fossil,0
180,11,item-armor-fossil,0
181,18,great-marsh-daily-slot-none,1
182,18,great-marsh-daily-slot-1-of-32,0
183,18,great-marsh-daily-slot-2-of-32,0
184,18,great-marsh-daily-slot-3-of-32,0
185,18,great-marsh-daily-slot-5-of-32,0
186,9,story-progress-before-national-dex,0
187,18,great-marsh-daily-slot-4-of-32,0
188,18,great-marsh-daily-slot-15-of-32,0
189,19,honey-tree-group-a,0
190,19,honey-tree-group-b,0
191,19,honey-tree-group-c,0
192,20,headbutt-tree-common,0
193,20,headbutt-tree-rare,0
194,20,headbutt-tree-secret,0
195,15,trade-cottonee,1
196,15,trade-petilil,1
197,15,trade-emolga,1
198,15,trade-mantine,1
199,15,trade-ditto,1
200,15,trade-excadrill,1
201,15,trade-hippowdon,1
202,21,backlot-not-mentioned,1
203,21,backlot-mentioned,0
204,22,bug-catching-contest-no,1
205,22,bug-catching-contest-yes,0
206,23,save-data-from-lets-go-pikachu,0
207,23,save-data-from-lets-go-eevee,0
208,11,item-fossilized-bird,0
209,11,item-fossilized-drake,0
210,11,item-fossilized-dino,0
211,11,item-fossilized-fish,0
212,9,story-progress-master-dojo-complete-first-trial,0
213,9,story-progress-master-dojo-complete-third-trial,0
214,24,alolan-diglett-found-5,0
215,24,alolan-diglett-found-10,0
216,24,alolan-diglett-found-20,0
217,24,alolan-diglett-found-30,0
218,24,alolan-diglett-found-40,0
219,24,alolan-diglett-found-50,0
220,24,alolan-diglett-found-75,0
221,24,alolan-diglett-found-100,0
222,24,alolan-diglett-found-150,0
223,7,starter-grookey,0
224,7,starter-scorbunny,0
225,7,starter-sobble,0
226,9,story-progress-save-village-from-glastrier-spectrier,0
227,9,story-progress-catch-five-ultra-beasts,0
228,15,trade-bunnelby,1
229,15,trade-meowth-galar,1
230,15,trade-minccino,1
231,15,trade-toxel,1
232,15,trade-maractus,1
233,15,trade-yamask-galar,1
234,15,trade-vanillish,1
235,15,trade-obstagoon,1
236,15,trade-frosmoth,1
237,15,trade-farfetchd-galar,1
238,15,trade-corsola-galar,1
239,15,trade-ponyta-galar,1
240,15,trade-mr-mime-galar,1
241,15,trade-darumaka-galar,1
242,15,trade-zigzagoon-galar,1
243,15,trade-stunfisk-galar,1
244,15,trade-weezing-galar,1
245,15,trade-exeggutor,1
246,15,trade-marowak,1
247,25,weather-normal,1
248,25,weather-overcast,0
249,25,weather-raining,0
250,25,weather-thunderstorm,0
251,25,weather-snowing,0
252,25,weather-snowstorm,0
253,25,weather-sandstorm,0
254,25,weather-intense-sun,0
255,25,weather-fog,0
256,9,story-progress-before-hall-of-fame,1
257,26,johto-safari-blocks-inactive,1
258,26,johto-safari-blocks-plains-min-2,0
259,26,johto-safari-blocks-plains-min-3,0
260,26,johto-safari-blocks-plains-min-4,0
261,26,johto-safari-blocks-plains-min-5,0
262,26,johto-safari-blocks-plains-min-6,0
263,26,johto-safari-blocks-plains-min-10,0
