id,identifier,order
1,walk,1
2,old-rod,10
3,good-rod,11
4,super-rod,12
5,surf,14
6,rock-smash,16
7,headbutt,17
8,dark-grass,5
9,grass-spots,2
10,cave-spots,3
11,bridge-spots,4
12,super-rod-spots,13
13,surf-spots,15
14,yellow-flowers,6
15,purple-flowers,7
16,red-flowers,8
17,rough-terrain,9
18,gift,18
19,gift-egg,19
20,only-one,20
21,pokeflute,21
22,headbutt-low,22
23,headbutt-normal,23
24,headbutt-high,24
25,squirt-bottle,25
26,wailmer-pail,26
27,seaweed,27
28,roaming-grass,28
29,roaming-water,29
30,devon-scope,30
31,feebas-tile-fishing,31
