evolution_trigger_id,local_language_id,name
1,5,Montée de niveau
1,6,Levelaufstieg
1,9,Level up
2,5,Échange
2,6,Tausch oder Verbindungsschnur
2,9,Trade or Linking Cord
3,5,Utilisation d’un objet
3,6,Gegenstand nutzen
3,9,Use item
4,5,Place dans l’équipe et une Poké Ball
4,6,Platz im Team und ein Pokéball
4,9,Shed
5,5,Tourner sur soi-même
5,9,Spin
6,5,Interagir avec le Rouleau des Ténèbres dans la Tour des Ténèbres
6,9,Train in the Tower of Darkness
7,5,Interagir avec le Rouleau de l’Eau dans la Tour de l’Eau
7,9,Train in the Tower of Waters
8,5,Faire 3 coups critiques en un combat
8,9,Land three critical hits in a battle
9,5,Aller quelque part après avoir encaissé des dommages
9,9,Go somewhere after taking damage
10,5,Autre
10,9,Other
