id,identifier,region_id
1,boulder-badge,1
2,cascade-badge,1
3,thunder-badge,1
4,rainbow-badge,1
5,soul-badge,1
6,marsh-badge,1
7,volcano-badge,1
8,earth-badge,1
9,zephyr-badge,2
10,hive-badge,2
11,plain-badge,2
12,fog-badge,2
13,storm-badge,2
14,mineral-badge,2
15,glacier-badge,2
16,rising-badge,2
17,stone-badge,3
18,knuckle-badge,3
19,dynamo-badge,3
20,heat-badge,3
21,balance-badge,3
22,feather-badge,3
23,mind-badge,3
24,rain-badge,3
25,coal-badge,4
26,forest-badge,4
27,cobble-badge,4
28,fen-bedge,4
29,relic-bedge,4
30,mine-badge,4
31,icicle-badge,4
32,beacon-badge,4
33,trio-badge,5
34,basic-badge,5
35,insect-badge,5
36,bolt-badge,5
37,quake-badge,5
38,jet-badge,5
39,freeze-badge,5
40,legend-badge,5
41,bug-badge,6
42,cliff-badge,6
43,rumble-badge,6
44,plant-badge,6
45,voltage-badge,6
46,fairy-badge,6
47,psychic-badge,6
48,iceberg-badge,6
49,grass-badge,8
50,water-badge,8
51,fire-badge,8
52,fighting-badge,8
53,ghose-badge,8
54,fairy-badge,8
55,rock-badge,8
56,ice-badge,8
57,dark-badge,8
58,dragon-badge,8
