id,pocket_id,identifier
1,7,stat-boosts
2,5,effort-drop
3,5,medicine
4,5,other
5,5,in-a-pinch
6,5,picky-healing
7,5,type-protection
8,5,baking-only
9,1,collectibles
10,1,evolution
11,1,spelunking
12,1,held-items
13,1,choice
14,1,effort-training
15,1,bad-held-items
16,1,training
17,1,plates
18,1,species-specific
19,1,type-enhancement
20,8,event-items
21,8,gameplay
22,8,plot-advancement
23,8,unused
24,1,loot
25,6,all-mail
26,2,vitamins
27,2,healing
28,2,pp-recovery
29,2,revival
30,2,status-cures
32,1,mulch
33,3,special-balls
34,3,standard-balls
35,1,dex-completion
36,1,scarves
37,4,all-machines
38,7,flutes
39,3,apricorn-balls
40,8,apricorn-box
41,8,data-cards
42,1,jewels
43,7,miracle-shooter
44,1,mega-stones
45,1,memories
46,8,z-crystals
47,1,species-candies
48,5,catching-bonus
49,1,dynamax-crystals
50,2,nature-mints
51,1,curry-ingredients
