item_category_id,local_language_id,name
1,9,Stat boosts
2,9,Effort drop
3,9,Medicine
4,9,Other
5,9,In a pinch
6,9,Picky healing
7,9,Type protection
8,9,Baking only
9,9,Collectibles
10,9,Evolution
11,9,Spelunking
12,9,Held items
13,9,Choice
14,9,Effort training
15,9,Bad held items
16,9,Training
17,9,Plates
18,9,Species-specific
19,9,Type enhancement
20,9,Event items
21,9,Gameplay
22,9,Plot advancement
23,9,Unused
24,9,Loot
25,9,All mail
26,9,Vitamins
27,9,Healing
28,9,PP recovery
29,9,Revival
30,9,Status cures
32,9,Mulch
33,9,Special balls
34,9,Standard balls
35,9,Dex completion
36,9,Scarves
37,9,All machines
38,9,Flutes
39,9,Apricorn balls
40,9,Apricorn Box
41,9,Data Cards
42,9,Jewels
43,9,Miracle Shooter
44,9,Mega Stones
10001,9,X/Y unknown
