item_id,item_flag_id
1,1
1,2
1,4
1,5
2,1
2,2
2,4
2,5
3,1
3,2
3,4
3,5
4,1
4,2
4,4
4,5
5,1
5,2
5,4
5,5
6,1
6,2
6,4
6,5
7,1
7,2
7,4
7,5
8,1
8,2
8,4
8,5
9,1
9,2
9,4
9,5
10,1
10,2
10,4
10,5
11,1
11,2
11,4
11,5
12,1
12,2
12,4
12,5
13,1
13,2
13,4
13,5
14,1
14,2
14,4
14,5
15,1
15,2
15,4
15,5
16,1
16,2
16,4
16,5
17,1
17,2
17,3
17,4
17,5
18,1
18,2
18,3
18,4
18,5
19,1
19,2
19,3
19,4
19,5
20,1
20,2
20,3
20,4
20,5
21,1
21,2
21,3
21,4
21,5
22,1
22,2
22,3
22,4
22,5
23,1
23,2
23,3
23,4
23,5
24,1
24,2
24,3
24,4
24,5
25,1
25,2
25,3
25,4
25,5
26,1
26,2
26,3
26,4
26,5
27,1
27,2
27,3
27,4
27,5
28,1
28,2
28,3
28,4
28,5
28,8
29,1
29,2
29,3
29,4
29,5
29,8
30,1
30,2
30,3
30,4
30,5
31,1
31,2
31,3
31,4
31,5
32,1
32,2
32,3
32,4
32,5
33,1
33,2
33,3
33,4
33,5
34,1
34,2
34,3
34,4
34,5
35,1
35,2
35,3
35,4
35,5
36,1
36,2
36,3
36,4
36,5
37,1
37,2
37,3
37,4
37,5
38,1
38,2
38,3
38,4
38,5
39,1
39,2
39,3
39,4
39,5
40,1
40,2
40,3
40,4
40,5
41,1
41,2
41,3
41,4
41,5
42,1
42,2
42,3
42,4
42,5
43,1
43,2
43,3
43,4
43,5
44,1
44,2
44,3
44,4
44,5
45,1
45,2
45,3
45,4
45,5
46,1
46,2
46,3
46,4
46,5
47,1
47,2
47,3
47,4
47,5
48,1
48,2
48,3
48,4
48,5
49,1
49,2
49,3
49,4
49,5
50,1
50,2
50,3
50,4
50,5
51,1
51,2
51,3
51,4
51,5
52,1
52,2
52,3
52,4
52,5
53,1
53,2
53,3
53,4
53,5
54,1
54,2
54,3
54,4
54,5
55,1
55,2
55,4
55,5
56,1
56,2
56,4
56,5
57,1
57,2
57,4
57,5
58,1
58,2
58,4
58,5
59,1
59,2
59,4
59,5
60,1
60,2
60,4
60,5
61,1
61,2
61,4
61,5
62,1
62,2
62,4
62,5
63,1
63,2
63,4
63,5
64,1
64,2
64,4
64,5
65,1
65,2
65,3
65,4
65,5
66,1
66,2
66,4
66,5
67,1
67,2
67,4
67,5
68,1
68,2
68,3
68,5
69,1
69,2
69,3
69,5
70,1
71,1
72,8
73,8
74,8
75,8
80,8
81,8
82,8
83,8
84,8
85,8
91,8
93,8
99,8
100,8
101,8
102,8
103,8
104,8
105,8
106,8
110,8
111,8
112,5
113,5
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,7
134,7
135,7
136,7
137,7
138,7
139,7
140,7
161,7
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,7
177,7
178,7
179,7
180,7
181,7
182,7
183,7
184,7
185,7
186,7
187,7
188,7
189,7
190,5
190,7
191,5
191,7
192,5
192,7
193,5
193,7
194,5
194,7
195,5
195,7
196,5
196,7
197,5
197,7
198,5
198,7
199,5
199,7
200,5
200,7
201,5
202,5
203,5
204,5
205,5
205,7
206,5
206,7
206,8
207,5
207,7
208,5
208,7
209,5
209,7
210,5
210,7
211,5
211,7
213,5
214,5
214,7
215,5
215,7
215,8
216,5
216,7
217,5
217,7
218,5
218,7
219,5
219,7
220,5
220,7
221,5
221,7
222,5
222,7
223,5
223,7
224,5
224,7
225,5
225,7
226,5
226,7
227,5
227,7
228,5
228,7
230,5
230,7
231,5
231,7
232,5
232,7
233,5
234,5
235,5
236,5
237,7
238,7
239,7
240,7
241,7
242,5
242,7
243,5
243,7
244,5
244,7
245,5
245,7
246,5
246,7
246,8
247,5
247,7
248,5
248,7
249,5
249,7
250,5
250,7
251,5
252,5
252,7
253,5
253,7
254,5
254,7
255,5
255,7
255,8
256,5
256,7
257,5
257,7
258,5
258,7
259,5
259,7
259,8
260,5
260,7
260,8
261,5
261,7
261,8
262,5
262,7
262,8
263,5
263,7
264,5
264,7
265,5
265,7
266,5
266,7
267,5
267,7
268,5
268,7
269,5
269,7
270,5
270,7
271,5
271,7
272,5
272,7
273,5
273,7
274,5
274,7
275,5
275,7
275,8
276,5
276,7
276,8
277,5
277,7
277,8
278,5
278,7
278,8
279,5
279,7
279,8
280,5
280,7
280,8
281,5
281,7
281,8
282,5
282,7
282,8
283,5
283,7
283,8
284,5
284,7
284,8
285,5
285,7
285,8
286,5
286,7
286,8
287,5
287,7
287,8
288,5
288,7
288,8
289,5
289,7
289,8
290,5
290,7
290,8
291,5
291,7
292,5
292,7
293,5
293,7
294,5
294,7
295,5
295,7
296,5
296,7
297,5
303,5
303,7
304,5
304,7
