item_fling_effect_id,local_language_id,effect
1,5,Empoisonne gravement la cible.
1,9,Badly poisons the target.
2,5,Brûle la cible.
2,9,Burns the target.
3,5,Active immédiatement l’effet de la baie sur la cible.
3,9,Immediately activates the berry’s effect on the target.
4,5,Active immédiatement l’effet de l’herbe sur la cible.
4,9,Immediately activates the herb’s effect on the target.
5,5,Paralyse la cible.
5,9,Paralyzes the target.
6,5,Empoisonne la cible.
6,9,Poisons the target.
7,5,Apeure la cible.
7,9,Target will flinch if it has not yet gone this turn.
