item_id,generation_id,game_index
1,3,1
1,4,1
1,5,1
1,6,1
2,3,2
2,4,2
2,5,2
2,6,2
3,3,3
3,4,3
3,5,3
3,6,3
4,3,4
4,4,4
4,5,4
4,6,4
5,3,5
5,4,5
5,5,5
5,6,5
6,3,6
6,4,6
6,5,6
6,6,6
7,3,7
7,4,7
7,5,7
7,6,7
8,3,8
8,4,8
8,5,8
8,6,8
9,3,9
9,4,9
9,5,9
9,6,9
10,3,10
10,4,10
10,5,10
10,6,10
11,3,11
11,4,11
11,5,11
11,6,11
12,3,12
12,4,12
12,5,12
12,6,12
13,4,13
13,5,13
13,6,13
14,4,14
14,5,14
14,6,14
15,4,15
15,5,15
15,6,15
16,4,16
16,5,16
16,6,16
17,3,13
17,4,17
17,5,17
17,6,17
18,3,14
18,4,18
18,5,18
18,6,18
19,3,15
19,4,19
19,5,19
19,6,19
20,3,16
20,4,20
20,5,20
20,6,20
21,3,17
21,4,21
21,5,21
21,6,21
22,3,18
22,4,22
22,5,22
22,6,22
23,3,19
23,4,23
23,5,23
23,6,23
24,3,20
24,4,24
24,5,24
24,6,24
25,3,21
25,4,25
25,5,25
25,6,25
26,3,22
26,4,26
26,5,26
26,6,26
27,3,23
27,4,27
27,5,27
27,6,27
28,3,24
28,4,28
28,5,28
28,6,28
29,3,25
29,4,29
29,5,29
29,6,29
30,3,26
30,4,30
30,5,30
30,6,30
31,3,27
31,4,31
31,5,31
31,6,31
32,3,28
32,4,32
32,5,32
32,6,32
33,3,29
33,4,33
33,5,33
33,6,33
34,3,30
34,4,34
34,5,34
34,6,34
35,3,31
35,4,35
35,5,35
35,6,35
36,3,32
36,4,36
36,5,36
36,6,36
37,3,33
37,4,37
37,5,37
37,6,37
38,3,34
38,4,38
38,5,38
38,6,38
39,3,35
39,4,39
39,5,39
39,6,39
40,3,36
40,4,40
40,5,40
40,6,40
41,3,37
41,4,41
41,5,41
41,6,41
42,3,38
42,4,42
42,5,42
42,6,42
43,3,44
43,4,43
43,5,43
43,6,43
44,3,45
44,4,44
44,5,44
44,6,44
45,3,63
45,4,45
45,5,45
45,6,45
46,3,64
46,4,46
46,5,46
46,6,46
47,3,65
47,4,47
47,5,47
47,6,47
48,3,66
48,4,48
48,5,48
48,6,48
49,3,67
49,4,49
49,5,49
49,6,49
50,3,68
50,4,50
50,5,50
50,6,50
51,3,69
51,4,51
51,5,51
51,6,51
52,3,70
52,4,52
52,5,52
52,6,52
53,3,71
53,4,53
53,5,53
53,6,53
54,4,54
54,5,54
54,6,54
55,3,73
55,4,55
55,5,55
55,6,55
56,3,74
56,4,56
56,5,56
56,6,56
57,3,75
57,4,57
57,5,57
57,6,57
58,3,76
58,4,58
58,5,58
58,6,58
59,3,77
59,4,59
59,5,59
59,6,59
60,3,78
60,4,60
60,5,60
60,6,60
61,3,79
61,4,61
61,5,61
61,6,61
62,4,62
62,5,62
62,6,62
63,3,80
63,4,63
63,5,63
63,6,63
64,3,81
64,4,64
64,5,64
64,6,64
65,3,39
65,4,65
65,5,65
65,6,65
66,3,40
66,4,66
66,5,66
66,6,66
67,3,41
67,4,67
67,5,67
67,6,67
68,3,42
68,4,68
68,5,68
68,6,68
69,3,43
69,4,69
69,5,69
69,6,69
70,3,46
70,4,70
70,5,70
70,6,70
71,3,47
71,4,71
71,5,71
71,6,71
72,3,48
72,4,72
72,5,72
72,6,72
73,3,49
73,4,73
73,5,73
73,6,73
74,3,50
74,4,74
74,5,74
74,6,74
75,3,51
75,4,75
75,5,75
75,6,75
76,3,83
76,4,76
76,5,76
76,6,76
77,3,84
77,4,77
77,5,77
77,6,77
78,3,85
78,4,78
78,5,78
78,6,78
79,3,86
79,4,79
79,5,79
79,6,79
80,3,93
80,4,80
80,5,80
80,6,80
81,3,94
81,4,81
81,5,81
81,6,81
82,3,95
82,4,82
82,5,82
82,6,82
83,3,96
83,4,83
83,5,83
83,6,83
84,3,97
84,4,84
84,5,84
84,6,84
85,3,98
85,4,85
85,5,85
85,6,85
86,3,103
86,4,86
86,5,86
86,6,86
87,3,104
87,4,87
87,5,87
87,6,87
88,3,106
88,4,88
88,5,88
88,6,88
89,3,107
89,4,89
89,5,89
89,6,89
90,3,108
90,4,90
90,5,90
90,6,90
91,3,109
91,4,91
91,5,91
91,6,91
92,3,110
92,4,92
92,5,92
92,6,92
93,3,111
93,4,93
93,5,93
93,6,93
94,4,94
94,5,94
94,6,94
95,4,95
95,5,95
95,6,95
96,4,96
96,5,96
96,6,96
97,4,97
97,5,97
97,6,97
98,4,98
98,5,98
98,6,98
99,3,286
99,4,99
99,5,99
99,6,99
100,3,287
100,4,100
100,5,100
100,6,100
101,3,357
101,4,101
101,5,101
101,6,101
102,3,358
102,4,102
102,5,102
102,6,102
103,3,354
103,4,103
103,5,103
103,6,103
104,4,104
104,5,104
104,6,104
105,4,105
105,5,105
105,6,105
106,4,106
106,5,106
106,6,106
107,4,107
107,5,107
107,6,107
108,4,108
108,5,108
108,6,108
109,4,109
109,5,109
109,6,109
110,4,110
110,5,110
110,6,110
111,4,111
111,5,111
111,6,111
112,4,135
112,5,135
112,6,135
113,4,136
113,5,136
113,6,136
114,4,137
