id,item_id,version_group_id,trigger_id,context_id,operation_order
101,135,5,1,1,0
102,135,11,2,1,0
103,135,5,3,4,1
104,135,11,3,4,1
105,1,1,3,2,0
106,2,17,3,2,1
107,2,17,3,2,0
108,3,17,3,2,1
109,3,17,3,2,0
110,4,17,3,2,1
111,4,17,3,2,0
112,5,1,3,2,0
113,5,5,3,2,0
114,5,17,3,2,1
115,5,17,3,2,0
116,5,20,3,2,1
117,5,20,3,2,0
118,5,23,3,2,1
119,5,23,3,2,0
120,5,25,3,2,1
121,5,25,3,2,0
122,6,5,3,2,0
123,6,5,3,2,1
124,6,17,3,2,0
125,6,17,3,2,1
126,6,17,3,2,2
127,7,5,3,2,0
128,7,5,3,2,1
129,7,8,3,2,0
130,7,8,3,2,1
131,7,17,3,2,0
132,7,17,3,2,1
133,7,17,3,2,2
134,7,25,3,2,0
135,7,25,3,2,1
136,7,25,3,2,2
137,8,5,3,2,0
138,8,17,3,2,0
139,8,17,3,2,1
140,9,5,3,2,0
141,9,5,3,2,1
142,9,17,3,2,0
143,9,17,3,2,1
144,9,17,3,2,2
145,10,5,3,2,0
146,10,17,3,2,0
147,10,17,3,2,1
148,11,5,3,2,0
149,11,5,4,5,0
150,11,17,3,2,0
151,11,17,3,2,1
152,11,17,4,5,0
153,12,17,3,2,1
154,12,17,3,2,0
155,13,8,3,2,0
156,13,8,3,2,1
157,13,17,3,2,0
158,13,17,3,2,1
159,13,17,3,2,2
160,14,17,3,2,0
161,14,17,3,2,1
162,14,17,5,5,0
163,15,8,3,2,0
164,15,8,3,2,1
165,15,11,3,2,0
166,15,11,3,2,1
167,15,17,3,2,0
168,15,17,3,2,1
169,15,17,3,2,2
170,16,17,3,2,0
171,16,17,3,2,1
172,17,1,3,4,0
173,18,1,3,4,0
176,19,1,3,4,0
177,20,1,3,4,0
178,21,1,3,4,0
179,22,1,3,4,0
180,23,1,3,4,0
181,23,1,3,4,1
182,23,3,3,4,0
184,24,1,3,4,0
185,25,1,3,4,0
186,25,17,3,4,1
187,26,1,3,4,0
188,26,17,3,4,1
189,27,1,3,4,0
190,27,3,3,4,1
191,28,1,3,4,0
192,29,1,3,4,0
193,30,1,3,4,0
194,30,17,3,4,1
195,31,1,3,4,0
196,31,17,3,4,1
197,32,1,3,4,0
198,32,17,3,4,1
199,33,3,3,4,0
200,34,3,3,4,0
201,34,3,3,4,1
202,34,3,3,4,2
203,34,17,3,4,0
204,34,17,3,4,1
205,34,17,3,4,2
206,34,25,3,4,0
207,34,25,3,4,1
208,34,25,3,4,2
209,35,3,3,4,0
210,35,3,3,4,1
211,35,3,3,4,2
212,35,17,3,4,0
213,35,17,3,4,1
214,35,17,3,4,2
215,35,25,3,4,0
216,35,25,3,4,1
217,35,25,3,4,2
218,36,3,3,4,0
219,36,3,3,4,1
220,36,3,3,4,2
221,36,25,3,4,0
222,36,25,3,4,1
223,36,25,3,4,2
224,37,3,3,4,0
225,37,3,3,4,1
226,37,3,3,4,2
227,37,5,3,4,0
228,37,5,3,4,1
229,37,5,3,4,2
230,37,6,3,4,0
231,37,6,3,4,1
232,37,6,3,4,2
233,37,25,3,4,0
234,37,25,3,4,1
235,37,25,3,4,2
236,38,1,3,4,0
237,39,1,3,4,0
238,40,1,3,4,0
239,41,1,3,4,0
240,42,5,3,4,0
241,43,3,2,1,0
242,43,3,3,4,1
243,44,3,3,3,0
244,44,5,3,3,0
245,44,8,3,3,0
246,45,1,3,3,0
247,45,3,3,3,0
248,45,3,3,3,1
249,45,3,3,3,2
250,45,3,3,3,3
251,45,5,3,3,0
252,45,5,3,3,1
253,45,5,3,3,2
254,45,5,3,3,3
255,45,20,3,3,0
256,45,20,3,3,1
257,45,20,3,3,2
258,45,23,3,3,0
259,45,23,3,3,1
260,45,23,3,3,2
261,45,25,3,3,0
262,45,25,3,3,1
263,45,25,3,3,2
264,46,1,3,3,0
265,46,3,3,3,0
266,46,3,3,3,1
267,46,3,3,3,2
268,46,3,3,3,3
269,46,5,3,3,0
270,46,5,3,3,1
271,46,5,3,3,2
272,46,5,3,3,3
273,46,20,3,3,0
274,46,20,3,3,1
275,46,20,3,3,2
276,46,23,3,3,0
