mechanic_id,condition_type_id,logic_operator_id,value,condition_group
2,2,3,true,1
3,2,3,false,1
4,2,3,true,1
5,2,3,false,1
6,2,3,true,1
7,2,3,false,1
10,2,3,true,1
11,2,3,false,1
12,2,3,true,1
13,2,3,false,1
14,2,3,true,1
15,2,3,false,1
16,2,3,true,1
17,2,3,false,1
18,3,3,11,1
18,3,3,7,2
19,3,4,11,1
19,3,4,7,1
20,2,3,true,1
21,2,3,false,1
21,3,3,11,1
21,2,3,false,2
21,3,3,7,2
22,2,3,false,1
22,3,4,11,1
22,3,4,7,1
23,4,3,underwater,1
24,4,4,underwater,1
25,4,3,underwater,1
25,4,3,surfing,2
25,4,3,fishing,3
26,4,4,underwater,1
26,4,4,surfing,1
26,4,4,fishing,1
27,2,3,true,1
28,2,3,false,1
28,4,3,underwater,1
28,2,3,false,2
28,4,3,surfing,2
28,2,3,false,3
28,4,3,fishing,3
29,2,3,false,1
29,4,4,underwater,1
29,4,4,surfing,1
29,4,4,fishing,1
30,2,3,true,1
31,2,3,false,1
31,5,3,in_water,1
31,2,3,false,2
31,5,3,on_water,2
32,2,3,false,1
32,5,4,in_water,1
32,5,4,on_water,1
34,2,3,true,1
35,2,3,false,1
36,6,3,true,1
37,6,3,false,1
38,2,3,true,1
39,2,3,false,1
39,6,3,true,1
40,2,3,false,1
40,6,3,false,1
42,2,3,true,1
43,2,3,false,1
46,2,3,true,1
48,2,3,false,1
49,2,3,true,1
50,2,3,false,1
51,5,3,cave,1
51,7,3,5,2
52,5,4,cave,1
52,7,4,5,1
53,2,3,true,1
54,2,3,false,1
54,5,3,cave,1
54,2,3,false,2
54,7,3,5,2
55,2,3,false,1
55,5,4,cave,1
55,7,4,5,1
56,2,3,true,1
58,2,3,false,1
59,8,3,1,1
60,8,5,1,1
61,8,3,1,1
62,8,5,1,1
63,2,3,true,1
64,2,3,false,1
64,8,3,1,1
65,2,3,false,1
65,8,5,1,1
66,2,3,true,1
67,2,3,false,1
68,1,2,100,1
68,10,5,1,1
