mechanic_id,effect_type_id,target_id,value,value_type,probability,is_consumed
101,1,1,30,add,100,true
102,1,1,25,percent_max,100,true
103,1,2,30,add,100,true
104,1,2,25,percent_max,100,true
105,3,2,,,100,true
106,2,2,2,multiplier,100,true
107,2,2,0.1,multiplier,100,true
108,2,2,1.5,multiplier,100,true
109,2,2,0.1,multiplier,100,true
110,2,2,1,multiplier,100,true
111,2,2,0.1,multiplier,100,true
112,2,2,2,multiplier,100,true
113,2,2,1.5,multiplier,100,true
114,2,2,1.5,multiplier,100,true
115,2,2,0.1,multiplier,100,true
116,2,2,1,multiplier,100,true
117,2,2,0.1,multiplier,100,true
118,2,2,1.5,multiplier,100,true
119,2,2,0.1,multiplier,100,true
120,2,2,1,multiplier,100,true
121,2,2,0.1,multiplier,100,true
122,2,2,3,multiplier,100,true
123,2,2,1,multiplier,100,true
124,2,2,0.1,multiplier,100,true
125,2,2,3.5,multiplier,100,true
126,2,2,1,multiplier,100,true
127,2,2,3.5,multiplier,100,true
128,2,2,1,multiplier,100,true
129,2,2,3.5,multiplier,100,true
130,2,2,1,multiplier,100,true
131,2,2,0.1,multiplier,100,true
132,2,2,3.5,multiplier,100,true
133,2,2,1,multiplier,100,true
134,2,2,0.1,multiplier,100,true
135,2,2,3.5,multiplier,100,true
136,2,2,1,multiplier,100,true
137,2,2,nest_ball,formula,100,true
138,2,2,0.1,multiplier,100,true
139,2,2,nest_ball,formula,100,true
140,2,2,3,multiplier,100,true
141,2,2,1,multiplier,100,true
142,2,2,0.1,multiplier,100,true
143,2,2,3.5,multiplier,100,true
144,2,2,1,multiplier,100,true
145,2,2,timer_ball,formula,100,true
146,2,2,0.1,multiplier,100,true
147,2,2,timer_ball,formula,100,true
148,2,2,1,multiplier,100,true
149,4,1,1,add,100,false
150,2,2,0.1,multiplier,100,true
151,2,2,1,multiplier,100,true
152,4,1,1,add,100,false
153,2,2,1,multiplier,100,true
154,2,2,0.1,multiplier,100,true
155,2,2,3.5,multiplier,100,true
156,2,2,1,multiplier,100,true
157,2,2,0.1,multiplier,100,true
158,2,2,3,multiplier,100,true
159,2,2,1,multiplier,100,true
160,2,2,0.1,multiplier,100,true
161,2,2,1,multiplier,100,true
162,5,2,100,percent_max,100,false
163,2,2,4,multiplier,100,true
164,2,2,1,multiplier,100,true
165,2,2,5,multiplier,100,true
166,2,2,1,multiplier,100,true
167,2,2,0.1,multiplier,100,true
