id,identifier
1,hp-recovery
2,catch-bonus
3,guarantee-capture
4,modify-friendship-gain
5,restore-pp-all
6,remove-ailment
7,restore-pp-single
8,adjust-hp-stat-ev
9,adjust-attack-stat-ev
10,adjust-defence-stat-ev
11,adjust-speed-stat-ev
12,adjust-special-attack-stat-ev
13,adjust-lvl
14,adjust-experiance
15,adjust-pp-up-use-count
16,adjust-special-defence-stat-ev
17,apply-battle-condition
18,adjust-attack-stat-stage
19,adjust-defence-stat-stage
20,adjust-special-attack-stat-stage
21,adjust-special-defence-stat-stage
22,adjust-speed-stat-stage
23,adjust-accuracy-stat-stage
24,adjust-crit-ratio
25,add-ailment
26,escape_battle
27,repel-distance
28,escape-location
29,boost-dragon-move
30,boost-steel-move
31,boost-water-move
