item_id,local_language_id,name
1,1,マスターボール
1,3,마스터볼
1,5,Master Ball
1,6,Meisterball
1,7,Master Ball
1,8,Master Ball
1,9,Master Ball
2,1,ハイパーボール
2,3,하이퍼볼
2,5,Hyper Ball
2,6,Hyperball
2,7,Ultra Ball
2,8,Ultra Ball
2,9,Ultra Ball
3,1,スーパーボール
3,3,수퍼볼
3,5,Super Ball
3,6,Superball
3,7,Super Ball
3,8,Mega Ball
3,9,Great Ball
4,1,モンスターボール
4,3,몬스터볼
4,5,Poké Ball
4,6,Pokéball
4,7,Poké Ball
4,8,Poké Ball
4,9,Poké Ball
5,1,サファリボール
5,3,사파리볼
5,5,Safari Ball
5,6,Safariball
5,7,Safari Ball
5,8,Safari Ball
5,9,Safari Ball
6,1,ネットボール
6,3,넷트볼
6,5,Filet Ball
6,6,Netzball
6,7,Malla Ball
6,8,Rete Ball
6,9,Net Ball
7,1,ダイブボール
7,3,다이브볼
7,5,Scuba Ball
7,6,Tauchball
7,7,Buceo Ball
7,8,Sub Ball
7,9,Dive Ball
8,1,ネストボール
8,3,네스트볼
8,5,Faiblo Ball
8,6,Nestball
8,7,Nido Ball
8,8,Minor Ball
8,9,Nest Ball
9,1,リピートボール
9,3,리피드볼
9,5,Bis Ball
9,6,Wiederball
9,7,Acopio Ball
9,8,Bis Ball
9,9,Repeat Ball
10,1,タイマーボール
10,3,타이마볼
10,5,Chrono Ball
10,6,Timerball
10,7,Turno Ball
10,8,Timer Ball
10,9,Timer Ball
11,1,ゴージャスボール
11,3,럭셔리볼
11,5,Luxe Ball
11,6,Luxusball
11,7,Lujo Ball
11,8,Chic Ball
11,9,Luxury Ball
12,1,プレミアボール
12,3,프레미어볼
12,5,Honor Ball
12,6,Premierball
12,7,Honor Ball
12,8,Premier Ball
12,9,Premier Ball
13,1,ダークボール
13,3,다크볼
13,5,Sombre Ball
13,6,Finsterball
13,7,Ocaso Ball
13,8,Scuro Ball
13,9,Dusk Ball
14,1,ヒールボール
14,3,힐볼
14,5,Soin Ball
14,6,Heilball
14,7,Sana Ball
14,8,Cura Ball
14,9,Heal Ball
15,1,クイックボール
15,3,퀵볼
15,5,Rapide Ball
15,6,Flottball
15,7,Veloz Ball
15,8,Velox Ball
15,9,Quick Ball
16,1,プレシャスボール
16,3,프레셔스볼
16,5,Mémoire Ball
16,6,Jubelball
16,7,Gloria Ball
16,8,Pregio Ball
16,9,Cherish Ball
17,1,キズぐすり
17,3,상처약
17,5,Potion
17,6,Trank
17,7,Poción
17,8,Pozione
17,9,Potion
