item_pocket_id,local_language_id,name
1,4,道具
1,5,Objets
1,7,Objetos
1,9,Items
1,12,道具
2,4,回復道具
2,5,Médicaments
2,7,Medicinas
2,9,Medicine
2,12,回复道具
3,4,精靈球
3,5,Balls
3,7,Bolas
3,9,Poké Balls
3,12,精灵球
4,4,招式及秘傳學習器
4,5,CT & CS
4,7,MT y MO
4,9,TMs and HMs
4,12,招式及秘传学习器
5,4,樹果
5,5,Baies
5,7,Bayas
5,9,Berries
5,12,树果
6,4,郵件
6,5,Lettres
6,7,Correo
6,9,Mail
6,12,邮件
7,4,戰鬥道具
7,5,Objets de combat
7,7,Objetos de combate
7,9,Battle Items
7,12,战斗道具
8,4,重要物品
8,5,Object rares
8,7,Objetos clave
8,9,Key Items
8,12,重要物品
