item_id,local_language_id,short_effect,effect
1,5,Capture un Pokémon sauvage à chaque fois.,"Utilisé au combat
:   [Capture]{mechanic:catch} un Pokémon sauvage sans échouer.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
1,9,Catches a wild Pokémon every time.,"Used in battle
:   [Catches]{mechanic:catch} a wild Pokémon without fail.

    If used in a trainer battle, nothing happens and the ball is lost."
2,5,Tente de capturer un Pokémon sauvage. Le taux de succès est 2x.,"Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage, utilisant un taux de capture de 2x.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
2,9,Tries to catch a wild Pokémon.  Success rate is 2×.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 2×.

    If used in a trainer battle, nothing happens and the ball is lost."
3,5,Tente de capturer un Pokémon sauvage. Le taux de succès est 1.5x.,"Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage, utilisant un taux de capture de 1.5x.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
3,9,Tries to catch a wild Pokémon.  Success rate is 1.5×.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1.5×.

    If used in a trainer battle, nothing happens and the ball is lost."
4,5,Tente de capturer un Pokémon sauvage.,"Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage, utilisant un taux de capture de 1x.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
4,9,Tries to catch a wild Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
5,5,Tente de capturer un Pokémon sauvage dans le Grand Marais ou le Parc Safari. Le taux de succès est 1.5x.,"Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage, utilisant un taux de capture de 1.5x.

Cet objet ne peut qu'être utilisé dans le []{location:great-marsh} ou []{location:kanto-safari-zone}."
5,9,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1.5×.

This item can only be used in the []{location:great-marsh} or []{location:kanto-safari-zone}."
6,5,Tente de capturer un Pokémon sauvage. Le taux de succès est 3× pour les Pokémon eau et insecte.,"Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage.  Si le Pokémon sauvage est de type []{type:water} ou []{type:bug}, cette ball a un taux de capture de 3x.  Sinon, elle a un taux de capture de 1x.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
6,9,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If the wild Pokémon is []{type:water}- or []{type:bug}-type, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
7,5,"Tente de capturer un Pokémon sauvage. Le taux de succès est 3.5× sous l'eau, en pêchant ou en surfant.","Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage.  Si le Pokémon sauvage a été rencontré en surfant ou pêchant, cette ball a un taux de capture de 3.5x.  Sinon, elle a un taux de capture de 1x.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
7,9,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing.","Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If the wild Pokémon was encountered by surfing or fishing, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
8,5,"Tente de capturer un Pokémon sauvage. Le taux de succès est 3.9× pour un Pokémon niveau 1, et baisse régulièrement jusqu'à 1× au niveau 30.","Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage.  A un taux de capture de 3.9Si le Pokémon sauvage a été rencontré en surfant ou pêchant, cette ball a un taux de capture de 3.5x.  Sinon, elle a un taux de capture de 1x.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
