location_area_id,local_language_id,name
1,9,Canalave City
1,5,Joliberges
2,9,Eterna City
2,5,Vestigion
3,9,Pastoria City
3,5,Verchamps
4,9,Sunyshore City
4,5,Rivamar
5,9,Sinnoh League
5,5,Ligue Pokémon
6,9,Oreburgh mine (1F)
6,5,Mine Charbourg (RdC)
7,9,Oreburgh mine (B1F)
7,5,Mine Charbourg (sous-sol)
8,9,Valley Windworks
8,5,Les Eoliennes
9,9,Eterna Forest
9,5,Forêt Vestigion
10,9,Fuego Ironworks
10,5,Forge Fuego
11,9,Mount Coronet (1F Road 207)
11,5,Mont Couronné (RdC côté route 207)
12,9,Mount Coronet (2F)
12,5,Mont Couronné (1er ét.)
13,9,Mount Coronet (3F)
13,5,Mont Couronné (2e ét.)
14,9,Mount Coronet (exterior snowfall)
14,5,Mont Couronné (extérieur neige)
15,9,Mount Coronet (exterior blizzard)
15,5,Mont Couronné (extérieur blizzard)
16,9,Mount Coronet (4F)
16,5,Mont Couronné (3e ét.)
17,9,Mount Coronet (4F small room)
17,5,"Mont Couronné (3e ét., petite salle)"
18,9,Mount Coronet (5F)
18,5,Mont Couronné (4e ét.)
19,9,Mount Coronet (6F)
19,5,Mont Couronné (5e ét.)
20,9,Mount Coronet (1F from exterior)
20,5,Mont Couronné (RdC depuis l'extérieur)
21,9,Mount Coronet (1F Road 216)
21,5,Mont Couronné (RdC côté route 216)
22,9,Mount Coronet (1F Road 211)
22,5,Mont Couronné (RdC côté route 211)
23,9,Mount Coronet (B1F)
23,5,Mont Couronné (sous-sol)
24,9,Great Marsh Area 1
24,5,Grand Marais Zone 1
25,9,Great Marsh Area 2
25,5,Grand Marais Zone 2
26,9,Great Marsh Area 3
26,5,Grand Marais Zone 3
27,9,Great Marsh Area 4
27,5,Grand Marais Zone 4
28,9,Great Marsh Area 5
28,5,Grand Marais Zone 5
29,9,Great Marsh Area 6
29,5,Grand Marais Zone 6
30,9,Solaceon Ruins (2F)
30,5,Ruines Bonville (étage)
31,9,Solaceon Ruins (1F)
31,5,Ruines Bonville (RdC)
32,9,Solaceon Ruins (B1F A)
32,5,Ruines Bonville (1er s-sol A)
33,9,Solaceon Ruins (B1F B)
33,5,Ruines Bonville (1er s-sol B)
34,9,Solaceon Ruins (B1F C)
34,5,Ruines Bonville (1er s-sol C)
35,9,Solaceon Ruins (B2F A)
35,5,Ruines Bonville (2e s-sol A)
36,9,Solaceon Ruins (B2F B)
36,5,Ruines Bonville (2e s-sol B)
37,9,Solaceon Ruins (B2F C)
37,5,Ruines Bonville (2e s-sol C)
38,9,Solaceon Ruins (B3F A)
38,5,Ruines Bonville (3e s-sol A)
39,9,Solaceon Ruins (B3F B)
39,5,Ruines Bonville (3e s-sol B)
40,9,Solaceon Ruins (B3F C)
40,5,Ruines Bonville (3e s-sol C)
41,9,Solaceon Ruins (B3F D)
41,5,Ruines Bonville (3e s-sol D)
42,9,Solaceon Ruins (B3F E)
42,5,Ruines Bonville (3e s-sol E)
43,9,Solaceon Ruins (B4F A)
43,5,Ruines Bonville (4e s-sol A)
44,9,Solaceon Ruins (B4F B)
44,5,Ruines Bonville (4e s-sol B)
45,9,Solaceon Ruins (B4F C)
45,5,Ruines Bonville (4e s-sol C)
46,9,Solaceon Ruins (B4F D)
46,5,Ruines Bonville (4e s-sol D)
47,9,Solaceon Ruins (B5F)
47,5,Ruines Bonville (5e s-sol)
48,9,Victory Road (1F)
48,5,Route Victoire (RdC)
49,9,Victory Road (2F)
49,5,Route Victoire (étage)
50,9,Victory Road (B1F)
50,5,Route Victoire (sous-sol)
51,9,Victory Road (inside B1F)
51,5,Route Victoire (intérieur sous-sol)
52,9,Victory Road (inside)
52,5,Route Victoire (intérieur)
53,9,Victory Road (inside exit)
53,5,"Route Victoire (intérieur, sortie)"
54,9,Ravaged Path
54,5,Chemin Rocheux
55,9,Oreburgh Gate (1F)
55,5,Entrée Charbourg (RdC)
56,9,Oreburgh Gate (B1F)
56,5,Entrée Charbourg (sous-sol)
57,9,Stark Mountain exterior
57,5,Mont Abrupt (extérieur)
58,9,Stark Mountain entrance
