id,location_id,game_index,identifier
1,1,1,sinnoh-canalave-city
2,2,2,sinnoh-eterna-city
3,3,3,sinnoh-pastoria-city
4,4,4,sinnoh-sunyshore-city
5,5,5,sinnoh-pokemon-league
6,6,6,sinnoh-oreburgh-mine-1f
7,6,7,sinnoh-oreburgh-mine-b1f
8,7,8,sinnoh-valley-windworks
9,8,9,sinnoh-eterna-forest
10,9,10,sinnoh-fuego-ironworks
11,10,11,sinnoh-mt-coronet-1f-route-207
12,10,12,sinnoh-mt-coronet-2f
13,10,13,sinnoh-mt-coronet-3f
14,10,14,sinnoh-mt-coronet-exterior-snowfall
15,10,15,sinnoh-mt-coronet-exterior-blizzard
16,10,16,sinnoh-mt-coronet-4f
17,10,17,sinnoh-mt-coronet-4f-small-room
18,10,18,sinnoh-mt-coronet-5f
19,10,19,sinnoh-mt-coronet-6f
20,10,20,sinnoh-mt-coronet-1f-from-exterior
21,10,21,sinnoh-mt-coronet-1f-route-216
22,10,22,sinnoh-mt-coronet-1f-route-211
23,10,23,sinnoh-mt-coronet-b1f
24,11,24,sinnoh-great-marsh-area-1
25,11,25,sinnoh-great-marsh-area-2
26,11,26,sinnoh-great-marsh-area-3
27,11,27,sinnoh-great-marsh-area-4
28,11,28,sinnoh-great-marsh-area-5
29,11,29,sinnoh-great-marsh-area-6
30,12,30,sinnoh-solaceon-ruins-2f
31,12,31,sinnoh-solaceon-ruins-1f
32,12,32,sinnoh-solaceon-ruins-b1f-a
33,12,33,sinnoh-solaceon-ruins-b1f-b
34,12,34,sinnoh-solaceon-ruins-b1f-c
35,12,35,sinnoh-solaceon-ruins-b2f-a
36,12,36,sinnoh-solaceon-ruins-b2f-b
37,12,37,sinnoh-solaceon-ruins-b2f-c
38,12,38,sinnoh-solaceon-ruins-b3f-a
39,12,39,sinnoh-solaceon-ruins-b3f-b
40,12,40,sinnoh-solaceon-ruins-b3f-c
41,12,41,sinnoh-solaceon-ruins-b3f-d
42,12,42,sinnoh-solaceon-ruins-b3f-e
43,12,43,sinnoh-solaceon-ruins-b4f-a
44,12,44,sinnoh-solaceon-ruins-b4f-b
45,12,45,sinnoh-solaceon-ruins-b4f-c
46,12,46,sinnoh-solaceon-ruins-b4f-d
47,12,47,sinnoh-solaceon-ruins-b5f
48,13,48,sinnoh-victory-road-1f
49,13,49,sinnoh-victory-road-2f
50,13,50,sinnoh-victory-road-b1f
51,13,51,sinnoh-victory-road-inside-b1f
52,13,52,sinnoh-victory-road-inside
53,13,53,sinnoh-victory-road-inside-exit
54,14,54,sinnoh-ravaged-path
55,15,55,sinnoh-oreburgh-gate-1f
56,15,56,sinnoh-oreburgh-gate-b1f
57,16,57,sinnoh-stark-mountain
58,16,58,sinnoh-stark-mountain-entrance
59,16,59,sinnoh-stark-mountain-inside
60,178,60,sinnoh-sendoff-spring
61,18,61,sinnoh-turnback-cave-pillar-1
62,18,62,sinnoh-turnback-cave-pillar-2
63,18,63,sinnoh-turnback-cave-pillar-3
64,18,64,sinnoh-turnback-cave-before-pillar-1
70,18,70,sinnoh-turnback-cave-between-pillars-1-and-2
76,18,76,sinnoh-turnback-cave-between-pillars-2-and-3
82,18,82,sinnoh-turnback-cave-after-pillar-3
107,19,107,sinnoh-snowpoint-temple-1f
108,19,108,sinnoh-snowpoint-temple-b1f
109,19,109,sinnoh-snowpoint-temple-b2f
110,19,110,sinnoh-snowpoint-temple-b3f
111,19,111,sinnoh-snowpoint-temple-b4f
