location_id,local_language_id,name,subtitle
1,9,Canalave City,
1,6,Fleetburg,
1,5,Joliberges,
2,9,Eterna City,
2,6,Ewigenau,
2,5,Vestigion,
3,9,Pastoria City,
3,6,Weideburg,
3,5,Verchamps,
4,9,Sunyshore City,
4,6,Sonnewik,
4,5,Rivamar,
5,9,Pokémon League,
5,6,Pokémon-Liga,
5,5,Ligue Pokémon,
6,9,Oreburgh Mine,
6,6,Erzelingen-Mine,
6,5,Mine Charbourg,
7,9,Valley Windworks,
7,6,Windkraftwerk,
7,5,Les Eoliennes,
8,9,Eterna Forest,
8,6,Ewigwald,
8,5,Forêt Vestigion,
9,9,Fuego Ironworks,
9,6,Feurio-Hütte,
9,5,Forge Fuego,
10,9,Mt. Coronet,
10,6,Kraterberg,
10,5,Mont Couronné,
11,9,Great Marsh,
11,6,Großmoor,
11,5,Grand Marais,
12,9,Solaceon Ruins,
12,6,Trostu-Ruinen,
12,5,Ruines Bonville,
13,9,Victory Road,
13,6,Siegesstraße,
13,5,Route Victoire,
14,9,Ravaged Path,
14,6,Verwüsteter Pfad,
14,5,Chemin Rocheux,
15,9,Oreburgh Gate,
15,6,Erzelingen-Tor,
15,5,Entrée Charbourg,
16,9,Stark Mountain,
16,6,Kahlberg,
16,5,Mont Abrupt,
17,9,Spring Path,
17,6,Quellenpfad,
17,5,Chemin Source,
18,9,Turnback Cave,
18,6,Höhle der Umkehr,
18,5,Grotte Retour,
19,9,Snowpoint Temple,
19,6,Blizzach-Tempel,
19,5,Temple Frimapic,
20,9,Wayward Cave,
20,6,Bizarre Höhle,
20,5,Grotte Revèche,
22,9,Ruin Maniac Cave,
22,6,Maniac-Tunnel,
22,5,Grotte Ruinem.,
23,9,Trophy Garden,
23,6,Pokémon-Landgut,
23,5,Jardin Trophée,
24,9,Iron Island,
24,6,Eiseninsel,
24,5,Ile de Fer,
25,9,Old Chateau,
25,6,Alte Villa,
25,5,Vieux Château,
26,9,Lake Verity,
26,6,See der Wahrheit,
26,5,Lac Vérité,
27,9,Lake Valor,
27,6,See der Kühnheit,
27,5,Lac Courage,
28,9,Lake Acuity,
28,6,See der Stärke,
28,5,Lac Savoir,
29,9,Valor Lakefront,
29,6,Kühnheitsufer,
29,5,Rive Lac Courage,
30,9,Acuity Lakefront,
30,6,Stärkeufer,
30,5,Rive Lac Savoir,
31,9,Route 201,
31,6,Route 201,
31,5,Route 201,
32,9,Route 202,
32,6,Route 202,
32,5,Route 202,
33,9,Route 203,
33,6,Route 203,
33,5,Route 203,
34,9,Route 204,
34,6,Route 204,
34,5,Route 204,
35,9,Route 205,
35,6,Route 205,
35,5,Route 205,
36,9,Route 206,
36,6,Route 206,
36,5,Route 206,
37,9,Route 207,
37,6,Route 207,
37,5,Route 207,
38,9,Route 208,
38,6,Route 208,
38,5,Route 208,
39,9,Route 209,
39,6,Route 209,
39,5,Route 209,
40,9,Lost Tower,
40,6,Turm der Ruhenden,
40,5,Tour Perdue,
41,9,Route 210,
41,6,Route 210,
41,5,Route 210,
42,9,Route 211,
42,6,Route 211,
42,5,Route 211,
43,9,Route 212,
43,6,Route 212,
43,5,Route 212,
44,9,Route 213,
44,6,Route 213,
44,5,Route 213,
45,9,Route 214,
45,6,Route 214,
45,5,Route 214,
46,9,Route 215,
46,6,Route 215,
46,5,Route 215,
47,9,Route 216,
47,6,Route 216,
47,5,Route 216,
48,9,Route 217,
48,6,Route 217,
48,5,Route 217,
49,9,Route 218,
49,6,Route 218,
49,5,Route 218,
50,9,Route 219,
50,6,Route 219,
50,5,Route 219,
51,9,Route 221,
51,6,Route 221,
51,5,Route 221,
52,9,Route 222,
52,6,Route 222,
52,5,Route 222,
53,9,Route 224,
53,6,Route 224,
53,5,Route 224,
54,9,Route 225,
54,6,Route 225,
54,5,Route 225,
55,9,Route 227,
55,6,Route 227,
55,5,Route 227,
56,9,Route 228,
56,6,Route 228,
56,5,Route 228,
57,9,Route 229,
57,6,Route 229,
57,5,Route 229,
58,9,Twinleaf Town,
58,6,Zweiblattdorf,
58,5,Bonaugure,
59,9,Celestic Town,
59,6,Elyses,
59,5,Célestia,
60,9,Resort Area,
60,6,Erholungsareal,
60,5,Aire de Détente,
61,9,Sea Route 220,
61,6,Route 220,
61,5,Chenal 220,
62,9,Sea Route 223,
62,6,Route 223,
62,5,Chenal 223,
63,9,Sea Route 226,
63,6,Route 226,
63,5,Chenal 226,
64,9,Sea Route 230,
64,6,Route 230,
64,5,Chenal 230,
65,9,Blackthorn City,
65,6,Ebenholz City,
65,5,Ebènelle,
66,9,Burned Tower,
66,6,Turmruine,
66,5,Tour Cendrée,
67,9,Celadon City,
67,6,Prismania City,
67,5,Céladopole,
68,9,Cerulean City,
68,6,Azuria City,
68,5,Azuria,
69,9,Cherrygrove City,
69,6,Rosalia City,
69,5,Ville Griotte,
70,9,Cianwood City,
70,6,Anemonia City,
70,5,Irisia,
71,9,Cinnabar Island,
71,6,Zinnoberinsel,
71,5,Cramois'Ile,
72,9,Dark Cave,
72,6,Dunkelhöhle,
72,5,Antre Noir,
73,9,Diglett's Cave,
73,6,Digda-Höhle,
73,5,Cave TAUPIQUEUR,
74,9,Dragon's Den,
74,6,Drachenhöhle,
74,5,Antre du Dragon,
75,9,Ecruteak City,
75,6,Teak City,
75,5,Rosalia,
76,9,Fuchsia City,
76,6,Fuchsania City,
76,5,Parmanie,
77,9,Ice Path,
77,6,Eispfad,
77,5,Route de Glace,
78,9,Ilex Forest,
78,6,Steineichenwald,
78,5,Bois aux Chênes,
79,9,Lake of Rage,
79,6,See des Zorns,
79,5,Lac Colère,
80,9,Mt. Moon,
80,6,Mondberg,
80,5,Mont Sélénite,
81,9,Mt. Mortar,
81,6,Kesselberg,
81,5,Mont Creuset,
82,9,Mt. Silver,
82,6,Silberberg,
82,5,Mont Argenté,
83,9,National Park,
83,6,Nationalpark,
83,5,Parc Naturel,
84,9,New Bark Town,
84,6,Neuborkia,
84,5,Bourg Geon,
85,9,Olivine City,
85,6,Oliviana City,
85,5,Oliville,
86,9,Pallet Town,
86,6,Alabastia,
86,5,Bourg Palette,
87,9,Rock Tunnel,
87,6,Felstunnel,
87,5,Grotte,
88,9,Route 1,
88,6,Route 1,
88,5,Route 1,
89,9,Route 10,
89,6,Route 10,
89,5,Route 10,
90,9,Route 11,
90,6,Route 11,
90,5,Route 11,
91,9,Route 12,
91,6,Route 12,
91,5,Route 12,
92,9,Route 13,
92,6,Route 13,
92,5,Route 13,
93,9,Route 14,
93,6,Route 14,
93,5,Route 14,
94,9,Route 15,
94,6,Route 15,
94,5,Route 15,
95,9,Route 16,
95,6,Route 16,
95,5,Route 16,
96,9,Route 17,
96,6,Route 17,
96,5,Route 17,
97,9,Route 18,
97,6,Route 18,
97,5,Route 18,
98,9,Sea Route 19,
98,6,Route 19,
98,5,Chenal 19,
99,9,Route 2,
99,6,Route 2,
99,5,Route 2,
100,9,Sea Route 20,
100,6,Route 20,
100,5,Chenal 20,
101,9,Sea Route 21,
101,6,Route 21,
101,5,Chenal 21,
102,9,Route 22,
102,6,Route 22,
102,5,Route 22,
103,9,Route 24,
103,6,Route 24,
103,5,Route 24,
104,9,Route 25,
104,6,Route 25,
104,5,Route 25,
105,9,Route 26,
105,6,Route 26,
105,5,Route 26,
106,9,Route 27,
106,6,Route 27,
106,5,Route 27,
107,9,Route 28,
107,6,Route 28,
107,5,Route 28,
108,9,Route 29,
108,6,Route 29,
108,5,Route 29,
109,9,Route 3,
109,6,Route 3,
109,5,Route 3,
110,9,Route 30,
110,6,Route 30,
110,5,Route 30,
111,9,Route 31,
111,6,Route 31,
111,5,Route 31,
112,9,Route 32,
112,6,Route 32,
112,5,Route 32,
113,9,Route 33,
113,6,Route 33,
113,5,Route 33,
114,9,Route 34,
114,6,Route 34,
114,5,Route 34,
115,9,Route 35,
115,6,Route 35,
115,5,Route 35,
116,9,Route 36,
116,6,Route 36,
116,5,Route 36,
117,9,Route 37,
117,6,Route 37,
117,5,Route 37,
118,9,Route 38,
118,6,Route 38,
118,5,Route 38,
119,9,Route 39,
119,6,Route 39,
119,5,Route 39,
120,9,Route 4,
120,6,Route 4,
120,5,Route 4,
121,9,Sea Route 40,
121,6,Route 40,
121,5,Chenal 40,
122,9,Sea Route 41,
122,6,Route 41,
122,5,Chenal 41,
123,9,Route 42,
123,6,Route 42,
123,5,Route 42,
124,9,Route 43,
124,6,Route 43,
124,5,Route 43,
125,9,Route 44,
125,6,Route 44,
125,5,Route 44,
126,9,Route 45,
126,6,Route 45,
126,5,Route 45,
127,9,Route 46,
127,6,Route 46,
127,5,Route 46,
128,9,Route 47,
128,6,Route 47,
128,5,Route 47,
129,9,Route 48,
129,6,Route 48,
129,5,Route 48,
130,9,Route 5,
130,6,Route 5,
130,5,Route 5,
131,9,Route 6,
131,6,Route 6,
131,5,Route 6,
132,9,Route 7,
132,6,Route 7,
132,5,Route 7,
133,9,Route 8,
133,6,Route 8,
133,5,Route 8,
134,9,Route 9,
134,6,Route 9,
134,5,Route 9,
135,9,Ruins of Alph,
135,6,Alph-Ruinen,
135,5,Ruines d'Alpha,
136,9,Seafoam Islands,
136,6,Seeschauminseln,
136,5,Iles Ecume,
137,9,Slowpoke Well,
137,6,Flegmon-Brunnen,
137,5,Puits RAMOLOSS,
138,9,Sprout Tower,
138,6,Knofensa-Turm,
138,5,Tour CHETIFLOR,
139,9,Bell Tower,
139,6,Glockenturm,
139,5,Tour Carillon,
140,9,Tohjo Falls,
140,6,Tohjo-Fälle,
140,5,Chutes Tohjo,
141,9,Union Cave,
141,6,Einheitstunnel,
141,5,Caves Jumelles,
147,9,Cerulean Cave,
147,6,Azuria-Höhle,
147,5,Caverne Azurée,
148,9,Unknown; all Poliwag,
148,6,Unbekannt; nur Quapsel,
148,5,Inconnu; que des Ptitard,
149,9,Unknown; all Rattata,
149,6,Unbekannt; nur Rattfratz,
149,5,Inconnu; que des Rattata,
150,9,Unknown; all bugs,
150,6,Unbekannt; nur Käfer,
150,5,Inconnu; que des insectes,
151,9,Vermilion City,
151,6,Orania City,
151,5,Carmin sur Mer,
152,9,Victory Road,
152,6,Siegesstraße,
152,5,Route Victoire,
153,9,Violet City,
153,6,Viola City,
153,5,Mauville,
154,9,Viridian City,
154,6,Vertania City,
154,5,Jadielle,
155,9,Viridian Forest,
155,6,Vertania-Wald,
155,5,Forêt de Jade,
156,9,Whirl Islands,
156,6,Strudelinseln,
156,5,Tourb'Iles,
157,9,Route 23,
157,6,Route 23,
157,5,Route 23,
158,9,Power Plant,
158,6,Kraftwerk,
158,5,Centrale,
159,9,Victory Road,
159,6,Siegesstraße,
159,5,Route Victoire,
160,9,Pokémon Tower,
160,6,Pokémon-Turm,
160,5,Tour Pokémon,
161,9,Pokémon Mansion,
161,6,Pokémon-Villa,
161,5,Manoir Pokémon,
162,9,Safari Zone,
162,6,Safari-Zone,
162,5,Parc Safari,
163,9,Sandgem Town,
163,6,Sandgemme,
163,5,Littorella,
164,9,Floaroma Town,
164,6,Flori,
164,5,Floraville,
165,9,Solaceon Town,
165,6,Trostu,
165,5,Bonville,
167,9,Jubilife City,
167,6,Jubelstadt,
167,5,Féli-Cité,
168,9,Oreburgh City,
168,6,Erzelingen,
168,5,Charbourg,
169,9,Hearthome City,
169,6,Herzhofen,
169,5,Unionpolis,
170,9,Veilstone City,
170,6,Schleiede,
170,5,Voilaroc,
171,9,Snowpoint City,
171,6,Blizzach,
171,5,Frimapic,
172,9,Spear Pillar,
172,6,Speersäule,
172,5,Colonnes Lances,
173,9,Pal Park,
173,6,Park der Freunde,
173,5,Parc des Amis,
174,9,Amity Square,
174,6,Platz der Treue,
174,5,Square Paisible,
175,9,Floaroma Meadow,
175,6,Auen von Flori,
175,5,Pré Floraville,
177,9,Fullmoon Island,
177,6,Vollmondinsel,
177,5,Ile Pleine Lune,
178,9,Sendoff Spring,
178,6,Scheidequelle,
178,5,Source Adieu,
179,9,Flower Paradise,
179,6,Blumenparadies,
179,5,Paradis Fleuri,
180,9,Maniac Tunnel,
180,6,Maniac-Tunnel,
180,5,Tunnel Runiem.,
181,9,Galactic HQ,
181,6,Team Galaktik Zentrale,
181,5,QG Galaxie,
182,9,Verity Lakefront,
182,6,Wahrheitsufer,
182,5,Rive Lac Vérité,
183,9,Newmoon Island,
183,6,Neumondinsel,
183,5,Ile Nouvellelune,
184,9,Battle Tower,
184,6,Duellturm,
184,5,Tour de Combat,
185,9,Fight Area,
185,6,Kampfareal,
185,5,Aire de Combat,
186,9,Survival Area,
186,6,Überlebensareal,
186,5,Aire de Survie,
187,9,Seabreak Path,
187,6,Buhnenpfad,
187,5,Passage Marin,
188,9,Hall of Origin,
188,6,Halle des Beginns,
188,5,Salle Originelle,
189,9,Hall of Origin,
189,6,Halle des Beginns,
189,5,Salle Originelle,
190,9,Verity Cavern,
190,6,Wahrheitsgrotte,
190,5,Caverne Vérité,
191,9,Valor Cavern,
191,6,Kühnheitsgrotte,
191,5,Caverne Courage,
192,9,Acuity Cavern,
192,6,Stärkegrötte,
192,5,Caverne Savoir,
193,9,Jubilife TV,
193,6,Jubelstadt TV,
193,5,Féli-Télé,
194,9,Pokétch Co.,
194,6,Pokétch-Gesellschaft,
194,5,Pokémontre S.A.,
195,9,GTS,
195,6,Global Trade System,
195,5,GTS,
196,9,Trainers’ School,
196,6,Trainerschule,
196,5,Ecole Dresseurs,
197,9,Mining Museum,
197,6,Bergbau-Museum,
197,5,Musée Minier,
198,9,Flower Shop,
198,6,Blumenladen,
198,5,Fleuriste,
199,9,Cycle Shop,
199,6,Fahrradladen,
199,5,Boutique de Vélo,
200,9,Contest Hall,
200,6,Wettbewerbshalle,
200,5,Salle Concours,
201,9,Poffin House,
201,6,Knursp Haus,
201,5,Poffinerie,
202,9,Foreign Building,
202,6,,
202,5,Bâtiment Etrange,
203,9,Pokémon Day Care,
203,6,Pokémon-Pension,
203,5,Pension Pokémon,
204,9,Veilstone Store,
204,6,Schleiede-Kaufhaus,
204,5,C. Com. Voilaroc,
205,9,Game Corner,
205,6,Spielhalle,
205,5,Casino,
206,9,Canalave Library,
206,6,Fleetburg-Bibliothek,
206,5,Bibl. Joliberges,
207,9,Vista Lighthouse,
207,6,Leuchtturm,
207,5,Phare Panorama,
208,9,Sunyshore Market,
208,6,Sonnewik-Markt,
208,5,Marché Rivamar,
209,9,Footstep House,
209,6,,
209,5,Abri Petitpas,
210,9,Café,
210,6,Café,
210,5,Café,
211,9,Grand Lake,
211,6,Großer See,
211,5,Grand Lac,
212,9,Restaurant,
212,6,Restaurant,
212,5,Restaurant,
213,9,Battle Park,
213,6,Duellpark,
213,5,Parc des Combats,
214,9,Battle Frontier,
214,6,Kampfzone,
214,5,Zone de Combat,
215,9,Battle Factory,
215,6,Kampffabrik,
215,5,Usine de Combat,
216,9,Battle Castle,
216,6,Kampfpalais,
216,5,Castel de Combat,
217,9,Battle Arcade,
217,6,Kampfarkaden,
217,5,Arcade de Combat,
218,9,Battle Hall,
218,6,Kampfsaal,
218,5,Scène de Combat,
219,9,Distortion World,
219,6,Zerrwelt,
219,5,Monde Distorsion,
220,9,Global Terminal,
220,6,Globale Wundertausch-Station,
220,5,Terminal Mondial,
221,9,Villa,
221,6,Villa,
221,5,Villa,
222,9,Battleground,
222,6,Duellareal,
222,5,Café Combats,
223,9,ROTOM's Room,
223,6,Rotoms-Zimmer,
223,5,Salle MOTISMA,
224,9,T.G. Eterna Bldg,
224,6,Galaktik-Gebäude von Ewigenau,
224,5,Team G Vestigion,
225,9,Iron Ruins,
225,6,Eisen-Ruinen,
225,5,Ruines de Fer,
226,9,Iceberg Ruins,
226,6,Eisberg-Ruinen,
226,5,Ruines Iceberg,
227,9,Rock Peak Ruins,
227,6,Gipfelruinen,
227,5,Ruines Pic Roche,
228,9,Azalea Town,
228,6,Azalea City,
228,5,Ecorcia,
229,9,Goldenrod City,
229,6,Dukatia City,
229,5,Doublonville,
230,9,Mahogany Town,
230,6,Mahagonia City,
230,5,Acajou,
231,9,Pewter City,
231,6,Marmoria City,
231,5,Argenta,
232,9,Lavender Town,
232,6,Lavandia,
232,5,Lavanville,
233,9,Indigo Plateau,
233,6,Indigo-Plateau,
233,5,Plateau Indigo,
234,9,Saffron City,
234,6,Saffronia City,
234,5,Safrania,
236,9,Lighthouse,
236,6,Leuchtturm,
236,5,Phare,
237,9,Team Rocket HQ,
237,6,Team Rocket-Hauptquartier,
237,5,Repaire Rocket d'Acajou,
238,9,Goldenrod Tunnel,
238,6,Dukatia-Passage,
238,5,Doublon-Tunnel,
239,9,Mt. Silver Cave,
239,6,Silberberg (Höhle),
239,5,Grotte Argentée,
241,9,Pokéathlon Dome,
241,6,Pokéathlon,
241,5,Dôme Pokéathlon,
242,9,S.S. Aqua,
242,6,M.S. Aqua,
242,5,Aquaria,
243,9,Safari Zone Gate,
243,6,Safari-Eingang,
243,5,Portail Safari,
244,9,Cliff Cave,
244,6,Felsschlundhöhle,
244,5,Grotte Falaise,
245,9,Frontier Access,
245,6,Kampfzonenzugang,
245,5,Atrium Combat,
246,9,Bellchime Trail,
246,6,Glockenklangpfad,
246,5,Sentier Carillon,
247,9,Sinjoh Ruins,
247,6,Sinjoh-Ruinen,
247,5,Ruines Sinjoh,
248,9,Embedded Tower,
248,6,Felsenherzturm,
248,5,Tour Enfouie,
249,9,Pokéwalker,
249,6,Pokéwalker,
249,5,Pokéwalker,
250,9,Cliff Edge Gate,
250,6,Felsklippentor,
250,5,Portail Falaise,
252,9,Radio Tower,
252,6,Radio-Turm,
252,5,Tour Radio,
253,9,Day-Care Couple,
253,6,,
253,5,Couple Pension,
254,9,Link trade (arrive),
254,6,,
254,5,Echange Link,
255,9,Link trade (met),
255,6,,
255,5,Echange Link,
256,9,Kanto,
256,6,Kanto,
256,5,Kanto,
257,9,Johto,
257,6,Johto,
257,5,Johto,
258,9,Hoenn,
258,6,Hoenn,
258,5,Hoenn,
259,9,Sinnoh,
259,6,Sinnoh,
259,5,Sinnoh,
260,9,Distant land,
260,6,,
260,5,Pays lointain,
261,9,Traveling Man,
261,6,,
261,5,un voyageur,
262,9,Riley,
262,6,Riley,
262,5,Armand,
263,9,Cynthia,
263,6,Cynthia,
263,5,Cynthia,
264,9,Mystery Zone,
264,6,Mysteriöse Zone,
264,5,Endroit mystér.,
265,9,Lovely place,
265,6,,
265,5,Endroit superbe,
266,9,Pokémon Ranger,
266,6,Pokémon Ranger,
266,5,Pokémon Ranger,
267,9,Faraway place,
267,6,,
267,5,Endroit lointain,
268,9,Pokémon Movie,
268,6,,
268,5,Film Pokémon,
269,9,Pokémon Movie 06,
269,6,,
269,5,Film Pokémon 06,
270,9,Pokémon Movie 07,
270,6,,
270,5,Film Pokémon 07,
271,9,Pokémon Movie 08,
271,6,,
271,5,Film Pokémon 08,
272,9,Pokémon Movie 09,
272,6,,
272,5,Film Pokémon 09,
273,9,Pokémon Movie 10,
273,6,,
273,5,Film Pokémon 10,
274,9,Pokémon Movie 11,
274,6,,
274,5,Film Pokémon 11,
275,9,Pokémon Movie 12,
275,6,,
275,5,Film Pokémon 12,
276,9,Pokémon Movie 13,
276,6,,
276,5,Film Pokémon 13,
277,9,Pokémon Movie 14,
277,6,,
277,5,Film Pokémon 14,
278,9,Pokémon Movie 15,
278,6,,
278,5,Film Pokémon 15,
279,9,Pokémon Movie 16,
279,6,,
279,5,Film Pokémon 16,
280,9,Pokémon Cartoon,
280,6,,
280,5,Dessin ani. PKMN,
281,9,Space World,
281,6,,
281,5,Space World,
282,9,Space World 06,
282,6,,
282,5,Space World 06,
283,9,Space World 07,
283,6,,
283,5,Space World 07,
284,9,Space World 08,
284,6,,
284,5,Space World 08,
285,9,Space World 09,
285,6,,
285,5,Space World 09,
286,9,Space World 10,
286,6,,
286,5,Space World 10,
287,9,Space World 11,
287,6,,
287,5,Space World 11,
288,9,Space World 12,
288,6,,
288,5,Space World 12,
289,9,Space World 13,
289,6,,
289,5,Space World 13,
290,9,Space World 14,
290,6,,
290,5,Space World 14,
291,9,Space World 15,
291,6,,
291,5,Space World 15,
292,9,Space World 16,
292,6,,
292,5,Space World 16,
293,9,Pokémon Festa,
293,6,Pokémon Festa,
293,5,Pokémon Festa,
294,9,Pokémon Festa 06,
294,6,,
294,5,Pokémon Festa 06,
295,9,Pokémon Festa 07,
295,6,,
295,5,Pokémon Festa 07,
296,9,Pokémon Festa 08,
296,6,,
296,5,Pokémon Festa 08,
297,9,Pokémon Festa 09,
297,6,,
297,5,Pokémon Festa 09,
298,9,Pokémon Festa 10,
298,6,,
298,5,Pokémon Festa 10,
299,9,Pokémon Festa 11,
299,6,,
299,5,Pokémon Festa 11,
300,9,Pokémon Festa 12,
300,6,,
300,5,Pokémon Festa 12,
301,9,Pokémon Festa 13,
301,6,,
301,5,Pokémon Festa 13,
302,9,Pokémon Festa 14,
302,6,,
302,5,Pokémon Festa 14,
303,9,Pokémon Festa 15,
303,6,,
303,5,Pokémon Festa 15,
304,9,Pokémon Festa 16,
304,6,,
304,5,Pokémon Festa 16,
305,9,POKéPARK,
305,6,,
305,5,POKéPARK,
306,9,POKéPARK 06,
306,6,,
306,5,POKéPARK 06,
307,9,POKéPARK 07,
307,6,,
307,5,POKéPARK 07,
308,9,POKéPARK 08,
308,6,,
308,5,POKéPARK 08,
309,9,POKéPARK 09,
309,6,,
309,5,POKéPARK 09,
310,9,POKéPARK 10,
310,6,,
310,5,POKéPARK 10,
311,9,POKéPARK 11,
311,6,,
311,5,POKéPARK 11,
312,9,POKéPARK 12,
312,6,,
312,5,POKéPARK 12,
313,9,POKéPARK 13,
313,6,,
313,5,POKéPARK 13,
314,9,POKéPARK 14,
314,6,,
314,5,POKéPARK 14,
315,9,POKéPARK 15,
315,6,,
315,5,POKéPARK 15,
316,9,POKéPARK 16,
316,6,,
316,5,POKéPARK 16,
317,9,Pokémon Center,
317,6,Pokémon-Center,
317,5,Centre Pokémon,
318,9,PC Tokyo,
318,6,,
318,5,CP Tokyo,
319,9,PC Osaka,
319,6,,
319,5,CP Osaka,
320,9,PC Fukuoka,
320,6,,
320,5,CP Fukuoka,
321,9,PC Nagoya,
321,6,,
321,5,CP Nagoya,
322,9,PC Sapporo,
322,6,,
322,5,CP Sapporo,
323,9,PC Yokohama,
323,6,,
323,5,CP Yokohama,
324,9,Nintendo World,
324,6,,
324,5,Nintendo World,
325,9,Pokémon Event,
325,6,,
325,5,Evénem. Pokémon,
326,9,Pokémon Event 06,
326,6,,
326,5,Evén. Pokémon 06,
327,9,Pokémon Event 07,
327,6,,
327,5,Evén. Pokémon 07,
328,9,Pokémon Event 08,
328,6,,
328,5,Evén. Pokémon 08,
329,9,Pokémon Event 09,
329,6,,
329,5,Evén. Pokémon 09,
330,9,Pokémon Event 10,
330,6,,
330,5,Evén. Pokémon 10,
331,9,Pokémon Event 11,
331,6,,
331,5,Evén. Pokémon 11,
332,9,Pokémon Event 12,
332,6,,
332,5,Evén. Pokémon 12,
333,9,Pokémon Event 13,
333,6,,
333,5,Evén. Pokémon 13,
334,9,Pokémon Event 14,
334,6,,
334,5,Evén. Pokémon 14,
335,9,Pokémon Event 15,
335,6,,
335,5,Evén. Pokémon 15,
336,9,Pokémon Event 16,
336,6,,
336,5,Evén. Pokémon 16,
337,9,Wi-Fi Event,
337,6,,
337,5,Evénement Wi-Fi,
338,9,Wi-Fi Gift,
338,6,,
338,5,Cadeau Wi-Fi,
339,9,Pokémon Fan Club,
339,6,Pokémon-Fanclub,
339,5,Fan Club Pokémon,
340,9,Event Site,
340,6,,
340,5,Lieu d'Evénement,
341,9,Concert Event,
341,6,,
341,5,Evénem. Concert,
342,9,Mr. Pokémon,
342,6,Mr. Pokémon,
342,5,M. Pokémon,
343,9,Primo,
343,6,Primo,
343,5,Castor,
344,9,Mystery Zone,
344,6,Mysteriöse Zone,
344,5,Endroit Mystérieux,
344,1,なぞの場所,
345,9,Faraway place,
345,6,Entfernter Ort,
345,5,Endroit Lointain,
345,1,遠い場所,
346,9,Nuvema Town,
346,6,Avenitia,
346,5,Renouet,
346,1,カノコタウン,
347,9,Accumula Town,
347,6,Gavina,
347,5,Arabelle,
347,1,カラクサタウン,
348,9,Striaton City,
348,6,Orion City,
348,5,Ogoesse,
348,1,サンヨウシティ,
349,9,Nacrene City,
349,6,Septerna City,
349,5,Maillard,
349,1,シッポウシティ,
350,9,Castelia City,
350,6,Stratos City,
350,5,Volucité,
350,1,ヒウンシティ,
351,9,Nimbasa City,
351,6,Rayono City,
351,5,Méanville,
351,1,ライモンシティ,
352,9,Driftveil City,
352,6,Marea City,
352,5,Port Yoneuve,
352,1,ホドモエシティ,
353,9,Mistralton City,
353,6,Panaero City,
353,5,Parsemille,
353,1,フキヨセシティ,
354,9,Icirrus City,
354,6,Nevaio City,
354,5,Flocombe,
354,1,セッカシティ,
355,9,Opelucid City,
355,6,Twindrake City,
355,5,Janusia,
355,1,ソウリュウシティ,
356,9,Route 1,
356,6,Route 1,
356,5,Route 1,
356,1,１番道路,
357,9,Route 2,
357,6,Route 2,
357,5,Route 2,
357,1,２番道路,
358,9,Route 3,
358,6,Route 3,
358,5,Route 3,
358,1,３番道路,
359,9,Route 4,
359,6,Route 4,
359,5,Route 4,
359,1,４番道路,
360,9,Route 5,
360,6,Route 5,
360,5,Route 5,
360,1,５番道路,
361,9,Route 6,
361,6,Route 6,
361,5,Route 6,
361,1,６番道路,
362,9,Route 7,
362,6,Route 7,
362,5,Route 7,
362,1,７番道路,
363,9,Route 8,
363,6,Route 8,
363,5,Route 8,
363,1,８番道路,
364,9,Route 9,
364,6,Route 9,
364,5,Route 9,
364,1,９番道路,
365,9,Route 10,
365,6,Route 10,
365,5,Route 10,
365,1,１０番道路,
366,9,Route 11,
366,6,Route 11,
366,5,Route 11,
366,1,１１番道路,
367,9,Route 12,
367,6,Route 12,
367,5,Route 12,
367,1,１２番道路,
368,9,Route 13,
368,6,Route 13,
368,5,Route 13,
368,1,１３番道路,
369,9,Route 14,
369,6,Route 14,
369,5,Route 14,
369,1,１４番道路,
370,9,Route 15,
370,6,Route 15,
370,5,Route 15,
370,1,１５番道路,
371,9,Route 16,
371,6,Route 16,
371,5,Route 16,
371,1,１６番道路,
372,9,Route 17,
372,6,Route 17,
372,5,Chenal 17,
372,1,１７番水道,
373,9,Route 18,
373,6,Route 18,
373,5,Route 18,
373,1,１８番道路,
374,9,Dreamyard,
374,6,Traumbrache,
374,5,Vestiges du Rêve,
374,1,夢の跡地,
375,9,Pinwheel Forest,
375,6,Ewigenwald,
375,5,Forêt d'Empoigne,
375,1,ヤグルマの森,
376,9,Desert Resort,
376,6,Wüstenresort,
376,5,Désert Délassant,
376,1,リゾートデザート,
