id,region_id,identifier
1,4,canalave-city
2,4,eterna-city
3,4,pastoria-city
4,4,sunyshore-city
5,4,sinnoh-pokemon-league
6,4,oreburgh-mine
7,4,valley-windworks
8,4,eterna-forest
9,4,fuego-ironworks
10,4,mt-coronet
11,4,great-marsh
12,4,solaceon-ruins
13,4,sinnoh-victory-road
14,4,ravaged-path
15,4,oreburgh-gate
16,4,stark-mountain
17,4,spring-path
18,4,turnback-cave
19,4,snowpoint-temple
20,4,wayward-cave
22,4,ruin-maniac-cave
23,4,trophy-garden
24,4,iron-island
25,4,old-chateau
26,4,lake-verity
27,4,lake-valor
28,4,lake-acuity
29,4,valor-lakefront
30,4,acuity-lakefront
31,4,sinnoh-route-201
32,4,sinnoh-route-202
33,4,sinnoh-route-203
34,4,sinnoh-route-204
35,4,sinnoh-route-205
36,4,sinnoh-route-206
37,4,sinnoh-route-207
38,4,sinnoh-route-208
39,4,sinnoh-route-209
40,4,lost-tower
41,4,sinnoh-route-210
42,4,sinnoh-route-211
43,4,sinnoh-route-212
44,4,sinnoh-route-213
45,4,sinnoh-route-214
46,4,sinnoh-route-215
47,4,sinnoh-route-216
48,4,sinnoh-route-217
49,4,sinnoh-route-218
50,4,sinnoh-route-219
51,4,sinnoh-route-221
52,4,sinnoh-route-222
53,4,sinnoh-route-224
54,4,sinnoh-route-225
55,4,sinnoh-route-227
56,4,sinnoh-route-228
57,4,sinnoh-route-229
58,4,twinleaf-town
59,4,celestic-town
60,4,resort-area
61,4,sinnoh-sea-route-220
62,4,sinnoh-sea-route-223
63,4,sinnoh-sea-route-226
64,4,sinnoh-sea-route-230
65,2,blackthorn-city
66,2,burned-tower
67,1,celadon-city
68,1,cerulean-city
69,2,cherrygrove-city
70,2,cianwood-city
71,1,cinnabar-island
72,2,dark-cave
73,1,digletts-cave
74,2,dragons-den
75,2,ecruteak-city
76,1,fuchsia-city
77,2,ice-path
78,2,ilex-forest
79,2,lake-of-rage
80,1,mt-moon
81,2,mt-mortar
82,2,mt-silver
83,2,national-park
84,2,new-bark-town
85,2,olivine-city
86,1,pallet-town
87,1,rock-tunnel
88,1,kanto-route-1
89,1,kanto-route-10
90,1,kanto-route-11
91,1,kanto-route-12
92,1,kanto-route-13
93,1,kanto-route-14
94,1,kanto-route-15
95,1,kanto-route-16
96,1,kanto-route-17
97,1,kanto-route-18
98,1,kanto-sea-route-19
99,1,kanto-route-2
100,1,kanto-sea-route-20
101,1,kanto-sea-route-21
102,1,kanto-route-22
103,1,kanto-route-24
104,1,kanto-route-25
105,1,kanto-route-26
106,1,kanto-route-27
107,1,kanto-route-28
108,2,johto-route-29
109,1,kanto-route-3
110,2,johto-route-30
111,2,johto-route-31
112,2,johto-route-32
113,2,johto-route-33
114,2,johto-route-34
115,2,johto-route-35
116,2,johto-route-36
117,2,johto-route-37
118,2,johto-route-38
119,2,johto-route-39
120,1,kanto-route-4
121,2,johto-sea-route-40
122,2,johto-sea-route-41
123,2,johto-route-42
124,2,johto-route-43
125,2,johto-route-44
126,2,johto-route-45
127,2,johto-route-46
128,2,johto-route-47
129,2,johto-route-48
130,1,kanto-route-5
131,1,kanto-route-6
132,1,kanto-route-7
133,1,kanto-route-8
134,1,kanto-route-9
135,2,ruins-of-alph
136,1,seafoam-islands
137,2,slowpoke-well
138,2,sprout-tower
139,2,bell-tower
140,2,tohjo-falls
141,2,union-cave
147,1,cerulean-cave
148,2,unknown-all-poliwag
149,2,unknown-all-rattata
150,2,unknown-all-bugs
151,1,vermilion-city
152,1,kanto-victory-road-1
153,2,violet-city
154,1,viridian-city
155,1,viridian-forest
156,2,whirl-islands
157,1,kanto-route-23
158,1,power-plant
159,1,kanto-victory-road-2
160,1,pokemon-tower
161,1,pokemon-mansion
162,1,kanto-safari-zone
163,4,sandgem-town
164,4,floaroma-town
165,4,solaceon-town
167,4,jubilife-city
168,4,oreburgh-city
169,4,hearthome-city
170,4,veilstone-city
171,4,snowpoint-city
172,4,spear-pillar
173,4,pal-park
174,4,amity-square
175,4,floaroma-meadow
177,4,fullmoon-island
178,4,sendoff-spring
179,4,flower-paradise
180,4,maniac-tunnel
181,4,galactic-hq
182,4,verity-lakefront
