machine_number,version_group_id,location_id,location_area_id
1,1,80,291
1,1,67,67
1,2,80,291
1,2,67,67
2,1,67,67
2,2,67,67
3,1,234,835
3,2,234,835
4,1,120,298
4,2,120,298
5,1,80,291
5,1,67,67
5,2,80,291
5,2,67,67
6,1,76,284
6,2,76,284
7,1,67,67
7,2,67,67
8,1,498,461
8,2,498,461
9,1,234,
9,1,67,67
9,2,234,
9,2,67,67
11,1,68,96
11,2,68,96
13,1,67,67
13,2,67,67
14,1,161,342
14,2,161,342
15,1,67,67
15,2,67,67
16,1,91,276
16,2,91,276
17,1,159,333
17,1,67,67
17,2,159,333
17,2,67,67
18,1,67,67
18,2,67,67
19,1,104,315
19,2,104,315
20,1,94,308
20,2,94,308
21,1,67,67
21,2,67,67
22,1,161,344
22,2,162,344
23,1,67,67
23,2,67,67
24,1,151,282
24,2,151,282
25,1,158,330
25,2,158,330
26,1,234,835
26,2,234,835
27,1,154,280
27,2,154,280
28,1,68,281
28,2,68,281
29,1,234,
29,2,234,
30,1,134,303
30,2,134,303
31,1,234,
31,2,234,
32,1,76,284
32,1,67,67
32,2,76,284
32,2,67,67
33,1,158,
33,2,158,
34,1,231,
34,2,231,
35,1,71,
35,2,71,
36,1,234,835
36,2,234,835
37,1,76,284
37,2,76,284
37,1,67,67
37,2,67,67
38,1,71,279
38,2,71,279
39,1,91,276
39,2,91,276
40,1,162,345
40,2,162,345
41,1,67,67
41,2,67,67
42,1,154,280
42,2,154,280
43,1,152,318
43,2,152,318
44,1,498,461
44,2,498,461
45,1,103,314
45,2,103,314
46,1,234,
46,2,234,
47,1,152,332
47,2,152,332
48,1,67,67
48,2,67,67
49,1,67,67
49,2,67,67
50,1,67,67
50,2,67,67
