machine_number,version_group_id,item_id,move_id
1,1,305,5
1,2,305,5
1,3,305,223
1,4,305,223
1,5,305,264
1,6,305,264
1,7,305,264
1,8,305,264
1,9,305,264
1,10,305,264
1,11,305,468
1,12,305,264
1,13,305,264
1,14,305,468
1,15,305,468
1,16,305,468
1,17,305,526
1,18,305,526
2,1,306,13
2,2,306,13
2,3,306,29
2,4,306,29
2,5,306,337
2,6,306,337
2,7,306,337
2,8,306,337
2,9,306,337
2,10,306,337
2,11,306,337
2,12,306,337
2,13,306,337
2,14,306,337
2,15,306,337
2,16,306,337
2,17,306,337
2,18,306,337
3,1,307,14
3,2,307,14
3,3,307,174
3,4,307,174
3,5,307,352
3,6,307,352
3,7,307,352
3,8,307,352
3,9,307,352
3,10,307,352
3,11,307,473
3,12,307,352
3,13,307,352
3,14,307,473
3,15,307,473
3,16,307,473
3,17,307,473
3,18,307,473
4,1,308,18
4,2,308,18
4,3,308,205
4,4,308,205
4,5,308,347
4,6,308,347
4,7,308,347
4,8,308,347
4,9,308,347
4,10,308,347
4,11,308,347
4,12,308,347
4,13,308,347
4,14,308,347
4,15,308,347
4,16,308,347
4,17,308,347
4,18,308,347
5,1,309,25
5,2,309,25
5,3,309,46
5,4,309,46
5,5,309,46
5,6,309,46
5,7,309,46
5,8,309,46
5,9,309,46
5,10,309,46
5,11,309,46
5,12,309,46
5,13,309,46
5,14,309,46
5,15,309,46
5,16,309,46
5,17,309,46
5,18,309,46
6,1,310,92
6,2,310,92
6,3,310,92
6,4,310,92
6,5,310,92
6,6,310,92
6,7,310,92
6,8,310,92
6,9,310,92
6,10,310,92
6,11,310,92
6,12,310,92
6,13,310,92
6,14,310,92
6,15,310,92
6,16,310,92
6,17,310,92
6,18,310,92
7,1,311,32
7,2,311,32
7,3,311,192
7,4,311,192
7,5,311,258
7,6,311,258
7,7,311,258
7,8,311,258
7,9,311,258
7,10,311,258
7,11,311,258
7,12,311,258
7,13,311,258
7,14,311,258
7,15,311,258
7,16,311,258
7,17,311,258
7,18,311,258
8,1,312,34
8,2,312,34
8,3,312,249
8,4,312,249
8,5,312,339
8,6,312,339
8,7,312,339
8,8,312,339
8,9,312,339
8,10,312,339
8,11,312,339
8,12,312,339
8,13,312,339
8,14,312,339
8,15,312,339
8,16,312,339
8,17,312,339
8,18,312,339
9,1,313,36
9,2,313,36
9,3,313,244
9,4,313,244
9,5,313,331
9,6,313,331
9,7,313,331
9,8,313,331
9,9,313,331
9,10,313,331
9,11,313,474
9,12,313,331
9,13,313,331
9,14,313,474
