move_effect_id,local_language_id,short_effect,effect
1,5,Inflige des dégâts réguliers avec aucun effet additionnel.,Inflige des [[dégats réguliers]{mechanic:regular-damage}.
1,9,Inflicts regular damage with no additional effect.,Inflicts [regular damage]{mechanic:regular-damage}.
2,5,Endort la cible.,[Endort]{mechanic:sleep} la cible.
2,9,Puts the target to sleep.,Puts the target to [sleep]{mechanic:sleep}.
3,5,A une $probabilité_d'effet% de chances d'[empoisonner]{mechanic:poison} la cible.,Inflige des [dégats réguliers]{mechanic:regular-damage}.  A une $probabilité_d'effet% de chances d'[empoisonner]{mechanic:poison} la cible.
3,9,Has a $effect_chance% chance to [poison]{mechanic:poison} the target.,Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [poison]{mechanic:poison} the target.
4,5,Draine la moitié des dégâts infligés pour soigner le lanceur.,Inflige des [dégats réguliers]{mechanic:regular-damage}.  [Draine]{mechanic:drain} la moitié des dégâts infligés pour soigner le lanceur.
4,9,Drains half the damage inflicted to heal the user.,Inflicts [regular damage]{mechanic:regular-damage}.  [Drains]{mechanic:drain} half the damage inflicted to heal the user.
5,5,A une $probabilité_d'effet% de chances de [brûler]{mechanic:burn} la cible.,Inflige des [dégats réguliers]{mechanic:regular-damage}.  A une $probabilité_d'effet% de chances de [brûler]{mechanic:burn} la cible.
5,9,Has a $effect_chance% chance to [burn]{mechanic:burn} the target.,Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [burn]{mechanic:burn} the target.
6,5,A une $probabilité_d'effet% de chances de [geler]{mechanic:freeze} la cible.,Inflige des [dégats réguliers]{mechanic:regular-damage}.  A une $probabilité_d'effet% de chances de [geler]{mechanic:freeze} la cible.
6,9,Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.,Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.
7,5,A une $probabilité_d'effet% de chances de [paralyser]{mechanic:paralysis} la cible.,Inflige des [dégats réguliers]{mechanic:regular-damage}.  A une $probabilité_d'effet% de chances de [paralyser]{mechanic:paralyze} la cible.
7,9,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [paralyze]{mechanic:paralyze} the target.
8,5,Le lanceur est mis KO.,"Le lanceur est [mis KO]{mechanic:faint}, même si l'attaque [échoue]{mechanic:fail} ou [manque sa cible]{mechanic:miss}.  Inflige des [dégâts réguliers]{mechanic:regular-damage}."
8,9,User faints.,"User [faint]{mechanic:faint}s, even if the attack [fail]{mechanic:fail}s or [miss]{mechanic:miss}es.  Inflicts [regular damage]{mechanic:regular-damage}."
9,5,Ne fonctionne que sur les Pokémon endormis.  Draine la moitié des dégâts infligés pour soigner le lanceur.,[Échoue]{mechanic:fail} si non utilisé sur un Pokémon [endormi]{mechanic:sleep}.  Inflige des [dégâts réguliers]{mechanic:regular-damage}.  [Draine]{mechanic:drain} la moitié des dégâts infligés pour soigner le lanceur.
9,9,Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.,[Fails]{mechanic:fail} if not used on a [sleep]{mechanic:sleep}ing Pokémon.  Inflicts [regular damage]{mechanic:regular-damage}.  [Drains]{mechanic:drain} half the damage inflicted to heal the user.
