move_flag_id,local_language_id,name,description
1,5,Contact,"Le lanceur touche la cible. Cela déclenche certaines capacités (e.g., Statik) et certains objets (e.g., Piquants)."
1,6,Kontakt,Der Anwender berührt das Ziel.  Dies löst mahcne Fähigkeiten aus (z.B. Statik) und Gegenstände (z.B. Klettdorn).
1,9,Makes contact,"User touches the target.  This triggers some abilities (e.g., Static) and items (e.g., Sticky Barb)."
2,5,A un tour de chargement,Cette capacité nécessite un tour de chargement qui peut être passé avec une Herbe Pouvoir.
2,6,Hat eine Aufladerunde,"Diese Fähigkeit hat eine Aufladerunde, welche mit einer Energiekraut übersprungen werden kann."
2,9,Has a charging turn,This move has a charging turn that can be skipped with a Power Herb.
3,5,Doit recharger,"Au tour suivant l’utilisation de cette capacité, l’action du Pokémon est ignorée pour qu’il puisse se recharger."
3,6,Muss aufladen,"Die Runde nach dieser Fähigkeit wird benötigt, damit das Pokémon sich aufladen kann."
3,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
4,5,Bloqué par Protection et Abri,Cette capacité ne fonctionnera pas si la cible a utilisé Détection ou Abri ce tour.
4,6,Blockiert von Scanner and Schutzschild,"Diese Fähigkeit funktioniert nicht, wenn das Ziel Scanner oder Schutzschild diese Runde genutzt hat."
4,9,Blocked by Detect and Protect,This move will not work if the target has used Detect or Protect this turn.
5,5,Réflechissable,Cette capacité peut être réflechie sur le lanceur avec Reflet Magik ou Miroir Magik.
5,6,Reflektierbar,Diese Fähigkeit könnte reflektiert mit Magiemantel oder Magiespiegel reflektiert werden.
5,9,Reflectable,This move may be reflected back at the user with Magic Coat or Magic Bounce.
6,5,Saisissable,Cette capacité peut être volée si un autre Pokémon a utilisé Saisie ce tour.
6,6,Übernehmbar,"Diese Fähigkeit kann übernommen werden, wenn ein anderes Pokémon Übernahme diese Runde nutzt."
6,9,Snatchable,This move will be stolen if another Pokémon has used Snatch this turn.
7,5,Copié par Mimique,Un Pokémon ciblé par cette capacité peut utiliser Mimique pour la copier.
7,6,Kopierbar von Spiegeltrick,Ein von dieser Fähigkeit getroffenes Pokémon kann Spiegeltrick nutzen um diese Fähigkeit zu kopieren.
7,9,Copied by Mirror Move,A Pokémon targeted by this move can use Mirror Move to copy it.
8,5,Basé sur un coup de poing,La puissance de cette capacité est multipliée par 1.2 lorsqu’elle est utilisée par un Pokémon avec Poing de Fer.
8,6,Hieb basierend,"Diese Fähigkeit hat die 1.2× Kraft, wenn es von einem Pokémon mit Eisenfaust genutzt wird."
8,9,Punch-based,This move has 1.2× its usual power when used by a Pokémon with Iron Fist.
9,5,Capacité sonore,Les Pokémon avec Anti-Bruit sont immunisés contre cette capacité.
9,6,Sound basierend,Pokémon mit Lärmschutz sind immun gegen diese Fähigkeit.
9,9,Sound-based,Pokémon with Soundproof are immune to this move.
10,5,Inutilisable sous Gravité,Cette capacité ne peut pas être utilisé sous forte Gravité.
10,6,Nicht nutzbar bei hoher Erdanziehung,Diese Fähigkeit kann nicht bei hoher Erdanziehung genutzt werden.
10,9,Unusable during Gravity,This move cannot be used in high Gravity.
11,5,Dégêle quand utilisé,Cette capacité peut être utilisée lorsque le Pokémon est gelé pour le forcer à se dégeler.
11,6,Enteist bei benutzung,"Diese Fähigkeit kann genutzt werden, wenn das Pokémon vereist ist um es zu enteisen."
11,9,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
12,5,Cible le côté opposé en combat triple,"En combat triple, cette capacité peut être utilisée pour toucher l’adversaire le plus éloigné."
12,6,Trifft gegenüber liegende Seite in 3er Kämpfen,In 3er Kämpfen trifft diese Fähigkeit den entferntesten Gegner.
12,9,Targets opposite side in triples,"In triple battles, this move can be used on either side to target the farthest away opposing Pokémon."
13,5,Soigne,Cette capacité est bloquée par Anti-Soin.
13,6,Heilt,Diese Fähigkeit wird von Heilblockade blockiert.
13,9,Heals,This move is blocked by Heal Block.
14,5,Ignore Clonage,Cette capacité ignore le Clonage de la cible.
14,6,Ignoriert Delegator,Diese Fähigkeit ignoriert den Delegator des Ziels.
14,9,Ignores Substitute,This move ignores the target's Substitute.
15,5,À base de poudre,Les Pokémon avec Envelocape et le type Plante sont immunisés contre cette capacité.
15,6,Pulver basierend,Pokémon mit Partikelschutz und Pflanze-Pokémon sind immun gegen diese Fähigkeit.
15,9,Powder-based,Pokémon with Overcoat and Grass-type Pokémon are immune to this move.
16,5,Utilise la mâchoire,La puissance de cette capacité est multipliée par 1.5 lorsqu’elle est utilisée par un Pokémon avec Prognathe.
16,6,Kiefer basierend,"Diese Fähigkeit hat die 1.5× Kraft, wenn sie von einem Pokémon mit Titankiefer genutzt wird."
