move_id,local_language_id,name
1,1,はたく
1,3,막치기
1,4,拍擊
1,5,Écras’Face
1,6,Klaps
1,7,Destructor
1,8,Botta
1,9,Pound
1,11,はたく
1,12,拍击
2,1,からてチョップ
2,3,태권당수
2,4,空手劈
2,5,Poing Karaté
2,6,Karateschlag
2,7,Golpe Kárate
2,8,Colpokarate
2,9,Karate Chop
2,11,からてチョップ
2,12,空手劈
3,1,おうふくビンタ
3,3,연속뺨치기
3,4,連環巴掌
3,5,Torgnoles
3,6,Duplexhieb
3,7,Doble Bofetón
3,8,Doppiasberla
3,9,Double Slap
3,11,おうふくビンタ
3,12,连环巴掌
4,1,れんぞくパンチ
4,3,연속펀치
4,4,連續拳
4,5,Poing Comète
4,6,Kometenhieb
4,7,Puño Cometa
4,8,Cometapugno
4,9,Comet Punch
4,11,れんぞくパンチ
4,12,连续拳
5,1,メガトンパンチ
5,3,메가톤펀치
5,4,百萬噸重拳
5,5,Ultimapoing
5,6,Megahieb
5,7,Megapuño
5,8,Megapugno
5,9,Mega Punch
5,11,メガトンパンチ
5,12,百万吨重拳
6,1,ネコにこばん
6,3,고양이돈받기
6,4,聚寶功
6,5,Jackpot
6,6,Zahltag
6,7,Día de Pago
6,8,Giornopaga
6,9,Pay Day
6,11,ネコにこばん
6,12,聚宝功
7,1,ほのおのパンチ
7,3,불꽃펀치
7,4,火焰拳
7,5,Poing Feu
7,6,Feuerschlag
7,7,Puño Fuego
7,8,Fuocopugno
7,9,Fire Punch
7,11,ほのおのパンチ
7,12,火焰拳
8,1,れいとうパンチ
8,3,냉동펀치
8,4,冰凍拳
8,5,Poing Glace
8,6,Eishieb
8,7,Puño Hielo
8,8,Gelopugno
8,9,Ice Punch
8,11,れいとうパンチ
8,12,冰冻拳
9,1,かみなりパンチ
9,3,번개펀치
9,4,雷電拳
9,5,Poing Éclair
9,6,Donnerschlag
9,7,Puño Trueno
9,8,Tuonopugno
9,9,Thunder Punch
9,11,かみなりパンチ
9,12,雷电拳
10,1,ひっかく
10,3,할퀴기
10,4,抓
10,5,Griffe
10,6,Kratzer
10,7,Arañazo
10,8,Graffio
10,9,Scratch
