id,region_id,identifier,is_main_series
1,,national,1
2,1,kanto,1
3,2,original-johto,1
4,3,hoenn,1
5,4,original-sinnoh,1
6,4,extended-sinnoh,1
7,2,updated-johto,1
8,5,original-unova,1
9,5,updated-unova,1
11,,conquest-gallery,0
12,6,kalos-central,1
13,6,kalos-coastal,1
14,6,kalos-mountain,1
15,3,updated-hoenn,1
16,7,original-alola,1
17,7,original-melemele,1
18,7,original-akala,1
19,7,original-ulaula,1
20,7,original-poni,1
21,7,updated-alola,1
22,7,updated-melemele,1
23,7,updated-akala,1
24,7,updated-ulaula,1
25,7,updated-poni,1
26,1,letsgo-kanto,1
27,8,galar,1
28,8,isle-of-armor,1
29,8,crown-tundra,1
30,9,hisui,1
31,10,paldea,1
32,10,kitakami,1
33,10,indigo-disk,1
