pokemon_id,ability_id,is_hidden,slot
1,65,0,1
1,34,1,3
2,65,0,1
2,34,1,3
3,65,0,1
3,34,1,3
4,66,0,1
4,94,1,3
5,66,0,1
5,94,1,3
6,66,0,1
6,94,1,3
7,67,0,1
7,44,1,3
8,67,0,1
8,44,1,3
9,67,0,1
9,44,1,3
10,19,0,1
10,50,1,3
11,61,0,1
12,14,0,1
12,110,1,3
13,19,0,1
13,50,1,3
14,61,0,1
15,68,0,1
15,97,1,3
16,51,0,1
16,77,0,2
16,145,1,3
17,51,0,1
17,77,0,2
17,145,1,3
18,51,0,1
18,77,0,2
18,145,1,3
19,50,0,1
19,62,0,2
19,55,1,3
20,50,0,1
20,62,0,2
20,55,1,3
21,51,0,1
21,97,1,3
22,51,0,1
22,97,1,3
23,22,0,1
23,61,0,2
23,127,1,3
24,22,0,1
24,61,0,2
24,127,1,3
25,9,0,1
25,31,1,3
26,9,0,1
26,31,1,3
27,8,0,1
27,146,1,3
28,8,0,1
28,146,1,3
29,38,0,1
29,79,0,2
29,55,1,3
30,38,0,1
30,79,0,2
30,55,1,3
31,38,0,1
31,79,0,2
31,125,1,3
32,38,0,1
32,79,0,2
32,55,1,3
33,38,0,1
33,79,0,2
33,55,1,3
34,38,0,1
34,79,0,2
34,125,1,3
35,56,0,1
35,98,0,2
35,132,1,3
36,56,0,1
36,98,0,2
36,109,1,3
37,18,0,1
37,70,1,3
38,18,0,1
38,70,1,3
39,56,0,1
39,172,0,2
39,132,1,3
40,56,0,1
40,172,0,2
40,119,1,3
41,39,0,1
41,151,1,3
42,39,0,1
42,151,1,3
43,34,0,1
43,50,1,3
44,34,0,1
44,1,1,3
45,34,0,1
45,27,1,3
46,27,0,1
46,87,0,2
46,6,1,3
47,27,0,1
47,87,0,2
47,6,1,3
48,14,0,1
48,110,0,2
48,50,1,3
49,19,0,1
49,110,0,2
49,147,1,3
50,8,0,1
50,71,0,2
50,159,1,3
51,8,0,1
51,71,0,2
51,159,1,3
52,53,0,1
52,101,0,2
52,127,1,3
53,7,0,1
53,101,0,2
53,127,1,3
54,6,0,1
54,13,0,2
54,33,1,3
55,6,0,1
55,13,0,2
55,33,1,3
56,72,0,1
56,83,0,2
56,128,1,3
57,72,0,1
57,83,0,2
57,128,1,3
58,22,0,1
58,18,0,2
58,154,1,3
59,22,0,1
59,18,0,2
59,154,1,3
60,11,0,1
60,6,0,2
60,33,1,3
61,11,0,1
61,6,0,2
61,33,1,3
62,11,0,1
62,6,0,2
62,33,1,3
63,28,0,1
63,39,0,2
63,98,1,3
64,28,0,1
64,39,0,2
64,98,1,3
65,28,0,1
65,39,0,2
65,98,1,3
66,62,0,1
66,99,0,2
66,80,1,3
67,62,0,1
67,99,0,2
67,80,1,3
68,62,0,1
68,99,0,2
68,80,1,3
69,34,0,1
69,82,1,3
70,34,0,1
70,82,1,3
71,34,0,1
71,82,1,3
72,29,0,1
72,64,0,2
72,44,1,3
73,29,0,1
73,64,0,2
73,44,1,3
74,69,0,1
74,5,0,2
74,8,1,3
75,69,0,1
75,5,0,2
75,8,1,3
76,69,0,1
76,5,0,2
76,8,1,3
77,50,0,1
77,18,0,2
77,49,1,3
78,50,0,1
78,18,0,2
78,49,1,3
79,12,0,1
79,20,0,2
79,144,1,3
80,12,0,1
