pokemon_id,generation_id,ability_id,is_hidden,slot
1,4,,1,3
2,4,,1,3
3,4,,1,3
4,4,,1,3
5,4,,1,3
6,4,,1,3
7,4,,1,3
8,4,,1,3
9,4,,1,3
10,4,,1,3
12,4,,1,3
13,4,,1,3
15,4,,1,3
16,3,,0,2
16,4,,1,3
17,3,,0,2
17,4,,1,3
18,3,,0,2
18,4,,1,3
19,4,,1,3
20,4,,1,3
21,4,,1,3
22,4,,1,3
23,4,,1,3
24,4,,1,3
25,4,,1,3
26,4,,1,3
27,4,,1,3
28,4,,1,3
29,3,,0,2
29,4,,1,3
30,3,,0,2
30,4,,1,3
31,3,,0,2
31,4,,1,3
32,3,,0,2
32,4,,1,3
33,3,,0,2
33,4,,1,3
34,3,,0,2
34,4,,1,3
35,3,,0,2
35,4,,1,3
36,3,,0,2
36,4,,1,3
37,4,,1,3
38,4,,1,3
39,4,,1,3
39,5,,0,2
40,4,,1,3
40,5,,0,2
41,4,,1,3
42,4,,1,3
43,4,,1,3
44,4,,1,3
45,4,,1,3
46,3,,0,2
46,4,,1,3
47,3,,0,2
47,4,,1,3
48,3,,0,2
48,4,,1,3
49,3,,0,2
49,4,,1,3
50,4,,1,3
51,4,,1,3
52,3,,0,2
52,4,,1,3
53,3,,0,2
53,4,,1,3
54,4,,1,3
55,4,,1,3
56,3,,0,2
56,4,,1,3
57,3,,0,2
57,4,,1,3
58,4,,1,3
59,4,,1,3
60,4,,1,3
61,4,,1,3
62,4,,1,3
63,4,,1,3
64,4,,1,3
65,4,,1,3
66,3,,0,2
66,4,,1,3
67,3,,0,2
67,4,,1,3
68,3,,0,2
68,4,,1,3
69,4,,1,3
70,4,,1,3
71,4,,1,3
72,4,,1,3
73,4,,1,3
74,4,,1,3
75,4,,1,3
76,4,,1,3
77,4,,1,3
78,4,,1,3
79,4,,1,3
80,4,,1,3
81,4,,1,3
82,4,,1,3
83,4,,1,3
84,4,,1,3
85,4,,1,3
86,3,,0,2
86,4,,1,3
87,3,,0,2
87,4,,1,3
88,4,,1,3
89,4,,1,3
90,3,,0,2
90,4,,1,3
91,3,,0,2
91,4,,1,3
94,6,26,0,1
95,4,,1,3
96,3,,0,2
96,4,,1,3
97,3,,0,2
97,4,,1,3
98,4,,1,3
99,4,,1,3
100,4,,1,3
101,4,,1,3
102,4,,1,3
103,4,,1,3
104,4,,1,3
105,4,,1,3
106,3,,0,2
106,4,,1,3
107,3,,0,2
107,4,,1,3
108,4,,1,3
109,7,,0,2
110,7,,0,2
111,4,,1,3
112,4,,1,3
113,4,,1,3
114,3,,0,2
114,4,,1,3
115,3,,0,2
115,4,,1,3
116,3,,0,2
116,4,,1,3
117,3,,0,2
117,4,,1,3
118,4,,1,3
119,4,,1,3
120,4,,1,3
121,4,,1,3
122,3,,0,2
122,4,,1,3
123,3,,0,2
123,4,,1,3
124,3,,0,2
124,4,,1,3
125,4,,1,3
126,4,,1,3
127,3,,0,2
127,4,,1,3
128,3,,0,2
128,4,,1,3
129,4,,1,3
130,4,,1,3
131,4,,1,3
132,4,,1,3
133,3,,0,2
133,4,,1,3
134,4,,1,3
135,4,,1,3
136,4,,1,3
137,3,,0,2
137,4,,1,3
138,4,,1,3
139,4,,1,3
140,4,,1,3
141,4,,1,3
142,4,,1,3
143,4,,1,3
145,5,31,1,3
147,4,,1,3
148,4,,1,3
149,4,,1,3
150,4,,1,3
161,4,,1,3
162,4,,1,3
163,4,,1,3
164,4,,1,3
165,4,,1,3
166,4,,1,3
167,4,,1,3
168,4,,1,3
169,4,,1,3
170,4,,1,3
171,4,,1,3
172,4,,1,3
173,3,,0,2
173,4,,1,3
174,4,,1,3
174,5,,0,2
175,4,,1,3
176,4,,1,3
177,4,,1,3
178,4,,1,3
179,4,,1,3
180,4,,1,3
181,4,,1,3
182,4,,1,3
183,4,,1,3
184,4,,1,3
185,4,,1,3
186,4,,1,3
187,3,,0,2
187,4,,1,3
188,3,,0,2
188,4,,1,3
189,3,,0,2
189,4,,1,3
190,4,,1,3
191,3,,0,2
191,4,,1,3
192,3,,0,2
192,4,,1,3
193,4,,1,3
194,4,,1,3
195,4,,1,3
196,4,,1,3
197,4,,1,3
198,3,,0,2
198,4,,1,3
199,4,,1,3
202,4,,1,3
203,4,,1,3
204,4,,1,3
205,4,,1,3
206,4,,1,3
207,4,,1,3
208,4,,1,3
209,4,,1,3
210,3,,0,2
210,4,,1,3
211,4,,1,3
212,3,,0,2
212,4,,1,3
213,3,,0,2
213,4,,1,3
214,4,,1,3
215,4,,1,3
216,3,,0,2
216,4,,1,3
217,3,,0,2
217,4,,1,3
218,4,,1,3
219,4,,1,3
220,3,,0,2
220,4,,1,3
221,3,,0,2
221,4,,1,3
222,4,,1,3
223,3,,0,2
223,4,,1,3
224,3,,0,2
224,4,,1,3
225,4,,1,3
226,4,,1,3
227,4,,1,3
228,4,,1,3
229,4,,1,3
230,3,,0,2
230,4,,1,3
231,4,,1,3
232,4,,1,3
233,3,,0,2
233,4,,1,3
234,3,,0,2
234,4,,1,3
235,3,,0,2
235,4,,1,3
236,3,,0,2
236,4,,1,3
237,3,,0,2
237,4,,1,3
238,3,,0,2
238,4,,1,3
239,4,,1,3
240,4,,1,3
241,3,,0,2
241,4,,1,3
242,4,,1,3
243,6,10,1,3
244,6,18,1,3
245,6,11,1,3
246,4,,1,3
248,4,,1,3
249,4,,1,3
250,4,,1,3
252,4,,1,3
253,4,,1,3
254,4,,1,3
255,4,,1,3
256,4,,1,3
257,4,,1,3
258,4,,1,3
259,4,,1,3
260,4,,1,3
261,3,,0,2
261,4,,1,3
262,3,,0,2
262,4,,1,3
263,3,,0,2
263,4,,1,3
264,3,,0,2
264,4,,1,3
265,4,,1,3
267,4,,1,3
269,4,,1,3
270,4,,1,3
271,4,,1,3
272,4,,1,3
273,4,,1,3
274,4,,1,3
275,4,,1,3
275,8,48,0,2
276,4,,1,3
277,4,,1,3
278,4,,1,3
278,6,,0,2
279,4,,1,3
279,6,,0,2
280,4,,1,3
281,4,,1,3
282,4,,1,3
283,4,,1,3
284,4,,1,3
285,3,,0,2
285,4,,1,3
286,3,,0,2
286,4,,1,3
290,4,,1,3
291,4,,1,3
293,4,,1,3
294,4,,1,3
295,4,,1,3
296,4,,1,3
297,4,,1,3
298,4,,1,3
299,4,,1,3
300,3,,0,2
300,4,,1,3
301,3,,0,2
301,4,,1,3
302,3,,0,2
302,4,,1,3
303,4,,1,3
304,4,,1,3
305,4,,1,3
306,4,,1,3
307,4,,1,3
308,4,,1,3
309,4,,1,3
310,4,,1,3
311,5,,1,3
312,5,,1,3
313,4,,1,3
314,3,,0,2
314,4,,1,3
315,4,,1,3
316,4,,1,3
317,4,,1,3
318,4,,1,3
319,4,,1,3
320,4,,1,3
