pokemon_color_id,local_language_id,name
1,1,くろいろ
1,3,검정
1,4,黑色
1,5,Noir
1,6,Schwarz
1,7,Negro
1,8,Nero
1,9,Black
1,11,黒色
1,12,黑色
2,1,あおいろ
2,3,파랑
2,4,藍色
2,5,Bleu
2,6,Blau
2,7,Azul
2,8,Blu
2,9,Blue
2,11,青色
2,12,蓝色
3,1,ちゃいろ
3,3,갈색
3,4,褐色
3,5,Brun
3,6,Braun
3,7,Marrón
3,8,Marrone
3,9,Brown
3,11,茶色
3,12,褐色
4,1,はいいろ
4,3,회색
4,4,灰色
4,5,Gris
4,6,Grau
4,7,Gris
4,8,Grigio
4,9,Gray
4,11,灰色
4,12,灰色
5,1,みどりいろ
5,3,초록
5,4,綠色
5,5,Vert
5,6,Grün
5,7,Verde
5,8,Verde
5,9,Green
5,11,緑色
5,12,绿色
6,1,ももいろ
6,3,담홍
6,4,粉紅色
6,5,Rose
6,6,Rosa
6,7,Rosa
6,8,Rosa
6,9,Pink
6,11,桃色
6,12,粉红色
7,1,むらさきいろ
7,3,보라
7,4,紫色
7,5,Violet
7,6,Violett
7,7,Morado
7,8,Viola
7,9,Purple
7,11,紫色
7,12,紫色
8,1,あかいろ
8,3,빨강
8,4,紅色
8,5,Rouge
8,6,Rot
8,7,Rojo
8,8,Rosso
8,9,Red
8,11,赤色
8,12,红色
9,1,しろいろ
9,3,하양
9,4,白色
9,5,Blanc
9,6,Weiß
9,7,Blanco
9,8,Bianco
9,9,White
9,11,白色
9,12,白色
10,1,きいろ
10,3,노랑
10,4,黃色
10,5,Jaune
10,6,Gelb
10,7,Amarillo
10,8,Giallo
10,9,Yellow
10,11,黄色
10,12,黄色
