species_id,pokemon_id,pokedex_id,pokedex_number
1,1,1,1
1,1,2,1
1,1,3,226
1,1,7,231
1,1,12,80
1,1,26,1
1,1,28,68
1,1,33,164
2,2,1,2
2,2,2,2
2,2,3,227
2,2,7,232
2,2,12,81
2,2,26,2
2,2,28,69
2,2,33,165
3,3,1,3
3,3,2,3
3,3,3,228
3,3,7,233
3,3,12,82
3,3,26,3
3,3,28,70
3,3,33,166
4,4,1,4
4,4,2,4
4,4,3,229
4,4,7,234
4,4,11,109
4,4,12,83
4,4,26,4
4,4,27,378
4,4,33,167
5,5,1,5
5,5,2,5
5,5,3,230
5,5,7,235
5,5,11,110
5,5,12,84
5,5,26,5
5,5,27,379
5,5,33,168
6,6,1,6
6,6,2,6
6,6,3,231
6,6,7,236
6,6,11,111
6,6,12,85
6,6,26,6
6,6,27,380
6,6,33,169
7,7,1,7
7,7,2,7
7,7,3,232
7,7,7,237
7,7,12,86
7,7,26,7
7,7,28,71
7,7,33,170
8,8,1,8
8,8,2,8
8,8,3,233
8,8,7,238
8,8,12,87
8,8,26,8
8,8,28,72
8,8,33,171
9,9,1,9
9,9,2,9
9,9,3,234
9,9,7,239
9,9,12,88
9,9,26,9
9,9,28,73
9,9,33,172
10,10,1,10
10,10,2,10
10,10,3,24
10,10,7,24
10,10,12,23
10,10,16,17
10,10,17,17
10,10,18,8
10,10,21,17
10,10,22,17
10,10,23,8
10,10,26,10
10,10,27,13
11,11,1,11
11,11,2,11
11,11,3,25
11,11,7,25
11,11,12,24
11,11,16,18
11,11,17,18
11,11,18,9
11,11,21,18
11,11,22,18
11,11,23,9
11,11,26,11
11,11,27,14
12,12,1,12
12,12,2,12
12,12,3,26
12,12,7,26
12,12,12,25
12,12,16,19
12,12,17,19
12,12,18,10
12,12,21,19
12,12,22,19
12,12,23,10
12,12,26,12
12,12,27,15
13,13,1,13
13,13,2,13
13,13,3,27
13,13,7,27
13,13,12,26
13,13,26,13
14,14,1,14
14,14,2,14
14,14,3,28
14,14,7,28
14,14,12,27
14,14,26,14
15,15,1,15
15,15,2,15
15,15,3,29
15,15,7,29
15,15,11,177
15,15,12,28
15,15,26,15
16,16,1,16
16,16,2,16
16,16,3,10
16,16,7,10
16,16,12,17
16,16,26,16
17,17,1,17
17,17,2,17
17,17,3,11
17,17,7,11
17,17,12,18
17,17,26,17
18,18,1,18
18,18,2,18
18,18,3,12
18,18,7,12
