id,evolved_species_id,evolution_trigger_id,version_group_id,is_default,trigger_item_id,minimum_level,gender_id,location_id,held_item_id,time_of_day,known_move_id,known_move_type_id,minimum_happiness,minimum_beauty,minimum_affection,relative_physical_stats,party_species_id,party_type_id,trade_species_id,needs_overworld_rain,turn_upside_down,needs_multiplayer,near_special_rock,region_id,base_form_id,evolved_form_id,used_move_id,minimum_move_count,minimum_steps,minimum_damage_taken
1,2,1,1,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
2,3,1,1,1,,32,,,,,,,,,,,,,,0,0,0,0,,,,,,,
3,5,1,1,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
4,6,1,1,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
5,8,1,1,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
6,9,1,1,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
7,11,1,1,1,,7,,,,,,,,,,,,,,0,0,0,0,,,,,,,
8,12,1,1,1,,10,,,,,,,,,,,,,,0,0,0,0,,,,,,,
9,14,1,1,1,,7,,,,,,,,,,,,,,0,0,0,0,,,,,,,
10,15,1,1,1,,10,,,,,,,,,,,,,,0,0,0,0,,,,,,,
11,17,1,1,1,,18,,,,,,,,,,,,,,0,0,0,0,,,,,,,
12,18,1,1,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
13,20,1,1,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
14,22,1,1,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
15,24,1,1,1,,22,,,,,,,,,,,,,,0,0,0,0,,,,,,,
16,25,1,1,1,,,,,,,,,220,,,,,,,0,0,0,0,,,,,,,
17,26,3,1,1,83,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
18,28,1,1,1,,22,,,,,,,,,,,,,,0,0,0,0,,,,,,,
19,30,1,1,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
20,31,3,1,1,81,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
21,33,1,1,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
22,34,3,1,1,81,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
23,35,1,1,1,,,,,,,,,160,,,,,,,0,0,0,0,,,,,,,
24,36,3,1,1,81,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
25,38,3,1,1,82,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
26,39,1,1,1,,,,,,,,,160,,,,,,,0,0,0,0,,,,,,,
27,40,3,1,1,81,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
28,42,1,1,1,,22,,,,,,,,,,,,,,0,0,0,0,,,,,,,
29,44,1,1,1,,21,,,,,,,,,,,,,,0,0,0,0,,,,,,,
30,45,3,1,1,85,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
31,47,1,1,1,,24,,,,,,,,,,,,,,0,0,0,0,,,,,,,
32,49,1,1,1,,31,,,,,,,,,,,,,,0,0,0,0,,,,,,,
33,51,1,1,1,,26,,,,,,,,,,,,,,0,0,0,0,,,,,,,
34,53,1,1,1,,28,,,,,,,,,,,,,,0,0,0,0,,,,,,,
35,55,1,1,1,,33,,,,,,,,,,,,,,0,0,0,0,,,,,,,
36,57,1,1,1,,28,,,,,,,,,,,,,,0,0,0,0,,,,,,,
37,59,3,1,1,82,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
38,61,1,1,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
39,62,3,1,1,84,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
40,64,1,1,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
41,65,2,1,1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
42,67,1,1,1,,28,,,,,,,,,,,,,,0,0,0,0,,,,,,,
43,68,2,1,1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
44,70,1,1,1,,21,,,,,,,,,,,,,,0,0,0,0,,,,,,,
45,71,3,1,1,85,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
46,73,1,1,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
47,75,1,1,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
48,76,2,1,1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
49,78,1,1,1,,40,,,,,,,,,,,,,,0,0,0,0,,,,,,,
