"pokemon_id","specie_id","form_id","evolution_id","is_alternative_evolution"
2,2,2,1,0
3,3,3,2,0
5,5,5,3,0
6,6,6,4,0
8,8,8,5,0
9,9,9,6,0
11,11,11,7,0
12,12,12,8,0
14,14,14,9,0
15,15,15,10,0
17,17,17,11,0
18,18,18,12,0
20,20,20,13,0
22,22,22,14,0
24,24,24,15,0
25,25,25,16,0
26,26,26,17,0
28,28,28,18,0
30,30,30,19,0
31,31,31,20,0
33,33,33,21,0
34,34,34,22,0
35,35,35,23,0
36,36,36,24,0
38,38,38,25,0
39,39,39,26,0
40,40,40,27,0
42,42,42,28,0
44,44,44,29,0
45,45,45,30,0
47,47,47,31,0
49,49,49,32,0
51,51,51,33,0
53,53,53,34,0
55,55,55,35,0
57,57,57,36,0
59,59,59,37,0
61,61,61,38,0
62,62,62,39,0
64,64,64,40,0
65,65,65,41,0
67,67,67,42,0
68,68,68,43,0
70,70,70,44,0
71,71,71,45,0
73,73,73,46,0
75,75,75,47,0
76,76,76,48,0
78,78,78,49,0
80,80,80,50,0
82,82,82,51,0
85,85,85,52,0
87,87,87,53,0
89,89,89,54,0
91,91,91,55,0
93,93,93,56,0
94,94,94,57,0
97,97,97,58,0
99,99,99,59,0
101,101,101,60,0
103,103,103,61,0
105,105,105,62,0
106,106,106,63,0
107,107,107,64,0
110,110,110,65,0
112,112,112,66,0
113,113,113,67,0
117,117,117,68,0
119,119,119,69,0
121,121,121,70,0
122,122,122,71,0
124,124,124,72,0
125,125,125,73,0
126,126,126,74,0
130,130,130,75,0
134,134,134,76,0
135,135,135,77,0
136,136,136,78,0
139,139,139,79,0
141,141,141,80,0
143,143,143,81,0
148,148,148,82,0
149,149,149,83,0
153,153,153,84,0
154,154,154,85,0
156,156,156,86,0
157,157,157,87,0
159,159,159,88,0
160,160,160,89,0
162,162,162,90,0
164,164,164,91,0
166,166,166,92,0
168,168,168,93,0
169,169,169,94,0
171,171,171,95,0
176,176,176,96,0
178,178,178,97,0
180,180,180,98,0
181,181,181,99,0
182,182,182,100,0
183,183,183,101,0
184,184,184,102,0
185,185,185,103,0
186,186,186,104,0
188,188,188,105,0
189,189,189,106,0
192,192,192,107,0
195,195,195,108,0
196,196,196,109,0
197,197,197,110,0
199,199,199,111,0
202,202,202,112,0
205,205,205,113,0
208,208,208,114,0
210,210,210,115,0
212,212,212,116,0
217,217,217,117,0
219,219,219,118,0
221,221,221,119,0
224,224,224,120,0
226,226,226,121,0
229,229,229,122,0
230,230,230,123,0
232,232,232,124,0
233,233,233,125,0
237,237,237,126,0
242,242,242,127,0
247,247,247,128,0
248,248,248,129,0
253,253,253,130,0
254,254,254,131,0
256,256,256,132,0
257,257,257,133,0
259,259,259,134,0
260,260,260,135,0
262,262,262,136,0
264,264,264,137,0
266,266,266,138,0
267,267,267,139,0
268,268,268,140,0
269,269,269,141,0
271,271,271,142,0
272,272,272,143,0
274,274,274,144,0
275,275,275,145,0
277,277,277,146,0
279,279,279,147,0
281,281,281,148,0
282,282,282,149,0
284,284,284,150,0
286,286,286,151,0
288,288,288,152,0
289,289,289,153,0
291,291,291,154,0
292,292,292,155,0
294,294,294,156,0
295,295,295,157,0
297,297,297,158,0
301,301,301,159,0
305,305,305,160,0
306,306,306,161,0
308,308,308,162,0
310,310,310,163,0
315,315,315,164,0
317,317,317,165,0
319,319,319,166,0
321,321,321,167,0
323,323,323,168,0
326,326,326,169,0
329,329,329,170,0
330,330,330,171,0
332,332,332,172,0
334,334,334,173,0
340,340,340,174,0
342,342,342,175,0
344,344,344,176,0
346,346,346,177,0
348,348,348,178,0
350,350,350,179,0
350,350,350,321,0
350,350,350,371,0
354,354,354,180,0
356,356,356,181,0
358,358,358,182,0
362,362,362,183,0
364,364,364,184,0
365,365,365,185,0
367,367,367,186,0
368,368,368,187,0
372,372,372,188,0
373,373,373,189,0
375,375,375,190,0
376,376,376,191,0
388,388,388,192,0
389,389,389,193,0
391,391,391,194,0
392,392,392,195,0
394,394,394,196,0
395,395,395,197,0
397,397,397,198,0
398,398,398,199,0
400,400,400,200,0
402,402,402,201,0
404,404,404,202,0
405,405,405,203,0
407,407,407,204,0
409,409,409,205,0
411,411,411,206,0
413,413,0,207,0
414,414,414,208,1
416,416,416,209,0
419,419,419,210,0
421,421,421,211,1
423,423,0,212,0
424,424,424,213,0
426,426,426,214,0
428,428,428,215,0
429,429,429,216,0
430,430,430,217,0
432,432,432,218,0
435,435,435,219,0
437,437,437,220,0
444,444,444,221,0
445,445,445,222,0
448,448,448,223,0
450,450,450,224,0
452,452,452,225,0
454,454,454,226,0
457,457,457,227,0
460,460,460,228,0
461,461,461,229,0
462,462,462,230,0
462,462,462,322,0
462,462,462,362,0
462,462,462,366,0
462,462,462,406,0
462,462,462,513,0
462,462,462,514,0
463,463,463,231,0
464,464,464,232,0
465,465,465,233,0
466,466,466,234,0
467,467,467,235,0
468,468,468,236,0
469,469,469,237,0
470,470,470,238,0
470,470,470,324,0
470,470,470,363,0
470,470,470,368,0
470,470,470,407,0
470,470,470,516,0
471,471,471,239,0
471,471,471,325,0
471,471,471,364,0
471,471,471,369,0
471,471,471,408,0
471,471,471,512,0
472,472,472,240,0
473,473,473,241,0
474,474,474,242,0
475,475,475,243,0
476,476,476,244,0
476,476,476,323,0
476,476,476,365,0
476,476,476,370,0
477,477,477,245,0
478,478,478,246,0
496,496,496,247,0
497,497,497,248,0
499,499,499,249,0
500,500,500,250,0
502,502,502,251,0
503,503,503,252,0
505,505,505,253,0
507,507,507,254,0
508,508,508,255,0
510,510,510,256,0
512,512,512,257,0
514,514,514,258,0
516,516,516,259,0
518,518,518,260,0
520,520,520,261,0
521,521,521,262,0
523,523,523,263,0
525,525,525,264,0
526,526,526,265,0
528,528,528,266,0
530,530,530,267,0
533,533,533,268,0
534,534,534,269,0
536,536,536,270,0
537,537,537,271,0
541,541,541,272,0
542,542,542,273,0
544,544,544,274,0
545,545,545,275,0
547,547,547,276,0
549,549,549,277,0
552,552,552,278,0
553,553,553,279,0
555,555,555,280,0
558,558,558,281,0
560,560,560,282,0
563,563,563,283,0
565,565,565,284,0
567,567,567,285,0
569,569,569,286,0
571,571,571,287,0
573,573,573,288,0
575,575,575,289,0
576,576,576,290,0
578,578,578,291,0
579,579,579,292,0
581,581,581,293,0
583,583,583,294,0
584,584,584,295,0
586,586,0,296,1
589,589,589,297,0
591,591,591,298,0
593,593,593,299,0
596,596,596,300,0
598,598,598,301,0
600,600,600,302,0
601,601,601,303,0
603,603,603,304,0
604,604,604,305,0
606,606,606,306,0
608,608,608,307,0
609,609,609,308,0
611,611,611,309,0
612,612,612,310,0
614,614,614,311,0
617,617,617,312,0
620,620,620,313,0
623,623,623,314,0
625,625,625,315,0
628,628,628,316,0
630,630,630,317,0
634,634,634,318,0
635,635,635,319,0
637,637,637,320,0
651,651,651,334,0
652,652,652,336,0
654,654,654,331,0
655,655,655,333,0
657,657,657,337,0
658,658,658,338,0
660,660,660,345,0
662,662,662,328,0
663,663,663,330,0
665,665,0,342,0
666,666,0,341,0
668,668,668,356,0
670,670,670,346,0
671,671,671,347,0
673,673,673,357,0
675,675,675,349,0
678,678,678,360,0
680,680,680,339,0
681,681,681,348,0
683,683,683,327,0
685,685,685,350,0
687,687,687,332,0
689,689,689,343,0
691,691,691,351,0
693,693,693,335,0
695,695,695,355,0
697,697,697,352,0
699,699,699,353,0
700,700,700,361,0
700,700,700,409,0
705,705,705,340,0
706,706,706,358,0
709,709,709,329,0
711,711,711,344,0
713,713,713,354,0
715,715,715,359,0
723,723,723,373,0
724,724,724,374,0
726,726,726,375,0
727,727,727,376,0
729,729,729,377,0
730,730,730,378,0
732,732,732,379,0
733,733,733,380,0
735,735,735,381,0
737,737,737,382,0
738,738,738,383,0
738,738,738,410,0
740,740,740,384,0
743,743,743,385,0
745,745,745,386,0
748,748,748,388,0
750,750,750,389,0
752,752,752,390,0
754,754,754,391,0
756,756,756,392,0
758,758,758,393,0
760,760,760,394,0
762,762,762,395,0
763,763,763,396,0
768,768,768,397,0
770,770,770,398,0
773,773,0,399,0
783,783,783,400,0
784,784,784,401,0
790,790,790,402,0
791,791,791,403,0
792,792,792,404,0
804,804,804,405,0
811,811,811,411,0
812,812,812,412,0
814,814,814,413,0
815,815,815,414,0
817,817,817,415,0
818,818,818,416,0
820,820,820,417,0
822,822,822,418,0
823,823,823,419,0
825,825,825,420,0
826,826,826,421,0
828,828,828,422,0
830,830,830,423,0
832,832,832,424,0
834,834,834,425,0
836,836,836,426,0
838,838,838,427,0
839,839,839,428,0
841,841,841,429,0
842,842,842,430,0
844,844,844,431,0
847,847,847,432,0
849,849,849,433,0
851,851,851,434,0
853,853,853,435,0
855,855,855,436,0
855,855,10345,515,1
857,857,857,437,0
858,858,858,438,0
860,860,860,439,0
861,861,861,440,0
862,862,862,457,0
863,863,863,451,0
864,864,864,456,0
865,865,865,454,0
866,866,866,455,0
867,867,867,459,0
869,869,0,441,0
873,873,873,442,0
879,879,879,443,0
886,886,886,444,0
887,887,887,445,0
892,892,892,446,0
899,899,899,462,0
900,900,900,463,0
901,901,901,464,0
902,902,902,465,0
903,903,903,466,0
904,904,904,467,0
907,907,907,468,0
908,908,908,469,0
910,910,910,470,0
911,911,911,471,0
913,913,913,472,0
914,914,914,473,0
916,916,916,474,0
918,918,918,475,0
920,920,920,476,0
922,922,922,477,0
923,923,923,478,0
925,925,925,479,0
927,927,927,480,0
929,929,929,481,0
930,930,930,482,0
933,933,933,483,0
934,934,934,484,0
936,936,936,485,0
937,937,937,486,0
939,939,939,487,0
941,941,941,488,0
943,943,943,489,0
945,945,945,490,0
947,947,947,491,0
949,949,949,492,0
952,952,952,493,0
954,954,954,494,0
956,956,956,495,0
958,958,958,496,0
959,959,959,497,0
961,961,961,498,0
964,964,964,499,0
966,966,966,500,0
970,970,970,501,0
972,972,972,502,0
975,975,975,503,0
979,979,979,504,0
980,980,980,505,0
981,981,981,506,0
982,982,982,507,0
983,983,983,508,0
997,997,997,509,0
998,998,998,510,0
1000,1000,1000,511,0
10092,20,10194,461,1
10100,26,10202,17,1
10102,28,10204,448,1
10104,38,10206,449,1
10108,53,10210,450,1
