pokemon_form_id,version_id,language_id,flavor_text
386,7,9,"The DNA of a space virus underwent a
sudden mutation upon exposure to a
laser beam and resulted in DEOXYS.The crystalline organ on this POKéMON’s
chest appears to be its brain."
386,8,9,"DEOXYS emerged from a virus that came
from space. It is highly intelligent and
wields psychokinetic powers.This POKéMON shoots lasers from the
crystalline organ on its chest."
550,29,9,"Savage, violent Pokémon, red and blue Basculin
are always fighting each other over territory."
550,30,9,"When a school of Basculin appears in a lake,
everything else disappears, except for Corphish
and Crawdaunt. That’s how violent Basculin are."
741,27,9,"It beats its wings together to create fire.
As it moves in the steps of its beautiful dance,
it bathes opponents in intense flames."
741,28,9,"This Oricorio has sipped red nectar. Its
passionate dance moves cause its enemies
to combust in both body and mind."
741,29,9,"It wins the hearts of its enemies with its
passionate dancing and then uses the opening
it creates to burn them up with blazing flames."
741,30,9,"This Oricorio has drunk red nectar. If its Trainer
gives the wrong order, this passionate Pokémon
becomes fiercely angry."
10031,10,9,"This DEOXYS has transformed into its
aggressive guise. It can fool enemies by
altering its appearance."
10032,11,9,"When it changes form, an aurora appears.
It absorbs attacks by altering its
cellular structure."
10033,9,9,"A POKéMON that mutated from an
extraterrestrial virus exposed to a laser
beam. Its body is configured for superior
agility and speed."
10066,29,9,"Even Basculin, which devours everything it can
with its huge jaws, is nothing more than food to
organisms stronger than itself."
10066,30,9,"Some people call it “the thug of the lake.”
Whether the differences in color are meaningful
is not yet known."
10133,31,9,"In order to support its flower, which has grown
larger due to Mega Evolution, its back and legs
have become stronger."
10133,32,9,"In order to support its flower, which has grown
larger due to Mega Evolution, its back and legs
have become stronger."
10134,31,9,"The overwhelming power that fills its entire
body causes it to turn black and creates intense
blue flames."
10134,32,9,"The overwhelming power that fills its entire
body causes it to turn black and creates intense
blue flames."
10135,31,9,"Its bond with its Trainer is the source of its
power. It boasts speed and maneuverability
greater than that of a jet fighter."
10135,32,9,"Its bond with its Trainer is the source of its
power. It boasts speed and maneuverability
greater than that of a jet fighter."
10136,31,9,"The cannon on its back is as powerful as a tank
gun. Its tough legs and back enable it to
withstand the recoil from firing the cannon."
10136,32,9,"The cannon on its back is as powerful as a tank
gun. Its tough legs and back enable it to
withstand the recoil from firing the cannon."
10137,27,9,"As a result of Mega Evolution, its power has
been entirely converted into psychic energy, and
it has lost all strength in its muscles."
10137,28,9,"Its hidden psychic power has been unleashed. A
glance at someone gives it knowledge of the
course of that person’s life, from birth to
death."
10137,29,9,"It sends out psychic power from the red organ on
its forehead to foresee its opponents’ every
move."
10137,30,9,"Having traded away its muscles, Alakazam’s true
power has been unleashed. With its psychic
powers, it can foresee all things."
10137,31,9,"It’s adept at precognition. When attacks
completely miss Alakazam, that’s because it’s
seeing the future."
10137,32,9,"It’s adept at precognition. When attacks
completely miss Alakazam, that’s because it’s
seeing the future."
10138,27,9,"Gengar’s relationships are warped. It has no
interest in opponents unless it perceives them
as prey."
10138,28,9,"The energy of Mega Evolution awakened it. It
sinks into another dimension, where it keeps a
patient watch for its chance to attack."
10138,29,9,"It tries to take the lives of anyone and
everyone. It will even try to curse the Trainer
who is its master!"
10138,30,9,"Mega Evolution has made it possible for Gengar
to access other dimensions. Its entire body is
brimming with strange power."
10138,31,9,"It can pass through other dimensions and appear
anywhere. It caused a stir one time when it
stuck just one leg out of a wall."
10138,32,9,"It can pass through other dimensions and appear
anywhere. It caused a stir one time when it
stuck just one leg out of a wall."
10139,27,9,"Mega Kangaskhan’s strength derives from the
mother’s happiness about her child’s growth.
Watching it grow up keeps her spirits high."
10139,28,9,"Thanks to Mega Evolution, its child grows. But
as the child is good only at fighting and
nothing else, its mother feels uneasy about its
future."
10139,29,9,"The explosive energy the child is bathed in
causes temporary growth. The mother is beside
herself with worry about it."
10139,30,9,"When the mother sees the back of her
Mega-Evolved child, it makes her think of the
day when her child will inevitably leave her."
10139,31,9,"Its child has grown rapidly, thanks to the
energy of Mega Evolution. Mother and child show
off their harmonious teamwork in battle."
10139,32,9,"Its child has grown rapidly, thanks to the
energy of Mega Evolution. Mother and child show
off their harmonious teamwork in battle."
10140,27,9,"The influence of Mega Evolution leaves it in a
state of constant excitement. It pierces enemies
with its two large horns before shredding them."
10140,28,9,"Bathed in the energy of Mega Evolution, its
wings become unusually developed. It flies at
speeds of approximately 30 mph."
10140,29,9,"After Mega Evolution, it becomes able to fly.
Perhaps because it’s so happy, it rarely touches
the ground."
10140,30,9,"It zips around at blistering speeds, looking for
an opening to skewer its opponent on its giant
pincers."
10140,31,9,"With its vaunted horns, it can lift an opponent
10 times heavier than itself and fly about with
ease."
10140,32,9,"With its vaunted horns, it can lift an opponent
10 times heavier than itself and fly about with
ease."
10141,27,9,"Mega Evolution also affects its brain, leaving
no other function except its destructive
instinct to burn everything to cinders."
10141,28,9,"It jets water from the orifices on its sides,
streaking above the water surface at supersonic
speed."
10141,29,9,"Mega Evolution places a burden on its body. The
stress causes it to become all the more
ferocious."
