pokemon_form_id,local_language_id,form_name,pokemon_name
201,1,Ａ,
201,3,A,
201,5,A,Zarbi A
201,6,A,
201,7,A,
201,8,A,
201,9,A,Unown A
386,1,ノーマルフォルム,
386,3,노말폼,
386,5,Forme Normale,Deoxys Normal
386,6,Normalform,
386,7,Forma Normal,
386,8,Forma Normale,
386,9,Normal Forme,Normal Deoxys
412,1,くさきのミノ,
412,3,초목도롱,
412,5,Cape Plante,Cheniti Plante
412,6,Pflanzenumhang,
412,7,Tronco Planta,
412,8,Manto Pianta,
412,9,Plant Cloak,Plant Burmy
413,1,くさきのミノ,
413,3,초목도롱,
413,5,Cape Plante,Cheniselle Plante
413,6,Pflanzenumhang,
413,7,Tronco Planta,
413,8,Manto Pianta,
413,9,Plant Cloak,Plant Wormadam
421,1,ネガフォルム,
421,3,네거폼,
421,5,Temps Couvert,Ceriflor Couvert
421,6,Wolkenform,
421,7,Forma Encapotado,
421,8,Forma Nuvola,
421,9,Overcast Form,Overcast Cherrim
422,1,にしのうみ,
422,3,서쪽바다,
422,5,Mer Occident,Sancoki Occident
422,6,Westliches Meer,
422,7,Mar Oeste,
422,8,Mare Ovest,
422,9,West Sea,West Shellos
423,1,にしのうみ,
423,3,서쪽바다,
423,5,Mer Occident,Tritosor Occident
423,6,Westliches Meer,
423,7,Mar Oeste,
423,8,Mare Ovest,
423,9,West Sea,West Gastrodon
487,1,アナザーフォルム,
487,3,어나더폼,
487,5,Forme Alternative,Giratina Alternative
487,6,Wandelform,
487,7,Forma Modificada,
487,8,Forma Alterata,
487,9,Altered Forme,Altered Giratina
492,1,ランドフォルム,
492,3,랜드폼,
492,5,Forme Terrestre,Shaymin Terrestre
492,6,Landform,
492,7,Forma Tierra,
492,8,Forma Terra,
492,9,Land Forme,Land Shaymin
493,1,ノーマルタイプ,
493,5,Normal,Arceus Normal
493,6,Normal,
493,7,Tipo Normal,
493,8,Tipo Normale,
493,9,Normal Type,Normal Arceus
550,1,あかすじのすがた,
550,3,적색근의 모습,
550,5,Motif Rouge,Bargantua Rouge
550,6,Rotlinige Form,
550,7,Forma Raya Roja,
550,8,Forma Linearossa,
550,9,Red-Striped Form,Red-Striped Basculin
555,1,ノーマルモード,
555,3,노말모드,
555,5,Mode Normal,Darumacho Normal
555,6,Normalmodus,
555,7,Modo Normal,
555,8,Forma Normalità,
555,9,Standard Mode,Standard Darmanitan
585,1,はるのすがた,
585,3,봄의 모습,
585,5,Forme Printemps,Vivaldaim Printemps
585,6,Frühlingsform,
585,7,Forma Primavera,
585,8,Forma Primavera,
585,9,Spring Form,Spring Deerling
586,1,はるのすがた,
586,3,봄의 모습,
586,5,Forme Printemps,Haydaim Printemps
586,6,Frühlingsform,
586,7,Forma Primavera,
586,8,Forma Primavera,
586,9,Spring Form,Spring Sawsbuck
641,1,けしんフォルム,
641,3,화신폼,
641,5,Forme Avatar,Boréas Avatar
641,6,Inkarnationsform,
641,7,Forma Avatar,
641,8,Forma Incarnazione,
641,9,Incarnate Forme,Incarnate Tornadus
642,1,けしんフォルム,
642,3,화신폼,
642,5,Forme Avatar,Fulguris Avatar
642,6,Inkarnationsform,
642,7,Forma Avatar,
642,8,Forma Incarnazione,
642,9,Incarnate Forme,Incarnate Thundurus
645,1,けしんフォルム,
645,3,화신폼,
645,5,Forme Avatar,Démétéros Avatar
645,6,Inkarnationsform,
645,7,Forma Avatar,
645,8,Forma Incarnazione,
645,9,Incarnate Forme,Incarnate Landorus
647,1,いつものすがた,
647,3,평상시 모습,
647,5,Aspect Normal,Keldeo Normal
647,6,Standardform,
647,7,Forma Habitual,
647,8,Forma Normale,
647,9,Ordinary Form,Ordinary Keldeo
648,1,ボイスフォルム,
648,3,보이스폼,
648,5,Forme Chant,Meloetta Chant
648,6,Gesangsform,
648,7,Forma Lírica,
648,8,Forma Canto,
648,9,Aria Forme,Aria Meloetta
666,1,はなぞののもよう,
666,3,화원의 모양,
666,5,Motif Floraison,Prismillon Floraison
666,6,Blumenmeermuster,
666,7,Motivo Floral,
666,8,Motivo Giardinfiore,
666,9,Meadow Pattern,Meadow Vivillon
669,1,あかいはな,
669,3,빨간 꽃,
669,5,Fleur Rouge,Flabébé Rouge
669,6,Rotblütler,
669,7,Flor Roja,
669,8,Fiore Rosso,
669,9,Red Flower,Red Flabébé
670,1,あかいはな,
670,3,빨간 꽃,
670,5,Fleur Rouge,Floette Rouge
670,6,Rotblütler,
670,7,Flor Roja,
670,8,Fiore Rosso,
670,9,Red Flower,Red Floette
671,1,あかいはな,
671,3,빨간 꽃,
671,5,Fleur Rouge,Florges Rouge
671,6,Rotblütler,
671,7,Flor Roja,
671,8,Fiore Rosso,
671,9,Red Flower,Red Florges
676,1,やせいのすがた,
676,3,야생의 모습,
676,5,Forme Sauvage,Couafarel Sauvage
676,6,Zottelform,
676,7,Forma Salvaje,
676,8,Forma Selvatica,
676,9,Natural Form,Natural Furfrou
678,1,オスのすがた,
678,3,수컷의 모습,
678,5,Mâle,Mistigrix Mâle
678,6,Männlich,
678,7,Macho,
678,8,Maschio,
678,9,Male,Male Meowstic
681,1,シールドフォルム,
681,3,실드폼,
681,5,Forme Parade,Exagide Parade
681,6,Schildform,
681,7,Forma Escudo,
681,8,Forma Scudo,
681,9,Shield Forme,Shield Aegislash
710,1,ふつうのサイズ,
710,3,보통 사이즈,
710,5,Taille Normale,Pitrouille Normal
710,6,Größe M,
710,7,Tamaño Normal,
710,8,Normale,
710,9,Average Size,Average Pumpkaboo
711,1,ふつうのサイズ,
711,3,보통 사이즈,
711,5,Taille Normale,Banshitrouye Normal
711,6,Größe M,
711,7,Tamaño Normal,
711,8,Normale,
711,9,Average Size,Average Gourgeist
716,1,アクティブモード,
716,3,액티브모드,
716,5,Mode Déchaîné,Xerneas Déchaîné
716,6,Aktiv-Modus,
716,7,Modo Activo,
716,8,Modo Attivo,
716,9,Active Mode,Active Xerneas
10001,1,Ｂ,
10001,3,B,
10001,5,B,Zarbi B
10001,6,B,
10001,7,B,
10001,8,B,
10001,9,B,Unown B
10002,1,Ｃ,
10002,3,C,
10002,5,C,Zarbi C
10002,6,C,
10002,7,C,
10002,8,C,
10002,9,C,Unown C
10003,1,Ｄ,
10003,3,D,
10003,5,D,Zarbi D
10003,6,D,
10003,7,D,
10003,8,D,
10003,9,D,Unown D
10004,1,Ｅ,
10004,3,E,
10004,5,E,Zarbi E
10004,6,E,
10004,7,E,
10004,8,E,
10004,9,E,Unown E
10005,1,Ｆ,
10005,3,F,
10005,5,F,Zarbi F
10005,6,F,
10005,7,F,
10005,8,F,
10005,9,F,Unown F
10006,1,Ｇ,
10006,3,G,
10006,5,G,Zarbi G
10006,6,G,
10006,7,G,
10006,8,G,
10006,9,G,Unown G
10007,1,Ｈ,
10007,3,H,
10007,5,H,Zarbi H
10007,6,H,
10007,7,H,
10007,8,H,
10007,9,H,Unown H
10008,1,Ｉ,
10008,3,I,
10008,5,I,Zarbi I
10008,6,I,
10008,7,I,
10008,8,I,
10008,9,I,Unown I
10009,1,Ｊ,
10009,3,J,
10009,5,J,Zarbi J
10009,6,J,
10009,7,J,
10009,8,J,
10009,9,J,Unown J
10010,1,Ｋ,
10010,3,K,
10010,5,K,Zarbi K
10010,6,K,
10010,7,K,
10010,8,K,
10010,9,K,Unown K
10011,1,Ｌ,
10011,3,L,
10011,5,L,Zarbi L
10011,6,L,
10011,7,L,
10011,8,L,
10011,9,L,Unown L
10012,1,Ｍ,
10012,3,M,
10012,5,M,Zarbi M
10012,6,M,
10012,7,M,
10012,8,M,
10012,9,M,Unown M
10013,1,Ｎ,
10013,3,N,
10013,5,N,Zarbi N
10013,6,N,
10013,7,N,
10013,8,N,
10013,9,N,Unown N
10014,1,Ｏ,
10014,3,O,
10014,5,O,Zarbi O
10014,6,O,
10014,7,O,
10014,8,O,
10014,9,O,Unown O
10015,1,Ｐ,
10015,3,P,
10015,5,P,Zarbi P
10015,6,P,
10015,7,P,
10015,8,P,
10015,9,P,Unown P
10016,1,Ｑ,
10016,3,Q,
10016,5,Q,Zarbi Q
10016,6,Q,
10016,7,Q,
10016,8,Q,
10016,9,Q,Unown Q
10017,1,Ｒ,
10017,3,R,
10017,5,R,Zarbi R
10017,6,R,
10017,7,R,
10017,8,R,
10017,9,R,Unown R
10018,1,Ｓ,
10018,3,S,
10018,5,S,Zarbi S
10018,6,S,
10018,7,S,
10018,8,S,
10018,9,S,Unown S
10019,1,Ｔ,
10019,3,T,
10019,5,T,Zarbi T
10019,6,T,
10019,7,T,
10019,8,T,
10019,9,T,Unown T
10020,1,Ｕ,
10020,3,U,
10020,5,U,Zarbi U
10020,6,U,
10020,7,U,
10020,8,U,
10020,9,U,Unown U
10021,1,Ｖ,
10021,3,V,
10021,5,V,Zarbi V
10021,6,V,
10021,7,V,
10021,8,V,
10021,9,V,Unown V
10022,1,Ｗ,
10022,3,W,
10022,5,W,Zarbi W
10022,6,W,
10022,7,W,
10022,8,W,
