pokemon_form_id,type_id,slot
10028,10,1
10029,11,1
10030,15,1
10036,7,1
10036,5,2
10037,7,1
10037,9,2
10041,7,1
10042,17,1
10043,16,1
10044,13,1
10045,2,1
10046,10,1
10047,3,1
10048,8,1
10049,12,1
10050,5,1
10051,15,1
10052,4,1
10053,14,1
10054,6,1
10055,9,1
10056,11,1
10057,10001,1
10058,13,1
10058,10,2
10059,13,1
10059,11,2
10060,13,1
10060,15,2
10061,13,1
10061,3,2
10062,13,1
10062,12,2
10064,12,1
10064,3,2
10067,10,1
10067,14,2
10074,1,1
10074,2,2
10085,18,1
10180,5,1
10180,10,2
10188,14,1
10188,17,2
10193,17,1
10193,1,2
10194,17,1
10194,1,2
10195,17,1
10195,1,2
10202,13,1
10202,14,2
10203,15,1
10203,9,2
10204,15,1
10204,9,2
10205,15,1
10206,15,1
10206,18,2
10207,5,1
10207,9,2
10208,5,1
10208,9,2
10209,17,1
10210,17,1
10211,6,1
10211,13,2
10212,6,1
10212,13,2
10213,6,1
10213,13,2
10214,4,1
10214,17,2
10215,4,1
10215,17,2
10216,12,1
10216,16,2
10217,10,1
10218,8,2
10225,13,1
10225,3,2
10226,14,1
10226,3,2
10227,18,1
10227,3,2
10232,2,1
10233,3,1
10234,4,1
10235,5,1
10236,6,1
10237,7,1
10238,8,1
10239,9,1
10240,10,1
10241,11,1
10242,12,1
10243,13,1
10244,14,1
10245,15,1
10246,16,1
10247,17,1
10248,18,1
10314,14,1
10314,9,2
10315,14,1
10315,8,2
10316,14,1
10316,16,2
