pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order,mastery
1,1,33,1,1,1,
1,1,45,1,1,2,
1,1,73,1,7,,
1,1,22,1,13,,
1,1,77,1,20,,
1,1,75,1,27,,
1,1,74,1,34,,
1,1,79,1,41,,
1,1,76,1,48,,
1,1,14,4,0,,
1,1,15,4,0,,
1,1,34,4,0,,
1,1,36,4,0,,
1,1,38,4,0,,
1,1,72,4,0,,
1,1,76,4,0,,
1,1,92,4,0,,
1,1,99,4,0,,
1,1,102,4,0,,
1,1,104,4,0,,
1,1,115,4,0,,
1,1,117,4,0,,
1,1,156,4,0,,
1,1,164,4,0,,
1,2,33,1,1,1,
1,2,45,1,1,2,
1,2,73,1,7,,
1,2,22,1,13,,
1,2,77,1,20,,
1,2,75,1,27,,
1,2,74,1,34,,
1,2,79,1,41,,
1,2,76,1,48,,
1,2,14,4,0,,
1,2,15,4,0,,
1,2,34,4,0,,
1,2,36,4,0,,
1,2,38,4,0,,
1,2,72,4,0,,
1,2,76,4,0,,
1,2,92,4,0,,
1,2,99,4,0,,
1,2,102,4,0,,
1,2,104,4,0,,
1,2,115,4,0,,
1,2,117,4,0,,
1,2,156,4,0,,
1,2,164,4,0,,
1,3,33,1,1,,
1,3,45,1,4,,
1,3,73,1,7,,
1,3,22,1,10,,
1,3,77,1,15,1,
1,3,79,1,15,2,
1,3,75,1,20,,
1,3,230,1,25,,
1,3,74,1,32,,
1,3,235,1,39,,
1,3,76,1,46,,
1,3,13,2,0,,
1,3,80,2,0,,
1,3,113,2,0,,
1,3,130,2,0,,
1,3,204,2,0,,
1,3,219,2,0,,
1,3,15,4,0,,
1,3,29,4,0,,
1,3,76,4,0,,
1,3,92,4,0,,
1,3,104,4,0,,
1,3,111,4,0,,
1,3,148,4,0,,
1,3,156,4,0,,
1,3,173,4,0,,
1,3,174,4,0,,
1,3,182,4,0,,
1,3,189,4,0,,
1,3,202,4,0,,
1,3,203,4,0,,
1,3,207,4,0,,
1,3,210,4,0,,
1,3,213,4,0,,
1,3,214,4,0,,
1,3,216,4,0,,
1,3,218,4,0,,
1,3,230,4,0,,
1,3,237,4,0,,
1,3,241,4,0,,
1,4,33,1,1,,
1,4,45,1,4,,
1,4,73,1,7,,
1,4,22,1,10,,
1,4,77,1,15,1,
1,4,79,1,15,2,
1,4,75,1,20,,
1,4,230,1,25,,
1,4,74,1,32,,
1,4,235,1,39,,
1,4,76,1,46,,
1,4,13,2,0,,
1,4,80,2,0,,
1,4,113,2,0,,
1,4,130,2,0,,
1,4,219,2,0,,
1,4,15,4,0,,
1,4,29,4,0,,
1,4,76,4,0,,
1,4,92,4,0,,
