pokemon_species_id,local_language_id,flavor_summary
1,8,Pokémon Seme
10,8,Pokémon Baco
100,8,Pokémon Ball
1000,8,Pokémon Tesoro
1001,8,Pokémon Disgrazia
1002,8,Pokémon Disgrazia
1003,8,Pokémon Disgrazia
1004,8,Pokémon Disgrazia
1005,8,Pokémon Paradosso
1006,8,Pokémon Paradosso
1007,8,Pokémon Paradosso
1008,8,Pokémon Paradosso
1009,8,Pokémon Paradosso
101,8,Pokémon Ball
1010,8,Pokémon Paradosso
102,8,Pokémon Uovo
103,8,Pokémon Nocecocco
104,8,Pokémon Solitario
105,8,Pokémon Guardaossi
106,8,Pokémon Tiracalci
107,8,Pokémon Tirapugni
108,8,Pokémon Linguaccia
109,8,Pokémon Velenuvola
11,8,Pokémon Bozzolo
110,8,Pokémon Velenuvola
111,8,Pokémon Punzoni
112,8,Pokémon Trapano
113,8,Pokémon Uovo
114,8,Pokémon Liana
115,8,Pokémon Genitore
116,8,Pokémon Drago
117,8,Pokémon Drago
118,8,Pokémon Pescerosso
119,8,Pokémon Pescerosso
12,8,Pokémon Farfalla
120,8,Pokémon Stella
121,8,Pokémon Misterioso
122,8,Pokémon Barriera
123,8,Pokémon Mantide
124,8,Pokémon Umanoide
125,8,Pokémon Elettrico
126,8,Pokémon Sputafuoco
127,8,Pokémon Cervolante
128,8,Pokémon Torobrado
129,8,Pokémon Pesce
13,8,Pokémon Millepiedi
130,8,Pokémon Atroce
131,8,Pokémon Trasporto
132,8,Pokémon Mutante
133,8,Pokémon Evoluzione
134,8,Pokémon Bollajet
135,8,Pokémon Luminoso
136,8,Pokémon Fiamma
137,8,Pokémon Virtuale
138,8,Pokémon Spirale
139,8,Pokémon Spirale
14,8,Pokémon Bozzolo
140,8,Pokémon Crostaceo
141,8,Pokémon Crostaceo
142,8,Pokémon Fossile
143,8,Pokémon Sonno
144,8,Pokémon Gelo
145,8,Pokémon Elettrico
146,8,Pokémon Fiamma
147,8,Pokémon Drago
148,8,Pokémon Drago
149,8,Pokémon Drago
15,8,Pokémon Velenape
150,8,Pokémon Genetico
151,8,Pokémon Novaspecie
152,8,Pokémon Foglia
153,8,Pokémon Foglia
154,8,Pokémon Erbe
155,8,Pokémon Fuocotopo
156,8,Pokémon Vulcano
157,8,Pokémon Vulcano
158,8,Pokémon Mascellone
159,8,Pokémon Mascellone
16,8,Pokémon Uccellino
160,8,Pokémon Mascellone
161,8,Pokémon Esplorante
162,8,Pokémon Lungocorpo
163,8,Pokémon Gufo
164,8,Pokémon Gufo
165,8,Pokémon Pentastra
166,8,Pokémon Pentastra
167,8,Pokémon Tela
168,8,Pokémon Lungazampa
169,8,Pokémon Pipistrello
17,8,Pokémon Uccello
170,8,Pokémon Pescatore
171,8,Pokémon Luce
172,8,Pokémon Topino
173,8,Pokémon Stella
174,8,Pokémon Pallone
175,8,Pokémon Pallapunte
176,8,Pokémon Felicità
177,8,Pokémon Uccellino
178,8,Pokémon Magico
179,8,Pokémon Lana
18,8,Pokémon Uccello
180,8,Pokémon Lana
181,8,Pokémon Luce
182,8,Pokémon Fiore
183,8,Pokémon Acquatopo
184,8,Pokémon Acquniglio
185,8,Pokémon Imitazione
186,8,Pokémon Rana
187,8,Pokémon Gramigna
188,8,Pokémon Gramigna
189,8,Pokémon Gramigna
19,8,Pokémon Topo
190,8,Pokémon Lungacoda
191,8,Pokémon Seme
192,8,Pokémon Sole
193,8,Pokémon Alachiara
194,8,Pokémon Acquapesce
195,8,Pokémon Acquapesce
196,8,Pokémon Sole
197,8,Pokémon Lucelunare
198,8,Pokémon Oscurità
199,8,Pokémon Reale
2,8,Pokémon Seme
20,8,Pokémon Topo
200,8,Pokémon Strido
201,8,Pokémon Simbolo
202,8,Pokémon Pazienza
203,8,Pokémon Lungocollo
204,8,Pokémon Larva
205,8,Pokémon Larva
206,8,Pokémon Terraserpe
207,8,Pokémon Aliscorpio
208,8,Pokémon Ferroserpe
209,8,Pokémon Fata
21,8,Pokémon Uccellino
210,8,Pokémon Fata
211,8,Pokémon Pallone
212,8,Pokémon Chela
213,8,Pokémon Muffa
214,8,Pokémon Monocorno
215,8,Pokémon Lamartigli
216,8,Pokémon Orsetto
217,8,Pokémon Letargo
218,8,Pokémon Lava
219,8,Pokémon Lava
22,8,Pokémon Becco
220,8,Pokémon Maiale
221,8,Pokémon Suino
222,8,Pokémon Corallo
223,8,Pokémon Jet
224,8,Pokémon Jet
225,8,Pokémon Consegna
226,8,Pokémon Aquilone
227,8,Pokémon Armuccello
228,8,Pokémon Buio
229,8,Pokémon Buio
23,8,Pokémon Serpente
230,8,Pokémon Drago
231,8,Pokémon Nasone
232,8,Pokémon Armatura
233,8,Pokémon Virtuale
234,8,Pokémon Grancorno
235,8,Pokémon Pittore
236,8,Pokémon Baruffa
237,8,Pokémon Verticale
238,8,Pokémon Bacio
239,8,Pokémon Elettrico
24,8,Pokémon Cobra
240,8,Pokémon Carbonvivo
241,8,Pokémon Bovino
242,8,Pokémon Felicità
243,8,Pokémon Tuono
244,8,Pokémon Vulcano
245,8,Pokémon Aurora
246,8,Pokémon Peldisasso
247,8,Pokémon Guscioduro
248,8,Pokémon Armatura
249,8,Pokémon Immersione
25,8,Pokémon Topo
