pokemon_species_id,local_language_id,name,genus
1,1,フシギダネ,たね
1,2,Fushigidane,
1,3,이상해씨,씨앗
1,4,妙蛙種子,
1,5,Bulbizarre,Graine
1,6,Bisasam,Samen
1,7,Bulbasaur,Semilla
1,8,Bulbasaur,Seme
1,9,Bulbasaur,Seed
2,1,フシギソウ,たね
2,2,Fushigisou,
2,3,이상해풀,씨앗
2,4,妙蛙草,
2,5,Herbizarre,Graine
2,6,Bisaknosp,Samen
2,7,Ivysaur,Semilla
2,8,Ivysaur,Seme
2,9,Ivysaur,Seed
3,1,フシギバナ,たね
3,2,Fushigibana,
3,3,이상해꽃,씨앗
3,4,妙蛙花,
3,5,Florizarre,Graine
3,6,Bisaflor,Samen
3,7,Venusaur,Semilla
3,8,Venusaur,Seme
3,9,Venusaur,Seed
4,1,ヒトカゲ,とかげ
4,2,Hitokage,
4,3,파이리,도롱뇽
4,4,小火龍,
4,5,Salamèche,Lézard
4,6,Glumanda,Echse
4,7,Charmander,Lagartija
4,8,Charmander,Lucertola
4,9,Charmander,Lizard
5,1,リザード,かえん
5,2,Lizardo,
5,3,리자드,화염
5,4,火恐龍,
5,5,Reptincel,Flamme
5,6,Glutexo,Flamme
5,7,Charmeleon,Llama
5,8,Charmeleon,Fiamma
5,9,Charmeleon,Flame
6,1,リザードン,かえん
6,2,Lizardon,
6,3,리자몽,화염
6,4,噴火龍,
6,5,Dracaufeu,Flamme
6,6,Glurak,Flamme
6,7,Charizard,Llama
6,8,Charizard,Fiamma
6,9,Charizard,Flame
7,1,ゼニガメ,かめのこ
7,2,Zenigame,
7,3,꼬부기,꼬마거북
7,4,傑尼龜,
7,5,Carapuce,Minitortue
7,6,Schiggy,Minikröte
7,7,Squirtle,Tortuguita
7,8,Squirtle,Tartaghina
7,9,Squirtle,Tiny Turtle
8,1,カメール,かめ
8,2,Kameil,
8,3,어니부기,거북
8,4,卡咪龜,
8,5,Carabaffe,Tortue
8,6,Schillok,Kröte
8,7,Wartortle,Tortuga
8,8,Wartortle,Tartaruga
8,9,Wartortle,Turtle
9,1,カメックス,こうら
9,2,Kamex,
9,3,거북왕,껍질
9,4,水箭龜,
9,5,Tortank,Carapace
9,6,Turtok,Panzertier
9,7,Blastoise,Marisco
9,8,Blastoise,Crostaceo
9,9,Blastoise,Shellfish
10,1,キャタピー,いもむし
10,2,Caterpie,
10,3,캐터피,애벌레
10,4,綠毛蟲,
10,5,Chenipan,Ver
10,6,Raupy,Wurm
10,7,Caterpie,Gusano
10,8,Caterpie,Baco
10,9,Caterpie,Worm
11,1,トランセル,さなぎ
11,2,Trancell,
11,3,단데기,번데기
11,4,鐵甲蛹,
11,5,Chrysacier,Cocon
11,6,Safcon,Kokon
11,7,Metapod,Capullo
11,8,Metapod,Bozzolo
11,9,Metapod,Cocoon
12,1,バタフリー,ちょうちょ
12,2,Butterfree,
12,3,버터플,나비
12,4,巴大蝴,
12,5,Papilusion,Papillon
12,6,Smettbo,Falter
12,7,Butterfree,Mariposa
12,8,Butterfree,Farfalla
12,9,Butterfree,Butterfly
13,1,ビードル,けむし
13,2,Beedle,
13,3,뿔충이,송충이
13,4,獨角蟲,
13,5,Aspicot,Insectopic
13,6,Hornliu,Raupe
13,7,Weedle,Oruga
13,8,Weedle,Millepiedi
13,9,Weedle,Hairy Bug
14,1,コクーン,さなぎ
14,2,Cocoon,
14,3,딱충이,번데기
14,4,鐵殼昆,
14,5,Coconfort,Cocon
14,6,Kokuna,Kokon
14,7,Kakuna,Capullo
14,8,Kakuna,Bozzolo
14,9,Kakuna,Cocoon
15,1,スピアー,どくばち
15,2,Spear,
15,3,독침붕,독벌
15,4,大針蜂,
15,5,Dardargnan,Guêpoison
15,6,Bibor,Giftbiene
15,7,Beedrill,Abeja Ven.
15,8,Beedrill,Velenape
15,9,Beedrill,Poison Bee
16,1,ポッポ,ことり
16,2,Poppo,
16,3,구구,아기새
16,4,波波,
16,5,Roucool,Minoiseau
16,6,Taubsi,Kleinvogel
16,7,Pidgey,Pajarito
16,8,Pidgey,Uccellino
16,9,Pidgey,Tiny Bird
17,1,ピジョン,とり
17,2,Pigeon,
17,3,피죤,새
17,4,比比鳥,
17,5,Roucoups,Oiseau
17,6,Tauboga,Vogel
17,7,Pidgeotto,Pájaro
17,8,Pidgeotto,Uccello
17,9,Pidgeotto,Bird
18,1,ピジョット,とり
18,2,Pigeot,
18,3,피죤투,새
18,4,比鵰,
18,5,Roucarnage,Oiseau
18,6,Tauboss,Vogel
18,7,Pidgeot,Pájaro
18,8,Pidgeot,Uccello
18,9,Pidgeot,Bird
19,1,コラッタ,ねずみ
19,2,Koratta,
19,3,꼬렛,쥐
19,4,小拉達,
19,5,Rattata,Souris
19,6,Rattfratz,Maus
19,7,Rattata,Ratón
19,8,Rattata,Topo
19,9,Rattata,Mouse
20,1,ラッタ,ねずみ
20,2,Ratta,
20,3,레트라,쥐
20,4,拉達,
20,5,Rattatac,Souris
20,6,Rattikarl,Maus
20,7,Raticate,Ratón
20,8,Raticate,Topo
20,9,Raticate,Mouse
21,1,オニスズメ,ことり
21,2,Onisuzume,
21,3,깨비참,아기새
21,4,烈雀,
21,5,Piafabec,Minoiseau
21,6,Habitak,Kleinvogel
21,7,Spearow,Pajarito
21,8,Spearow,Uccellino
21,9,Spearow,Tiny Bird
22,1,オニドリル,くちばし
22,2,Onidrill,
22,3,깨비드릴조,부리
22,4,大嘴雀,
22,5,Rapasdepic,Bec-Oiseau
22,6,Ibitak,Pickvogel
22,7,Fearow,Pico
22,8,Fearow,Becco
22,9,Fearow,Beak
23,1,アーボ,へび
23,2,Arbo,
23,3,아보,뱀
23,4,阿柏蛇,
23,5,Abo,Serpent
23,6,Rettan,Schlange
23,7,Ekans,Serpiente
23,8,Ekans,Serpente
23,9,Ekans,Snake
24,1,アーボック,コブラ
24,2,Arbok,
24,3,아보크,코브라
24,4,阿柏怪,
24,5,Arbok,Cobra
24,6,Arbok,Kobra
24,7,Arbok,Cobra
24,8,Arbok,Cobra
24,9,Arbok,Cobra
25,1,ピカチュウ,ねずみ
25,2,Pikachu,
25,3,피카츄,쥐
25,4,皮卡丘,
25,5,Pikachu,Souris
25,6,Pikachu,Maus
25,7,Pikachu,Ratón
25,8,Pikachu,Topo
25,9,Pikachu,Mouse
26,1,ライチュウ,ねずみ
26,2,Raichu,
26,3,라이츄,쥐
26,4,雷丘,
26,5,Raichu,Souris
26,6,Raichu,Maus
26,7,Raichu,Ratón
26,8,Raichu,Topo
26,9,Raichu,Mouse
27,1,サンド,ねずみ
27,2,Sand,
27,3,모래두지,쥐
27,4,穿山鼠,
27,5,Sabelette,Souris
27,6,Sandan,Maus
27,7,Sandshrew,Ratón
27,8,Sandshrew,Topo
27,9,Sandshrew,Mouse
28,1,サンドパン,ねずみ
28,2,Sandpan,
28,3,고지,쥐
28,4,穿山王,
28,5,Sablaireau,Souris
28,6,Sandamer,Maus
28,7,Sandslash,Ratón
28,8,Sandslash,Topo
28,9,Sandslash,Mouse
29,1,ニドラン♀,どくばり
29,2,Nidoran♀,
29,3,니드런♀,독침
29,4,尼多蘭,
29,5,Nidoran♀,Vénépic
29,6,Nidoran♀,Giftdorn
29,7,Nidoran♀,Pin Veneno
29,8,Nidoran♀,Velenago
29,9,Nidoran♀,Poison Pin
30,1,ニドリーナ,どくばり
30,2,Nidorina,
30,3,니드리나,독침
30,4,尼多娜,
30,5,Nidorina,Vénépic
30,6,Nidorina,Giftdorn
30,7,Nidorina,Pin Veneno
30,8,Nidorina,Velenago
30,9,Nidorina,Poison Pin
31,1,ニドクイン,ドリル
31,2,Nidoqueen,
31,3,니드퀸,드릴
31,4,尼多后,
31,5,Nidoqueen,Perceur
31,6,Nidoqueen,Bohrer
31,7,Nidoqueen,Taladro
31,8,Nidoqueen,Trapano
31,9,Nidoqueen,Drill
32,1,ニドラン♂,どくばり
32,2,Nidoran♂,
32,3,니드런♂,독침
32,4,尼多朗,
32,5,Nidoran♂,Vénépic
32,6,Nidoran♂,Giftdorn
32,7,Nidoran♂,Pin Veneno
32,8,Nidoran♂,Velenago
32,9,Nidoran♂,Poison Pin
33,1,ニドリーノ,どくばり
33,2,Nidorino,
33,3,니드리노,독침
33,4,尼多力諾,
33,5,Nidorino,Vénépic
33,6,Nidorino,Giftdorn
33,7,Nidorino,Pin Veneno
33,8,Nidorino,Velenago
33,9,Nidorino,Poison Pin
34,1,ニドキング,ドリル
34,2,Nidoking,
34,3,니드킹,드릴
34,4,尼多王,
34,5,Nidoking,Perceur
34,6,Nidoking,Bohrer
34,7,Nidoking,Taladro
34,8,Nidoking,Trapano
34,9,Nidoking,Drill
35,1,ピッピ,ようせい
35,2,Pippi,
35,3,삐삐,요정
35,4,皮皮,
35,5,Mélofée,Fée
35,6,Piepi,Fee
35,7,Clefairy,Hada
35,8,Clefairy,Fata
35,9,Clefairy,Fairy
36,1,ピクシー,ようせい
36,2,Pixy,
36,3,픽시,요정
36,4,皮可西,
36,5,Mélodelfe,Fée
36,6,Pixi,Fee
36,7,Clefable,Hada
36,8,Clefable,Fata
36,9,Clefable,Fairy
37,1,ロコン,きつね
37,2,Rokon,
37,3,식스테일,여우
37,4,六尾,
37,5,Goupix,Renard
37,6,Vulpix,Fuchs
37,7,Vulpix,Zorro
37,8,Vulpix,Volpe
37,9,Vulpix,Fox
38,1,キュウコン,きつね
38,2,Kyukon,
38,3,나인테일,여우
38,4,九尾,
38,5,Feunard,Renard
38,6,Vulnona,Fuchs
38,7,Ninetales,Zorro
38,8,Ninetales,Volpe
38,9,Ninetales,Fox
39,1,プリン,ふうせん
39,2,Purin,
39,3,푸린,풍선
39,4,胖丁,
39,5,Rondoudou,Bouboule
39,6,Pummeluff,Ballon
39,7,Jigglypuff,Globo
39,8,Jigglypuff,Pallone
39,9,Jigglypuff,Balloon
40,1,プクリン,ふうせん
40,2,Pukurin,
40,3,푸크린,풍선
40,4,胖可丁,
40,5,Grodoudou,Bouboule
40,6,Knuddeluff,Ballon
40,7,Wigglytuff,Globo
40,8,Wigglytuff,Pallone
40,9,Wigglytuff,Balloon
41,1,ズバット,こうもり
41,2,Zubat,
41,3,주뱃,박쥐
41,4,超音蝠,
41,5,Nosferapti,Chovsouris
41,6,Zubat,Fledermaus
41,7,Zubat,Murciélago
41,8,Zubat,Pipistrello
41,9,Zubat,Bat
42,1,ゴルバット,こうもり
42,2,Golbat,
42,3,골뱃,박쥐
42,4,大嘴蝠,
42,5,Nosferalto,Chovsouris
42,6,Golbat,Fledermaus
42,7,Golbat,Murciélago
42,8,Golbat,Pipistrello
42,9,Golbat,Bat
43,1,ナゾノクサ,ざっそう
43,2,Nazonokusa,
43,3,뚜벅쵸,잡초
43,4,走路草,
43,5,Mystherbe,Racine
43,6,Myrapla,Unkraut
43,7,Oddish,Hierbajo
43,8,Oddish,Malerba
43,9,Oddish,Weed
44,1,クサイハナ,ざっそう
44,2,Kusaihana,
44,3,냄새꼬,잡초
44,4,臭臭花,
44,5,Ortide,Racine
44,6,Duflor,Unkraut
44,7,Gloom,Hierbajo
44,8,Gloom,Malerba
44,9,Gloom,Weed
45,1,ラフレシア,フラワー
45,2,Ruffresia,
45,3,라플레시아,꽃
45,4,霸王花,
45,5,Rafflesia,Fleur
45,6,Giflor,Blume
45,7,Vileplume,Flor
45,8,Vileplume,Fiore
45,9,Vileplume,Flower
46,1,パラス,きのこ
46,2,Paras,
46,3,파라스,버섯
46,4,派拉斯,
46,5,Paras,Champignon
46,6,Paras,Pilz
46,7,Paras,Hongo
46,8,Paras,Fungo
46,9,Paras,Mushroom
47,1,パラセクト,きのこ
47,2,Parasect,
47,3,파라섹트,버섯
47,4,派拉斯特,
47,5,Parasect,Champignon
47,6,Parasek,Pilz
47,7,Parasect,Hongo
47,8,Parasect,Fungo
47,9,Parasect,Mushroom
48,1,コンパン,こんちゅう
48,2,Kongpang,
48,3,콘팡,곤충
48,4,毛球,
48,5,Mimitoss,Vermine
48,6,Bluzuk,Insekt
48,7,Venonat,Insecto
48,8,Venonat,Insetto
48,9,Venonat,Insect
49,1,モルフォン,どくが
49,2,Morphon,
49,3,도나리,독나방
49,4,末入蛾,
49,5,Aéromite,Papipoison
49,6,Omot,Giftmotte
49,7,Venomoth,Polilla Ven.
49,8,Venomoth,Velentarma
49,9,Venomoth,Poison Moth
50,1,ディグダ,もぐら
50,2,Digda,
50,3,디그다,두더지
50,4,地鼠,
50,5,Taupiqueur,Taupe
50,6,Digda,Maulwurf
50,7,Diglett,Topo
50,8,Diglett,Talpa
50,9,Diglett,Mole
51,1,ダグトリオ,もぐら
51,2,Dugtrio,
51,3,닥트리오,두더지
51,4,三地鼠,
51,5,Triopikeur,Taupe
51,6,Digdri,Maulwurf
51,7,Dugtrio,Topo
51,8,Dugtrio,Talpa
51,9,Dugtrio,Mole
52,1,ニャース,ばけねこ
52,2,Nyarth,
52,3,나옹,요괴고양이
52,4,喵喵,
52,5,Miaouss,Chadégout
52,6,Mauzi,Katze
52,7,Meowth,Gato Araña
52,8,Meowth,Graffimiao
52,9,Meowth,Scratch Cat
53,1,ペルシアン,シャムネコ
53,2,Persian,
53,3,페르시온,샴고양이
53,4,貓老大,
53,5,Persian,Chadeville
53,6,Snobilikat,Rassekatze
53,7,Persian,Gato Fino
53,8,Persian,Nobilgatto
53,9,Persian,Classy Cat
54,1,コダック,あひる
54,2,Koduck,
54,3,고라파덕,오리
54,4,可達鴨,
54,5,Psykokwak,Canard
54,6,Enton,Ente
54,7,Psyduck,Pato
54,8,Psyduck,Papero
54,9,Psyduck,Duck
55,1,ゴルダック,あひる
55,2,Golduck,
55,3,골덕,오리
55,4,哥達鴨,
55,5,Akwakwak,Canard
55,6,Entoron,Ente
55,7,Golduck,Pato
55,8,Golduck,Papero
55,9,Golduck,Duck
56,1,マンキー,ぶたざる
56,2,Mankey,
56,3,망키,돈숭이
56,4,猴怪,
56,5,Férosinge,Porsinge
56,6,Menki,Schw./ Affe
56,7,Mankey,Mono Cerdo
56,8,Mankey,Suinpanzé
56,9,Mankey,Pig Monkey
57,1,オコリザル,ぶたざる
57,2,Okorizaru,
57,3,성원숭,돈숭이
57,4,火爆猴,
57,5,Colossinge,Porsinge
57,6,Rasaff,Schw./ Affe
57,7,Primeape,Mono Cerdo
57,8,Primeape,Suinpanzé
57,9,Primeape,Pig Monkey
58,1,ガーディ,こいぬ
58,2,Gardie,
58,3,가디,강아지
58,4,卡蒂狗,
58,5,Caninos,Chiot
58,6,Fukano,Hund
58,7,Growlithe,Perrito
58,8,Growlithe,Cagnolino
58,9,Growlithe,Puppy
59,1,ウインディ,でんせつ
59,2,Windie,
59,3,윈디,전설
59,4,風速狗,
59,5,Arcanin,Légendaire
59,6,Arkani,Legendär
59,7,Arcanine,Legendario
59,8,Arcanine,Leggenda
59,9,Arcanine,Legendary
60,1,ニョロモ,おたま
60,2,Nyoromo,
60,3,발챙이,올챙이
60,4,蚊香蝌蚪,
60,5,Ptitard,Têtard
60,6,Quapsel,Kaulquappe
60,7,Poliwag,Renacuajo
60,8,Poliwag,Girino
60,9,Poliwag,Tadpole
61,1,ニョロゾ,おたま
61,2,Nyorozo,
61,3,슈륙챙이,올챙이
61,4,蚊香蛙,
61,5,Têtarte,Têtard
61,6,Quaputzi,Kaulquappe
61,7,Poliwhirl,Renacuajo
61,8,Poliwhirl,Girino
61,9,Poliwhirl,Tadpole
62,1,ニョロボン,おたま
62,2,Nyorobon,
62,3,강챙이,올챙이
62,4,快泳蛙,
62,5,Tartard,Têtard
62,6,Quappo,Kaulquappe
62,7,Poliwrath,Renacuajo
62,8,Poliwrath,Girino
62,9,Poliwrath,Tadpole
63,1,ケーシィ,ねんりき
63,2,Casey,
63,3,캐이시,초능력
63,4,凱西,
63,5,Abra,Psy
63,6,Abra,Psi
63,7,Abra,Psi
63,8,Abra,Psico
63,9,Abra,Psi
64,1,ユンゲラー,ねんりき
64,2,Yungerer,
64,3,윤겔라,초능력
64,4,勇吉拉,
64,5,Kadabra,Psy
64,6,Kadabra,Psi
64,7,Kadabra,Psi
64,8,Kadabra,Psico
64,9,Kadabra,Psi
65,1,フーディン,ねんりき
65,2,Foodin,
65,3,후딘,초능력
65,4,胡地,
65,5,Alakazam,Psy
65,6,Simsala,Psi
65,7,Alakazam,Psi
65,8,Alakazam,Psico
65,9,Alakazam,Psi
66,1,ワンリキー,かいりき
66,2,Wanriky,
66,3,알통몬,괴력
66,4,腕力,
66,5,Machoc,Colosse
66,6,Machollo,Kraftprotz
66,7,Machop,Superpoder
66,8,Machop,Megaforza
66,9,Machop,Superpower
67,1,ゴーリキー,かいりき
67,2,Goriky,
67,3,근육몬,괴력
67,4,豪力,
67,5,Machopeur,Colosse
67,6,Maschock,Kraftprotz
67,7,Machoke,Superpoder
67,8,Machoke,Megaforza
67,9,Machoke,Superpower
68,1,カイリキー,かいりき
68,2,Kairiky,
68,3,괴력몬,괴력
68,4,怪力,
68,5,Mackogneur,Colosse
68,6,Machomei,Kraftprotz
68,7,Machamp,Superpoder
68,8,Machamp,Megaforza
68,9,Machamp,Superpower
69,1,マダツボミ,フラワー
69,2,Madatsubomi,
69,3,모다피,꽃
69,4,喇叭芽,
69,5,Chétiflor,Fleur
69,6,Knofensa,Blume
69,7,Bellsprout,Flor
69,8,Bellsprout,Fiore
69,9,Bellsprout,Flower
70,1,ウツドン,ハエとり
70,2,Utsudon,
70,3,우츠동,파리잡이
70,4,口呆花,
70,5,Boustiflor,Carnivore
70,6,Ultrigaria,Fliegentod
70,7,Weepinbell,Matamoscas
70,8,Weepinbell,Moschivoro
70,9,Weepinbell,Flycatcher
