pokemon_species_id,local_language_id,form_description
172,5,"Pichu Troizépi ne peut être obtenu qu’en emmenant un Pichu d’une distribution officielle au sanctuaire[]{pokemon:celebi} au []{location:ilex-forest}. Pichu Troizépi est toujours une femelle, ne peut pas évoluer, ne peut pas être emmené au Club Wi-Fi ou à la salle Union et ne peut pas être transféré vers la Génération V, mais est par ailleurs un Pichu normal."
172,9,"Spiky-eared Pichu can only be received by taking the shiny Pichu from an official promotion to []{pokemon:celebi}’s shrine in []{location:ilex-forest}.  Spiky-eared Pichu is always female, cannot evolve, cannot be taken into the Wi-Fi Club or the Union Room, and cannot be transferred to Generation V, but is otherwise a normal Pichu."
201,5,Les formes n’affectent que l’apparence. Une forme est déterminée aléatoirement avant une rencontre sauvage et ne peut pas être changée.
201,9,Forms only affect appearance.  A form is determined at random before a wild encounter and cannot be changed.
351,5,"La forme change avec le type pour correspondre à la [weather]{mechanic:weather} du combat, en raison de []{ability:forecast}. Morphéo conserve toujours sa forme normale en dehors des combats, peu importe la météo."
351,9,"Form changes along with type to match the [weather]{mechanic:weather} in battle, due to []{ability:forecast}.  Castform is always in its normal form outside of battle, regardless of weather."
386,5,"Les formes ont des stats différentes et peuvent apprendre différentes capacités. Les capacités sont retenues en changeant de forme.

Dans la Génération III, la forme de Deoxys dépend du jeu : Normale dans Rubis et Saphir, Attaque dans Rouge Feu, Défense dans Vert Feuille, et Vitesse dans Émeraude. Les météorites des changements de formes de Deoxys peuvent être trouvées dans les lieux suivants, selon le jeu :

* Diamant, Perle et Platine: Au coin sud-ouest de []{location:veilstone-city}.
* Or HeartGold et Argent SoulSilver: À l’extrémité ouest de la []{location:kanto-route-3}, près de []{location:pewter-city}.
* Noir et Blanc 1 & 2: Dans le musée à []{location:nacrene-city}, il y a une météorite exposée qui permet les changements de formes."
386,9,"Forms have different stats and can learn different moves.  Moves are retained through form changes.

In Generation III, Deoxys’s form depends on the game: Normal Forme in Ruby and Sapphire, Attack Forme in FireRed, Defense Forme in LeafGreen, and Speed Forme in Emerald.  In subsequent games, every form exists.  Meteorites for switching Deoxys’s form can be found in the following locations, depending on the game:

* Diamond, Pearl, and Platinum: In the southwest corner of []{location:veilstone-city}.
* HeartGold and SoulSilver: At the west end of []{location:kanto-route-3}, near []{location:pewter-city}.
* Black and White 1 & 2: In the museum in []{location:nacrene-city}, there is a single meteorite on display which cycles between all forms."
412,5,"Les formes affectent seulement l’apparence, bien qu’elles deviennent permanentes après l’évolution. Les Cheniti sauvages nouvellement éclos sont toujours dans la forme Cape Plante. La cape de Cheniti change après un combat auquel il a participé pour correspondre au terrain: Cape Plante par défaut; Cape Sable dans les zones sableuses ou rocheuses; Cape Déchet dans les bâtiments."
412,9,"Forms only affect appearance, although they become permanent upon evolution.  Wild and newly-hatched Burmy are always in a Plant Cloak.  Burmy’s cloak changes to match the terrain after a battle it participated in: Plant Cloak by default; Sandy Cloak in sandy or rocky areas, such as beaches, caves, and trails; and Trash Cloak in buildings."
413,5,"Les formes ont des stats et capacités différentes. Pendant l’évolution, la cape de Cheniti devient la forme de Cheniselle, et ne peut plus être changée."
413,9,"Forms have different stats and movepools.  During evolution, Burmy’s current cloak becomes Wormadam’s form, and can no longer be changed."
421,5,"La forme Temps Ensoleillé est active pendant le [strong sunlight]{mechanic:strong-sunlight}. Sinon, la forme par défaut de Ceriflor est la forme Temps Couvert."
421,9,"Sunshine form is active during [strong sunlight]{mechanic:strong-sunlight}.  Otherwise, Cherrim defaults to its Overcast form."
422,5,"Les formes n’affectent que l’apparence. Une forme est déterminée avant une rencontre sauvage selon si le combat a lieu dans l’ouest ou l’est de Sinnoh, ou est héritée de la mère pendant la reproduction, et ne peut être changée."
422,9,"Forms only affect appearance.  A form is determined before a wild encounter based on whether the battle is in western or eastern Sinnoh, or inherited from the mother when breeding, and cannot be changed."
423,5,Les formes n’affectent que l’apparence. Une forme est déterminée avant une rencontre sauvage selon si le combat a lieu dans l’ouest ou l’est de Sinnoh et ne peut être changée.
423,9,Forms only affect appearance.  A form is determined before a wild encounter based on whether the battle is in western or eastern Sinnoh and cannot be changed.
479,5,"Les formes ont des capacités signatures et types différents, et les stats des formes différent de la forme normale. Dans la Génération IV, toutes les formes sont de type Electrick/Spectre.

En changeant de forme, l’ancienne capacité signature (s’il y en a une) est oubliée et une nouvelle doit être apprise, à la place d’une autre si besoin, ou le changement sera annulé; cependant, elle peut être oubliée une fois dans la nouvelle forme. Si Motisma ne connait que sa capacité signature en revenant à sa forme par défaut, il apprend []{move:thunder-shock} pour éviter de ne pas avoir de capacité.

Les appareils pour les changements de forme de Motisma peuvent être trouvés dans les lieux suivants, selon le jeu:

* Platine: Dans le Centre Galaxie de Vestigion. Il faut nécessite une []{item:secret-key}.
* Or HeartGold and Argent SoulSilver: Dans le bâtiment de la Sylphe SARL. Entrez dans le bâtimant en marchant avec Motisma et entrez dans l’ascenseur cassé.
* Noir & Blanc 1 & 2: Dans le Centre Commercial R9. Trouvé dans les boîtes de la pièce de stockage au premier étage, tout à droite."
479,9,"Forms have different signature moves and types, and the appliance forms’ stats are different from the normal form’s.  In Generation IV, all forms are Electric/Ghost type.

When switching forms, the old signature move (if any) is removed and the new one must be learned, overwriting another move if need be, or the switch will be cancelled; however, it can be forgotten while in the new form.  If Rotom only knows its signature move upon reverting to its default form, it learns []{move:thunder-shock} to avoid having no moves.

Appliances for switching Rotom’s form can be found in the following locations, depending on the game:

* Platinum: In the Team Galactic Eterna Building.  Requires a []{item:secret-key}.
* HeartGold and SoulSilver: In the Silph Co. Office Building.  Enter the building when walking with Rotom and enter the broken elevator.
* Black and White 1 & 2: In Shopping Mall Nine.  Found in boxes in a storage room on the first floor on the far right."
487,5,"Les formes ont des stats différentes et peuvent apprendre différentes capacités des Mâitres de Capacités. Les capacités sont retenues en changeant de forme. Giratina prend la forme Originelle dans le []{location:distortion-world} ou en tenant un []{item:griseous-orb}. Sinon, il conserve sa Forme Alternative.

Dans la Génération IV, l’Orbe Platiné retourne dans le sac en entrant dans le Club Wi-Fi ou la Salle Union."
487,9,"Forms have different stats and can learn different moves from tutors.  Moves are retained through form changes.  Giratina transforms into Origin Forme in the []{location:distortion-world} or while holding a []{item:griseous-orb}.  Otherwise, it assumes its Altered Forme.

In Generation IV, the Griseous Orb returns to the bag upon entering the Wi-Fi Club or the Union Room."
