pokemon_id,stat_id,base_stat
1,1,45
1,2,49
1,3,49
1,6,45
1,9,65
2,1,60
2,2,62
2,3,63
2,6,60
2,9,80
3,1,80
3,2,82
3,3,83
3,6,80
3,9,100
4,1,39
4,2,52
4,3,43
4,6,65
4,9,50
5,1,58
5,2,64
5,3,58
5,6,80
5,9,65
6,1,78
6,2,84
6,3,78
6,6,100
6,9,85
7,1,44
7,2,48
7,3,65
7,6,43
7,9,50
8,1,59
8,2,63
8,3,80
8,6,58
8,9,65
9,1,79
9,2,83
9,3,100
9,6,78
9,9,85
10,1,45
10,2,30
10,3,35
10,6,45
10,9,20
11,1,50
11,2,20
11,3,55
11,6,30
11,9,25
12,1,60
12,2,45
12,3,50
12,6,70
12,9,80
13,1,40
13,2,35
13,3,30
13,6,50
13,9,20
14,1,45
14,2,25
14,3,50
14,6,35
14,9,25
15,1,65
15,2,80
15,3,40
15,6,75
15,9,45
16,1,40
16,2,45
16,3,40
16,6,56
16,9,35
17,1,63
17,2,60
17,3,55
17,6,71
17,9,50
18,1,83
18,2,80
18,3,75
18,6,91
18,9,70
19,1,30
19,2,56
19,3,35
19,6,72
19,9,25
20,1,55
20,2,81
20,3,60
20,6,97
20,9,50
21,1,40
21,2,60
21,3,30
21,6,70
21,9,31
22,1,65
22,2,90
22,3,65
22,6,100
22,9,61
23,1,35
23,2,60
23,3,44
23,6,55
23,9,40
24,1,60
24,2,85
24,3,69
24,6,80
24,9,65
25,1,35
25,2,55
25,3,30
25,6,90
25,9,50
26,1,60
26,2,90
26,3,55
26,6,100
26,9,90
27,1,50
27,2,75
27,3,85
27,6,40
27,9,30
28,1,75
28,2,100
28,3,110
28,6,65
28,9,55
29,1,55
29,2,47
29,3,52
29,6,41
29,9,40
30,1,70
30,2,62
30,3,67
30,6,56
30,9,55
31,1,90
31,2,82
31,3,87
31,6,76
31,9,75
32,1,46
32,2,57
32,3,40
32,6,50
32,9,40
33,1,61
33,2,72
33,3,57
33,6,65
33,9,55
34,1,81
34,2,92
34,3,77
34,6,85
34,9,75
35,1,70
35,2,45
35,3,48
35,6,35
35,9,60
36,1,95
36,2,70
36,3,73
36,6,60
36,9,85
37,1,38
37,2,41
37,3,40
37,6,65
37,9,65
38,1,73
38,2,76
38,3,75
38,6,100
38,9,100
39,1,115
39,2,45
39,3,20
39,6,20
39,9,25
40,1,140
40,2,70
40,3,45
40,6,45
40,9,50
41,1,40
41,2,45
41,3,35
41,6,55
41,9,40
42,1,75
42,2,80
42,3,70
42,6,90
42,9,75
43,1,45
43,2,50
43,3,55
43,6,30
43,9,75
44,1,60
44,2,65
44,3,70
44,6,40
44,9,85
45,1,75
45,2,80
45,3,85
45,6,50
45,9,100
46,1,35
46,2,70
46,3,55
46,6,25
46,9,55
47,1,60
47,2,95
47,3,80
47,6,30
47,9,80
48,1,60
48,2,55
48,3,50
48,6,45
48,9,40
49,1,70
49,2,65
49,3,60
49,6,90
49,9,90
50,1,10
50,2,55
50,3,25
50,6,95
50,9,45
51,1,35
51,2,80
51,3,50
51,6,120
51,9,70
52,1,40
52,2,45
52,3,35
52,6,90
52,9,40
53,1,65
53,2,70
53,3,60
53,6,115
53,9,65
54,1,50
54,2,52
54,3,48
54,6,55
54,9,50
55,1,80
55,2,82
55,3,78
55,6,85
55,9,80
56,1,40
56,2,80
56,3,35
56,6,70
56,9,35
57,1,65
57,2,105
57,3,60
57,6,95
57,9,60
58,1,55
58,2,70
58,3,45
58,6,60
58,9,50
59,1,90
59,2,110
59,3,80
59,6,95
59,9,80
60,1,40
60,2,50
60,3,40
60,6,90
60,9,40
61,1,65
61,2,65
61,3,65
61,6,90
61,9,50
62,1,90
62,2,85
62,3,95
62,6,70
62,9,70
63,1,25
63,2,20
63,3,15
63,6,90
63,9,105
64,1,40
64,2,35
64,3,30
64,6,105
64,9,120
65,1,55
65,2,50
65,3,45
65,6,120
65,9,135
66,1,70
66,2,80
66,3,50
66,6,35
66,9,35
67,1,80
67,2,100
67,3,70
67,6,45
67,9,50
68,1,90
68,2,130
68,3,80
68,6,55
68,9,65
69,1,50
69,2,75
69,3,35
69,6,40
69,9,70
70,1,65
70,2,90
70,3,50
70,6,55
70,9,85
71,1,80
71,2,105
71,3,65
71,6,70
71,9,100
72,1,40
72,2,40
72,3,35
72,6,70
72,9,100
73,1,80
73,2,70
73,3,65
73,6,100
73,9,120
74,1,40
74,2,80
74,3,100
74,6,20
74,9,30
75,1,55
75,2,95
75,3,115
75,6,35
75,9,45
76,1,80
76,2,110
76,3,130
76,6,45
76,9,55
77,1,50
77,2,85
77,3,55
77,6,90
77,9,65
78,1,65
78,2,100
78,3,70
78,6,105
78,9,80
79,1,90
79,2,65
79,3,65
79,6,15
79,9,40
80,1,95
80,2,75
80,3,110
80,6,30
80,9,80
81,1,25
81,2,35
81,3,70
81,6,45
81,9,95
82,1,50
82,2,60
82,3,95
82,6,70
82,9,120
83,1,52
83,2,65
83,3,55
83,6,60
83,9,58
84,1,35
84,2,85
84,3,45
84,6,75
84,9,35
85,1,60
85,2,110
85,3,70
85,6,100
85,9,60
86,1,65
86,2,45
86,3,55
86,6,45
86,9,70
87,1,90
87,2,70
87,3,80
87,6,70
87,9,95
88,1,80
88,2,80
88,3,50
88,6,25
88,9,40
89,1,105
89,2,105
89,3,75
89,6,50
89,9,65
90,1,30
90,2,65
90,3,100
90,6,40
90,9,45
91,1,50
91,2,95
91,3,180
91,6,70
91,9,85
92,1,30
92,2,35
92,3,30
92,6,80
92,9,100
93,1,45
93,2,50
93,3,45
93,6,95
93,9,115
94,1,60
94,2,65
94,3,60
94,6,110
94,9,130
95,1,35
95,2,45
95,3,160
95,6,70
95,9,30
96,1,60
96,2,48
96,3,45
96,6,42
96,9,90
97,1,85
97,2,73
97,3,70
97,6,67
97,9,115
98,1,30
98,2,105
98,3,90
98,6,50
98,9,25
99,1,55
99,2,130
99,3,115
99,6,75
99,9,50
100,1,40
100,2,30
100,3,50
100,6,100
100,9,55
101,1,60
101,2,50
101,3,70
101,6,140
101,9,80
102,1,60
102,2,40
102,3,80
102,6,40
102,9,60
103,1,95
103,2,95
103,3,85
103,6,55
103,9,125
104,1,50
104,2,50
104,3,95
104,6,35
104,9,40
105,1,60
105,2,80
105,3,110
105,6,45
105,9,50
106,1,50
106,2,120
106,3,53
106,6,87
106,9,35
107,1,50
107,2,105
107,3,79
107,6,76
107,9,35
108,1,90
108,2,55
108,3,75
108,6,30
108,9,60
109,1,40
109,2,65
109,3,95
109,6,35
109,9,60
110,1,65
110,2,90
110,3,120
110,6,60
110,9,85
111,1,80
111,2,85
111,3,95
111,6,25
111,9,30
112,1,105
112,2,130
112,3,120
112,6,40
112,9,45
113,1,250
113,2,5
113,3,5
113,6,50
113,9,105
114,1,65
114,2,55
114,3,115
114,6,60
114,9,100
115,1,105
115,2,95
115,3,80
115,6,90
115,9,40
116,1,30
116,2,40
116,3,70
116,6,60
116,9,70
117,1,55
117,2,65
117,3,95
117,6,85
117,9,95
118,1,45
118,2,67
118,3,60
118,6,63
118,9,50
119,1,80
119,2,92
119,3,65
119,6,68
119,9,80
120,1,30
120,2,45
120,3,55
120,6,85
120,9,70
121,1,60
121,2,75
121,3,85
121,6,115
121,9,100
122,1,40
122,2,45
122,3,65
122,6,90
122,9,100
123,1,70
123,2,110
123,3,80
123,6,105
123,9,55
124,1,65
124,2,50
124,3,35
124,6,95
124,9,95
125,1,65
125,2,83
125,3,57
125,6,105
125,9,85
126,1,65
126,2,95
126,3,57
126,6,93
126,9,85
127,1,65
127,2,125
127,3,100
127,6,85
127,9,55
128,1,75
128,2,100
128,3,95
128,6,110
128,9,70
129,1,20
129,2,10
129,3,55
129,6,80
129,9,20
130,1,95
130,2,125
130,3,79
130,6,81
130,9,100
131,1,130
131,2,85
131,3,80
131,6,60
131,9,95
132,1,48
132,2,48
132,3,48
132,6,48
132,9,48
133,1,55
133,2,55
133,3,50
133,6,55
133,9,65
134,1,130
134,2,65
134,3,60
134,6,65
134,9,110
135,1,65
135,2,65
135,3,60
135,6,130
135,9,110
136,1,65
136,2,130
136,3,60
136,6,65
136,9,110
137,1,65
137,2,60
137,3,70
137,6,40
137,9,75
138,1,35
138,2,40
138,3,100
138,6,35
138,9,90
139,1,70
139,2,60
139,3,125
139,6,55
139,9,115
140,1,30
140,2,80
140,3,90
140,6,55
140,9,45
141,1,60
141,2,115
141,3,105
141,6,80
141,9,70
142,1,80
142,2,105
142,3,65
142,6,130
142,9,60
143,1,160
143,2,110
143,3,65
143,6,30
143,9,65
144,1,90
144,2,85
144,3,100
144,6,85
144,9,125
145,1,90
145,2,90
145,3,85
145,6,100
145,9,125
146,1,90
146,2,100
146,3,90
146,6,90
146,9,125
147,1,41
147,2,64
147,3,45
