pokemon_id,generation_id,stat_id,base_stat,effort
12,5,4,80,2
15,5,2,80,2
18,5,6,91,3
25,5,2,30,0
25,5,4,40,0
26,5,5,100,0
31,5,2,82,0
34,5,2,92,3
36,5,3,85,0
40,5,4,75,0
45,5,4,100,3
62,5,2,85,0
65,5,4,85,3
71,5,5,60,0
76,5,2,110,0
181,5,2,75,0
182,5,2,85,0
184,5,4,50,0
189,5,5,85,0
267,5,4,90,3
295,5,4,63,0
398,5,5,50,0
407,5,3,55,0
508,5,1,100,0
521,5,2,105,3
526,5,4,70,0
537,5,2,85,0
542,5,5,70,0
545,5,2,90,0
553,5,3,70,0
24,6,1,85,0
51,6,1,80,0
10037,6,4,95,3
83,6,2,65,1
85,6,6,100,0
101,6,5,140,0
103,6,5,65,0
164,6,4,76,0
168,6,5,60,0
211,6,3,75,0
219,6,1,50,0
219,6,4,80,0
222,6,1,55,0
222,6,3,85,1
222,6,5,85,1
226,6,1,65,0
277,6,4,50,0
279,6,4,85,0
284,6,4,80,1
284,6,6,60,0
301,6,5,70,0
313,6,2,55,0
313,6,4,75,0
314,6,2,55,0
314,6,4,75,0
337,6,1,70,0
338,6,1,70,0
358,6,2,70,0
358,6,4,80,1
527,6,1,55,0
558,6,2,95,0
614,6,1,110,0
615,6,2,30,0
681,7,3,150,2
681,7,5,150,1
10026,7,2,150,2
10026,7,4,150,1
488,8,3,120,0
488,8,5,130,3
888,8,2,130,0
10188,8,2,170,0
889,8,2,130,0
10189,8,2,130,0
10189,8,3,145,0
10189,8,5,145,0
