pokemon_id,pokemon_name,language_id,language_name,summary
460,abomasnow,9,en,"**Abomasnow** is a dual-type Grass/Ice Pokémon introduced in Generation IV.

**Type:** Grass / Ice

**Abilities:**

- **Snow Warning:** Summons a hailstorm when entering battle
- **Soundproof (Hidden Ability):** Grants immunity to all sound-based moves

**Physical Characteristics:**

- Abomasnow is a large, humanoid Pokémon resembling a snow-covered tree.
- It has a white, shaggy body with green hands, feet, and a series of spikes resembling fir tree branches.
- Its face is mostly hidden, with visible eyes and a wide mouth featuring sharp teeth.
- It has a pair of long, green, horn-like structures on its head.

**Behavior and Habitat:**

- Abomasnow is typically found in frigid, snowy areas, often at high altitudes or in mountainous regions.
- It is known as the ""Ice Monster"" and is seldom seen by humans.
- Abomasnow can cause blizzards, which it uses to confuse and deter intruders.
- It is a solitary Pokémon, only coming together with others during certain times of the year for mating.

**In Battle:**

- Abomasnow is a versatile battler with access to both Grass and Ice-type moves, making it effective against a variety of opponents.
- Signature moves include Blizzard and Wood Hammer, which take advantage of its dual typing.
- It is strong against Water, Ground, and Rock types, thanks to its Grass and Ice moves.
- However, it has a notable weakness to Fire, Flying, Bug, Rock, Steel, and Fighting types due to its dual-type vulnerabilities.

**Evolution:**

- Abomasnow evolves from Snover starting at level 40.

**Interesting Facts:**

- Abomasnow is inspired by the Yeti or ""Abominable Snowman,"" creatures reputed to inhabit the Himalayan mountains.
- It has a Mega Evolution, Mega Abomasnow, which gains increased stats and retains its Snow Warning ability.
- In Mega form, it becomes bulkier with larger spikes and a more pronounced snowy appearance.
- Abomasnow's presence is a harbinger of severe snowstorms, making it a Pokémon often associated with harsh winter weather."
10060,abomasnow-mega,9,en,"**Abomasnow Mega** is a Grass/Ice-type Pokémon introduced in Generation IV, with its Mega Evolution debuting in Generation VI.

**Type:** Grass / Ice

**Abilities:**

- **Snow Warning:** Summons a hailstorm when it enters battle, which lasts for five turns.

**Physical Characteristics:**

- Abomasnow Mega is an amplified version of Abomasnow, appearing more robust and intimidating.
- It features a larger, more pronounced white and green body with a thicker, shaggy fur coat that resembles snow-covered pine trees.
- Its limbs and shoulders become bulkier, and its eyes glow with a fierce, icy blue color.
- The most notable change is the increase in icicle-like spikes covering its back and arms, enhancing its intimidating presence.

**Behavior and Habitat:**

- Abomasnow Mega is typically found in snowy mountains and icy forests where it can blend seamlessly with its surroundings.
- It has a solitary nature, often seen wandering through blizzards it creates to protect its territory.
- Known for being fiercely protective of its habitat, it uses its snowstorm abilities to ward off intruders.

**In Battle:**

- Abomasnow Mega is a formidable physical attacker with a notable increase in Attack and Defense stats upon Mega Evolution.
- Its ability, Snow Warning, synergizes well with moves like Blizzard, which gains perfect accuracy under hail.
- It can use powerful STAB (Same Type Attack Bonus) moves such as Wood Hammer and Ice Shard to deal significant damage.
- Despite its strengths, it is vulnerable to Fire, Steel, Rock, Bug, Flying, and Poison-type moves due to its dual typing.

**Evolution:**

- Abomasnow Mega evolves from Abomasnow when exposed to an Abomasite.
- Abomasnow itself evolves from Snover starting at level 40.

**Interesting Facts:**

- The design of Abomasnow Mega is inspired by both the abominable snowman and snowy evergreens, reflecting its dual nature as a guardian of icy wildernesses.
- Its ability to summon hail upon entering battle can be strategically used to disrupt opponents reliant on weather-dependent strategies.
- In the Pokémon anime, Abomasnow Mega has made appearances demonstrating its formidable power in ice-themed battles.
- Mega Evolution amplifies its natural traits, making it a visually imposing figure in any snowy landscape."
63,abra,9,en,"**Abra** is a Psychic-type Pokémon introduced in Generation I.

**Type:** Psychic

**Abilities:**

- **Synchronize:** Passes on a burn, poison, or paralysis to the foe who inflicted it.
- **Inner Focus (Hidden Ability):** Prevents flinching.

**Physical Characteristics:**

- Abra resembles a small, humanoid creature with fox-like features.
- It has a predominantly yellow body with brown plates covering its shoulders and knees.
- Its head features two large, pointed ears and a small snout.
- Abra's eyes are usually closed, reflecting its psychic nature.
- It has three-fingered hands and two-toed feet, enhancing its mystical appearance.

**Behavior and Habitat:**

- Abra typically inhabits urban areas and caves, often found in the wild near cities.
- It spends most of its time sleeping to conserve energy for its psychic abilities.
- Known for its ability to teleport to escape danger, it awakens only for a brief moment every hour.
- Abra is highly elusive, often vanishing when sensed by others.

**In Battle:**

- Abra is known for its high Speed and Special Attack, making it a formidable special attacker.
- Signature moves include Teleport, which allows it to escape battles easily, and Psychic, a powerful psychic attack.
- Effective against Fighting and Poison types due to its Psychic typing.
- It has a notable weakness to Bug, Ghost, and Dark-type moves.

**Evolution:**

- Evolves into Kadabra starting at level 16.
- Kadabra evolves into Alakazam when traded or exposed to a Linking Cord (in Pokémon Legends: Arceus).

**Interesting Facts:**

- Abra sleeps for 18 hours a day, using its psychic powers even while asleep.
- Despite its tendency to flee, Abra is highly sought after for its powerful evolutions.
- Its design is inspired by folklore surrounding psychics and clairvoyants.
- Abra's name is derived from ""abracadabra,"" a word often associated with magic and illusions."
359,absol,9,en,"**Absol** is a Dark-type Pokémon introduced in Generation III.

**Type:** Dark

**Abilities:**

- **Pressure:** The Pokémon raises the opponent's PP usage.
- **Super Luck:** Increases the critical hit ratio of moves.
- **Justified (Hidden Ability):** Boosts Attack when hit by a Dark-type move.

**Physical Characteristics:**

- Absol is a quadrupedal Pokémon with a feline-like appearance.
- It has a sleek, white body with a sharp, sickle-shaped horn on the side of its head.
- Its face and tail are blue, with a distinctive blue oval marking on its forehead.
- The fur around its neck is long and resembles a mane, adding to its menacing look.

**Behavior and Habitat:**

- Known as the ""Disaster Pokémon,"" Absol is said to appear before natural disasters, leading to the misconception that it brings bad luck.
- It typically resides in mountainous regions and secluded areas.
- Despite its reputation, Absol is actually quite protective of its habitat and tries to warn people of impending danger.

**In Battle:**

- Absol is known for its high Attack stat, making it a formidable physical attacker.
- It has access to powerful moves like Night Slash, Sucker Punch, and Psycho Cut.
- Its Mega Evolution, Mega Absol, gains the ability Magic Bounce, reflecting status moves back to the opponent.
- Absol is strong against Psychic and Ghost types but weak against Fighting, Bug, and Fairy types.

**Evolution:**

- Absol does not evolve from or into any other Pokémon.
- It can Mega Evolve into Mega Absol using the Absolite.

**Interesting Facts:**

- Absol's design may be inspired by the Bai Ze, a mythical creature in Chinese folklore said to have the ability to warn of impending disasters.
- In the Pokémon anime, Absol has been portrayed as a misunderstood creature, with episodes focusing on its true nature as a protector rather than a bringer of doom.
- Its appearance in various media often emphasizes its role in predicting and trying to prevent disasters, aligning with its Pokédex entries."
10057,absol-mega,9,en,"**Absol Mega** is a Dark-type Pokémon introduced in Generation III, which can Mega Evolve using an Absolite.

**Type:** Dark

**Abilities:**

- **Magic Bounce:** Reflects status moves back to the opponent

**Physical Characteristics:**

- Larger and more majestic than regular Absol
- White fur with a sleek, flowing mane that resembles wings
- A black, crescent-shaped horn on the right side of its head
- Deep red eyes that convey a sense of wisdom and foresight
- Clawed paws which add to its graceful yet intimidating presence

**Behavior and Habitat:**

- Typically found in mountainous regions
- Known for its solitary nature
- Often mistaken to be a harbinger of disasters due to its appearances before natural calamities
- In reality, attempts to warn people of impending dangers

**In Battle:**

- Powerful physical attacker with enhanced speed upon Mega Evolution
- Signature moves: Night Slash, Psycho Cut
- Strong against Psychic and Ghost types
- Weak against Fighting, Bug, and Fairy types
- Utilizes its high critical hit ratio moves to deal significant damage

**Evolution:**

- Evolves from Absol using the Absolite during battle

**Interesting Facts:**

- Mega Absol is sometimes referred to as the ""Disaster Pokémon"" due to its ability to predict and appear before disasters
- Its Mega Evolution form is often seen as angelic, despite its Dark typing
- The wings-like fur is said to be a manifestation of its enhanced energy and agility

Mega Absol is a formidable force in battle, combining its mystical appearance with a potent ability to reflect status moves, creating a strategic advantage for trainers who can harness its power effectively."
617,accelgor,9,en,"**Accelgor** is a Bug-type Pokémon introduced in Generation V.

**Type:** Bug

**Abilities:**

- **Hydration:** Heals status conditions if it's raining
- **Sticky Hold:** Prevents the Pokémon's held item from being taken or knocked off
- **Unburden (Hidden Ability):** Boosts the Speed stat if the Pokémon's held item is used or lost

**Physical Characteristics:**

- Accelgor resembles a ninja or a warrior wrapped in a cloak
- Its body is mostly pink with blue stripes and accents
- It has a streamlined, helmet-like head with a frontal crest
- Accelgor lacks a shell, and its body is slender and flexible, allowing for high-speed movement

**Behavior and Habitat:**

- Found in forests and marshy areas, often hidden from view
- Known for its incredible speed and agility
- Prefers to move quickly and stealthily, akin to a ninja, to avoid being caught by predators
- Its behavior is very strategic, utilizing its speed in both offense and defense

**In Battle:**

- Extremely fast, making it an excellent choice for outspeeding opponents
- Notable moves include Bug Buzz, Acid Spray, and U-turn
- Effective at disrupting opponents with moves like Encore and Spikes
- Vulnerable to Rock, Flying, and Fire types due to its Bug typing

**Evolution:**

- Evolves from Shelmet when traded for a Karrablast
- Involves a unique evolution process that links it with Escavalier, the evolution of Karrablast

**Interesting Facts:**

- Its design is inspired by a combination of a ninja and a snail, reflecting its speed and its pre-evolution's shell
- Accelgor is known for its high Speed stat, one of the highest among Bug-type Pokémon
- The evolutionary process with Karrablast involves a mutual exchange, where Shelmet loses its shell and Karrablast gains one to become Escavalier

This summary provides a comprehensive overview of Accelgor, covering its characteristics, battle capabilities, and unique aspects."
10026,aegislash-blade,9,en,"**Aegislash Blade** is a Steel/Ghost-type Pokémon introduced in Generation VI.

**Type:** Steel/Ghost

**Abilities:**

- **Stance Change:** Alters its form depending on the moves it uses, switching between Blade Forme and Shield Forme.

**Physical Characteristics:**

- Aegislash Blade Forme resembles a sword with a golden hilt and a sharp, silver blade.
- It features a purple eye-like marking on the blade, indicative of its ghostly nature.
- The hilt is adorned with a flowing, tassel-like structure that resembles a shield when in Shield Forme.
- The Blade Forme is characterized by a more aggressive stance, focusing on attack.

**Behavior and Habitat:**

- Aegislash is believed to reside in ancient castles or ruins, often standing guard over treasures or historical artifacts.
- It is known for its loyalty to those it deems worthy, typically selecting individuals with strong leadership qualities as its masters.
- This Pokémon can sense the auras of people and Pokémon, using this ability to assess the strength of potential leaders.

**In Battle:**

- Aegislash Blade excels in offense, utilizing powerful moves such as Sacred Sword and Iron Head.
- The Stance Change ability allows it to switch to Shield Forme for defensive maneuvers.
- Known for its strategic versatility, it can employ King's Shield to protect itself and lower opponents' attack stats.
- Strong against Fairy, Ice, Rock, Normal, and Psychic types due to its dual Steel/Ghost typing.
- Vulnerable to Fire, Ground, Dark, and Ghost types.

**Evolution:**

- Evolves from Doublade when exposed to a Dusk Stone.
- Doublade itself evolves from Honedge starting at level 35.

**Interesting Facts:**

- Aegislash is inspired by the concept of a possessed sword and shield, drawing from medieval and ghostly themes.
- It is often associated with the legend of being able to determine the true king by sensing their aura.
- Aegislash's ability to change forms makes it a unique presence in competitive battling, requiring strategic planning to utilize effectively.
- In the Pokémon anime, Aegislash is seen as a formidable opponent, often used by skilled trainers."
681,aegislash-shield,9,en,"**Aegislash Shield** is a Steel/Ghost-type Pokémon introduced in Generation VI.

**Type:** Steel / Ghost

**Abilities:**

- **Stance Change:** Allows Aegislash to switch between Shield Forme and Blade Forme by using certain moves, altering its stats accordingly.

**Physical Characteristics:**

- Aegislash in its Shield Forme resembles a large, ornate shield with a central eye that is vividly purple.
- Its body is a sword hilt protruding from the back of the shield, with two ribbons extending from the hilt, often appearing like arms.
- The shield is adorned with intricate gold detailing and a pair of eye-like motifs.

**Behavior and Habitat:**

- Known to inhabit ancient castles and ruins, places rich in history and secrets.
- Aegislash is revered for its regal appearance and ability to sense the leadership qualities in people.
- It is said to have been used by an ancient king, suggesting its loyalty and protective nature.

**In Battle:**

- Aegislash uses its unique Stance Change ability to switch between a defensive Shield Forme and an offensive Blade Forme, making it versatile in battle.
- Notable moves include King's Shield, which allows it to revert to Shield Forme and protect itself while potentially lowering the attacker's stats.
- Strong against Fairy, Ice, Rock, and Psychic types due to its Steel and Ghost typing.
- Vulnerable to Fire, Ground, Ghost, and Dark type moves.

**Evolution:**

- Evolves from Doublade when exposed to a Dusk Stone.
- Doublade itself evolves from Honedge at level 35.

**Interesting Facts:**

- Aegislash's Stance Change mechanic introduces a strategic depth, requiring players to anticipate opponent moves to switch forms effectively.
- Known for its role as a guardian, it has a storied history of serving noble families.
- Its design is inspired by a combination of European medieval weaponry and Japanese yokai legends, reflecting its dual nature as both a weapon and a spirit."
142,aerodactyl,9,en,"**Aerodactyl** is a Rock/Flying-type Pokémon introduced in Generation I.

**Type:** Rock / Flying

**Abilities:**

- **Rock Head:** Prevents recoil damage from moves that have recoil.
- **Pressure:** Increases the opponent's PP usage by 1 for each move.
- **Hidden Ability - Unnerve:** Prevents opposing Pokémon from using their held Berries.

**Physical Characteristics:**

- Resembles a pterosaur with sharp, jagged features.
- Has a large mouth with serrated, saw-like teeth.
- Possesses a light purple body and large, membranous wings.
- Tail is long and pointed, aiding in balance during flight.
- Eyes are fierce and intimidating, enhancing its ferocious appearance.

**Behavior and Habitat:**

- Known to be territorial and aggressive in nature.
- Prefers to dwell in mountainous regions and high altitudes.
- Fossils discovered in sedimentary rock layers, often revived in labs.
- Rumored to have once been a dominant aerial predator.

**In Battle:**

- Extremely fast and can outspeed many opponents.
- Utilizes moves like Rock Slide, Stone Edge, and Earthquake for offensive pressure.
- Mega Aerodactyl gains increased stats and Tough Claws ability, enhancing contact moves.
- Strong against Bug, Flying, Fire, and Ice types.
- Vulnerable to Water, Electric, Steel, and Rock type moves.

**Evolution:**

- Aerodactyl does not evolve from or into any Pokémon.
- Can Mega Evolve into Mega Aerodactyl using Aerodactylite.

**Interesting Facts:**

- Aerodactyl is one of the few Pokémon that can be revived from Fossils, specifically the Old Amber.
- Its design is influenced by the concept of long-extinct prehistoric reptiles.
- Known for its role in the Pokémon anime as a formidable Pokémon revived from ancient times.
- Despite its fearsome appearance, it has been shown to form bonds with trainers it trusts. 

This summary provides an overview of Aerodactyl, highlighting its characteristics, abilities, and significance in the Pokémon world."
10042,aerodactyl-mega,9,en,"**Aerodactyl Mega** is a Rock/Flying-type Pokémon introduced in Generation VI.

**Type:** Rock / Flying

**Abilities:**

- **Tough Claws:** Increases the power of moves that make direct contact by 30%

**Physical Characteristics:**

- Aerodactyl Mega is a larger, more menacing form of Aerodactyl, featuring a more pronounced jawline with jagged, sharp teeth.
- It has a pair of large, membranous wings that allow it to soar through the skies with speed and agility.
- Its body is covered in stone-like spines, giving it a rugged and prehistoric appearance.
- A noticeable feature is the spiked crown on its head, which adds to its fierce visage.

**Behavior and Habitat:**

- Aerodactyl Mega is a prehistoric Pokémon believed to have once ruled the skies in ancient times.
- It is known to be aggressive and territorial, often seen patrolling its domain from above.
- This Pokémon is primarily found in areas that are reminiscent of its ancient habitat, such as mountainous regions and fossil excavation sites.

**In Battle:**

- Aerodactyl Mega is a formidable physical attacker with high Speed, making it a feared opponent in battles.
- Common moves include Stone Edge, Aerial Ace, and Earthquake, which capitalize on its physical prowess.
- Its Tough Claws ability enhances moves like Wing Attack and Crunch, making them even more potent.
- It is strong against Bug, Fire, Flying, and Ice types but vulnerable to Electric, Water, Steel, and Rock types.

**Evolution:**

- Aerodactyl Mega evolves from Aerodactyl through the use of the Aerodactylite Mega Stone during battle.
- After battle, it reverts to its regular form.

**Interesting Facts:**

- Aerodactyl Mega is one of the few Pokémon that has been revived from a fossil, specifically the Old Amber.
- It is often associated with the fossil research community and is a popular choice for trainers interested in ancient Pokémon.
- Its design is inspired by pterosaurs, prehistoric flying reptiles that once dominated the skies during the Mesozoic era."
