stat_id,local_language_id,name
1,1,HP
1,3,HP
1,5,PV
1,6,KP
1,7,PS
1,8,PS
1,9,HP
2,1,こうげき
2,3,공격
2,5,Attaque
2,6,Angriff
2,7,Ataque
2,8,Attacco
2,9,Attack
3,1,ぼうぎょ
3,3,방어
3,5,Défense
3,6,Verteidigung
3,7,Defensa
3,8,Difesa
3,9,Defense
4,1,とくこう
4,3,특수공격
4,5,Attaque Spéciale
4,6,Spezialangriff
4,7,Ataque Especial
4,8,Attacco Speciale
4,9,Special Attack
5,1,とくぼう
5,3,특수방어
5,5,Défense Spéciale
5,6,Spezialverteidigung
5,7,Defensa Especial
5,8,Difesa Speciale
5,9,Special Defense
6,1,すばやさ
6,3,스피드
6,5,Vitesse
6,6,Initiative
6,7,Velocidad
6,8,Velocità
6,9,Speed
7,1,めいちゅう
7,3,명중률
7,5,Précision
7,6,Genauigkeit
7,7,Precisión
7,8,precisione
7,9,accuracy
8,1,かいひ
8,3,회피율
8,5,Esquive
8,6,Fluchtwert
8,7,Evasión
8,8,elusione
8,9,evasion
